slug,PNL,isWin,1s,3s,5s,10s,20s,30s,45s,60s,120s,180s,220s
btc-updown-15m-1766372400,2.17,true,0.01999999999999999,0.01999999999999999,0.01999999999999999,0.06999999999999998,0.09,0.09,0.16,0.36,0.72,0.74,0.74
btc-updown-15m-1766373300,2.23,true,0.00999999999999998,0.01999999999999999,0.01999999999999999,0.03,0.03,0.060000000000000026,0.14,0.15000000000000002,0.19,0.29,0.29
btc-updown-15m-1766374200,2.76,true,0.030000000000000027,0.07000000000000003,0.07000000000000003,0.07999999999999999,0.09,0.09,0.2,0.26,0.41999999999999993,0.41999999999999993,0.41999999999999993
btc-updown-15m-1766396700,2.46,true,0,0,0.020000000000000014,0.020000000000000014,0.030000000000000027,0.10000000000000003,0.18,0.22000000000000003,0.25,0.4,0.4
btc-updown-15m-1766399400,2.21,true,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.01999999999999999,0.05000000000000002,0.07,0.18000000000000002,0.2,0.2,0.21999999999999997,0.33
btc-updown-15m-1766400300,3.05,true,0,0.010000000000000007,0.02999999999999997,0.02999999999999997,0.02999999999999997,0.04999999999999999,0.13,0.14,0.24,0.26,0.26
btc-updown-15m-1766403000,2.17,true,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.03,0.03,0.11,0.11,0.19,0.19,0.35000000000000003,0.36999999999999994
btc-updown-15m-1766403900,2.17,true,0,0.020000000000000014,0.020000000000000014,0.05000000000000002,0.060000000000000026,0.07,0.11,0.11,0.4,0.4,0.4
btc-updown-15m-1766404800,2.85,true,0.009999999999999952,0.009999999999999952,0.009999999999999952,0.01999999999999996,0.03999999999999998,0.03999999999999998,0.12,0.12999999999999995,0.12999999999999995,0.16999999999999998,0.16999999999999998
btc-updown-15m-1766405700,2.46,true,0.010000000000000007,0.020000000000000014,0.020000000000000014,0.020000000000000014,0.03999999999999998,0.09999999999999998,0.09999999999999998,0.14,0.14,0.21,0.27
btc-updown-15m-1766406600,1.97,true,0,0,0.03,0.03,0.03999999999999998,0.07,0.21999999999999997,0.29,0.29,0.5599999999999999,0.6
btc-updown-15m-1766408400,-7.24,false,0,0.020000000000000014,0.020000000000000014,0.020000000000000014,0.04999999999999999,0.08999999999999997,0.09999999999999998,0.15999999999999998,0.20999999999999996,0.25,0.27
btc-updown-15m-1766409300,3.15,true,0,0,0.010000000000000007,0.010000000000000007,0.02999999999999997,0.04999999999999999,0.20999999999999996,0.21999999999999997,0.27,0.27,0.27
btc-updown-15m-1766411100,3.05,true,0.010000000000000007,0.03999999999999998,0.03999999999999998,0.03999999999999998,0.07,0.07,0.11,0.13,0.20999999999999996,0.25,0.25
btc-updown-15m-1766413800,2.36,true,0.00999999999999998,0.01999999999999999,0.04000000000000001,0.09,0.13000000000000003,0.13000000000000003,0.19000000000000003,0.26,0.29999999999999993,0.35,0.58
btc-updown-15m-1766414700,2.26,true,0.00999999999999998,0.03,0.04000000000000001,0.04000000000000001,0.05999999999999997,0.05999999999999997,0.14,0.18999999999999995,0.20999999999999996,0.51,0.53
btc-updown-15m-1766417400,3.15,true,0.010000000000000007,0.020000000000000014,0.020000000000000014,0.06,0.06,0.06,0.08000000000000002,0.08000000000000002,0.21,0.23,0.30000000000000004
