slug,PNL,isWin
btc-updown-15m-1766372400,2.17,true
btc-updown-15m-1766373300,2.23,true
btc-updown-15m-1766374200,2.76,true
btc-updown-15m-1766396700,2.46,true
btc-updown-15m-1766399400,2.21,true
btc-updown-15m-1766400300,3.05,true
btc-updown-15m-1766403000,2.17,true
btc-updown-15m-1766403900,2.17,true
btc-updown-15m-1766404800,2.85,true
btc-updown-15m-1766405700,2.46,true
btc-updown-15m-1766406600,1.97,true
btc-updown-15m-1766408400,-7.24,false
btc-updown-15m-1766409300,3.15,true
btc-updown-15m-1766411100,3.05,true
btc-updown-15m-1766413800,2.36,true
btc-updown-15m-1766414700,2.26,true
btc-updown-15m-1766417400,3.15,true
btc-updown-15m-1766421900,-7.54,false
btc-updown-15m-1766422800,2.46,true
btc-updown-15m-1766425500,3.05,true
btc-updown-15m-1766427300,-7.54,false
btc-updown-15m-1766428200,2.26,true
btc-updown-15m-1766429100,2.66,true
btc-updown-15m-1766430900,-7.44,false
btc-updown-15m-1766431800,1.97,true
btc-updown-15m-1766432700,2.45,true
btc-updown-15m-1766433600,2.61,true
btc-updown-15m-1766434500,2.82,true
btc-updown-15m-1766435400,1.97,true
btc-updown-15m-1766439000,3.45,true
btc-updown-15m-1766440800,-7.84,false
btc-updown-15m-1766441700,1.87,true
btc-updown-15m-1766444400,2.26,true
btc-updown-15m-1766445300,-7.64,false
btc-updown-15m-1766448000,2.07,true
btc-updown-15m-1766448900,2.48,true
btc-updown-15m-1766450700,2.17,true
btc-updown-15m-1766451600,-6.85,false
btc-updown-15m-1766453400,2.2,true
btc-updown-15m-1766454300,2.66,true
btc-updown-15m-1766455200,-6.65,false
btc-updown-15m-1766456100,2.66,true
btc-updown-15m-1766457000,2.17,true
btc-updown-15m-1766457900,-6.95,false
btc-updown-15m-1766458800,2.46,true
btc-updown-15m-1766460600,2.46,true
btc-updown-15m-1766462400,-7.64,false
btc-updown-15m-1766463300,3.35,true
btc-updown-15m-1766465100,2.66,true
btc-updown-15m-1766469600,2.66,true
btc-updown-15m-1766471400,2.46,true
btc-updown-15m-1766473200,2.85,true
btc-updown-15m-1766474100,3.05,true
btc-updown-15m-1766476800,-7.54,false
btc-updown-15m-1766477700,3.15,true
btc-updown-15m-1766478600,-7.15,false
btc-updown-15m-1766481300,-7.79,false
btc-updown-15m-1766482200,-7.54,false
btc-updown-15m-1766483100,2.76,true
btc-updown-15m-1766484000,2.56,true
btc-updown-15m-1766485800,2.17,true
btc-updown-15m-1766487600,-7.24,false
btc-updown-15m-1766489400,-6.85,false
btc-updown-15m-1766491200,2.17,true
btc-updown-15m-1766492100,2.46,true
btc-updown-15m-1766494800,2.85,true
btc-updown-15m-1766495700,-7.74,false
btc-updown-15m-1766497500,2.76,true
btc-updown-15m-1766498400,2.17,true
btc-updown-15m-1766499300,2.76,true
btc-updown-15m-1766502000,2.56,true
btc-updown-15m-1766503800,3.05,true
btc-updown-15m-1766504700,-6.95,false
btc-updown-15m-1766506500,2.17,true
btc-updown-15m-1766508300,2.85,true
btc-updown-15m-1766509200,-7.24,false
btc-updown-15m-1766510100,-7.93,false
btc-updown-15m-1766511000,2.26,true
btc-updown-15m-1766511900,2.46,true
btc-updown-15m-1766513700,2.56,true
btc-updown-15m-1766514600,3.25,true
btc-updown-15m-1766517300,-7.44,false
btc-updown-15m-1766518200,2.76,true
btc-updown-15m-1766521800,-7.34,false
btc-updown-15m-1766522700,2.26,true
btc-updown-15m-1766523600,2.56,true
btc-updown-15m-1766524500,2.56,true
btc-updown-15m-1766525400,2.46,true
btc-updown-15m-1766527200,3.25,true
btc-updown-15m-1766528100,-7.74,false
btc-updown-15m-1766529000,-7.44,false
btc-updown-15m-1766531700,-7.54,false
btc-updown-15m-1766532600,3.05,true
btc-updown-15m-1766533500,2.26,true
btc-updown-15m-1766534400,-7.44,false
btc-updown-15m-1766536200,3.15,true
btc-updown-15m-1766537100,2.85,true
btc-updown-15m-1766538000,2.56,true
btc-updown-15m-1766538900,2.66,true
btc-updown-15m-1766540700,2.85,true
btc-updown-15m-1766570400,3.15,true
btc-updown-15m-1766571300,3.15,true
btc-updown-15m-1766572200,2.36,true
btc-updown-15m-1766573100,3.25,true
btc-updown-15m-1766574900,-7.05,false
btc-updown-15m-1766579400,3.25,true
btc-updown-15m-1766581200,2.46,true
btc-updown-15m-1766582100,-7.15,false
btc-updown-15m-1766583900,2.66,true
btc-updown-15m-1766584800,2.07,true
btc-updown-15m-1766585700,2.56,true
btc-updown-15m-1766586600,1.97,true
btc-updown-15m-1766588400,-7.15,false
btc-updown-15m-1766590200,3.05,true
btc-updown-15m-1766591100,3.25,true
btc-updown-15m-1766592000,2.46,true
btc-updown-15m-1766592900,2.76,true
btc-updown-15m-1766594700,2.46,true
btc-updown-15m-1766596500,2.66,true
btc-updown-15m-1766597400,-7.34,false
btc-updown-15m-1766598300,2.76,true
btc-updown-15m-1766599200,2.46,true
btc-updown-15m-1766600100,1.97,true
btc-updown-15m-1766601000,3.05,true
btc-updown-15m-1766601900,3.35,true
btc-updown-15m-1766603700,2.56,true
btc-updown-15m-1766604600,-7.24,false
btc-updown-15m-1766605500,2.85,true
btc-updown-15m-1766606400,2.26,true
btc-updown-15m-1766607300,3.05,true
btc-updown-15m-1766608200,-7.05,false
btc-updown-15m-1766614500,2.95,true
btc-updown-15m-1766616300,-7.44,false
btc-updown-15m-1766618100,2.81,true
btc-updown-15m-1766619900,2.95,true
btc-updown-15m-1766620800,3.15,true
btc-updown-15m-1766621700,-7.64,false
btc-updown-15m-1766622600,-7.83,false
btc-updown-15m-1766623500,2.56,true
btc-updown-15m-1766624400,2.95,true
btc-updown-15m-1766625300,2.26,true
btc-updown-15m-1766627100,3.05,true
btc-updown-15m-1766628900,2.26,true
btc-updown-15m-1766629800,2.66,true
btc-updown-15m-1766630700,2.53,true
btc-updown-15m-1766631600,3.15,true
btc-updown-15m-1766632500,-7.05,false
btc-updown-15m-1766633400,2.26,true
btc-updown-15m-1766634300,2.85,true
btc-updown-15m-1766636100,-7.93,false
btc-updown-15m-1766637000,2.07,true
btc-updown-15m-1766639700,2.36,true
btc-updown-15m-1766640600,2.76,true
btc-updown-15m-1766642400,2.66,true
btc-updown-15m-1766643300,2.56,true
btc-updown-15m-1766644200,2.85,true
btc-updown-15m-1766645100,2.26,true
btc-updown-15m-1766647800,2.36,true
btc-updown-15m-1766648700,3.05,true
btc-updown-15m-1766649600,-7.74,false
btc-updown-15m-1766651400,2.66,true
btc-updown-15m-1766652300,-6.75,false
btc-updown-15m-1766653200,2.66,true
btc-updown-15m-1766654100,-7.05,false
btc-updown-15m-1766655000,-6.95,false
btc-updown-15m-1766655900,2.66,true
btc-updown-15m-1766657700,2.76,true
btc-updown-15m-1766659500,2.26,true
btc-updown-15m-1766663100,2.46,true
btc-updown-15m-1766664000,-7.74,false
btc-updown-15m-1766666700,3.15,true
btc-updown-15m-1766667600,2.46,true
btc-updown-15m-1766669400,-7.24,false
btc-updown-15m-1766670300,2.46,true
btc-updown-15m-1766674800,2.95,true
btc-updown-15m-1766675700,2.75,true
btc-updown-15m-1766676600,-7.34,false
btc-updown-15m-1766677500,2.26,true
btc-updown-15m-1766678400,2.85,true
btc-updown-15m-1766679300,2.56,true
btc-updown-15m-1766680200,2.46,true
btc-updown-15m-1766682000,-7.93,false
btc-updown-15m-1766682900,2.76,true
btc-updown-15m-1766683800,3.15,true
btc-updown-15m-1766688300,-7.24,false
btc-updown-15m-1766689200,2.07,true
