month,t_sec,band_c,n,n_up_wins,p_up,avg_mid
2025-10,0,40,1,1,1.0,0.415
2025-10,0,42,4,0,0.0,0.4313
2025-10,0,44,21,13,0.619,0.4488
2025-10,0,46,36,16,0.4444,0.4682
2025-10,0,48,42,23,0.5476,0.4886
2025-10,0,50,57,26,0.4561,0.5075
2025-10,0,52,37,22,0.5946,0.5282
2025-10,0,54,24,12,0.5,0.5456
2025-10,0,56,14,11,0.7857,0.5675
2025-10,0,58,1,0,0.0,0.59
2025-10,0,66,1,0,0.0,0.675
2025-10,0,70,1,0,0.0,0.7
2025-10,15,22,1,0,0.0,0.225
2025-10,15,26,1,1,1.0,0.27
2025-10,15,32,2,1,0.5,0.33
2025-10,15,34,1,0,0.0,0.345
2025-10,15,36,1,1,1.0,0.37
2025-10,15,38,2,1,0.5,0.39
2025-10,15,40,6,2,0.3333,0.4117
2025-10,15,42,18,2,0.1111,0.4289
2025-10,15,44,15,12,0.8,0.448
2025-10,15,46,25,11,0.44,0.4698
2025-10,15,48,31,11,0.3548,0.4882
2025-10,15,50,41,23,0.561,0.5066
2025-10,15,52,35,20,0.5714,0.5284
2025-10,15,54,30,16,0.5333,0.5452
2025-10,15,56,19,10,0.5263,0.5705
2025-10,15,58,6,6,1.0,0.59
2025-10,15,60,2,1,0.5,0.6125
2025-10,15,62,2,2,1.0,0.6275
2025-10,15,66,1,1,1.0,0.665
2025-10,15,68,2,2,1.0,0.6875
2025-10,15,78,1,1,1.0,0.78
2025-10,30,26,1,0,0.0,0.265
2025-10,30,28,3,1,0.3333,0.2883
2025-10,30,30,3,0,0.0,0.3133
2025-10,30,32,2,1,0.5,0.3225
2025-10,30,34,2,0,0.0,0.3425
2025-10,30,36,5,2,0.4,0.369
2025-10,30,38,5,3,0.6,0.387
2025-10,30,40,12,2,0.1667,0.4075
2025-10,30,42,19,12,0.6316,0.4305
2025-10,30,44,16,8,0.5,0.4456
2025-10,30,46,17,7,0.4118,0.4659
2025-10,30,48,27,12,0.4444,0.4889
2025-10,30,50,30,15,0.5,0.5083
2025-10,30,52,27,14,0.5185,0.5287
2025-10,30,54,16,8,0.5,0.5447
2025-10,30,56,20,14,0.7,0.5693
2025-10,30,58,12,7,0.5833,0.59
2025-10,30,60,13,10,0.7692,0.605
2025-10,30,62,5,3,0.6,0.626
2025-10,30,64,4,2,0.5,0.645
2025-10,30,66,1,1,1.0,0.66
2025-10,30,68,1,1,1.0,0.685
2025-10,30,74,1,1,1.0,0.745
2025-10,45,20,1,0,0.0,0.215
2025-10,45,24,1,0,0.0,0.245
2025-10,45,28,5,1,0.2,0.287
2025-10,45,30,1,1,1.0,0.305
2025-10,45,32,6,4,0.6667,0.3267
2025-10,45,34,11,3,0.2727,0.3509
2025-10,45,36,2,1,0.5,0.375
2025-10,45,38,6,2,0.3333,0.3875
2025-10,45,40,14,4,0.2857,0.4096
2025-10,45,42,17,7,0.4118,0.4276
2025-10,45,44,16,8,0.5,0.4478
2025-10,45,46,17,8,0.4706,0.4682
2025-10,45,48,16,8,0.5,0.4891
2025-10,45,50,24,14,0.5833,0.5094
2025-10,45,52,29,11,0.3793,0.5283
2025-10,45,54,7,4,0.5714,0.545
2025-10,45,56,16,10,0.625,0.57
2025-10,45,58,11,7,0.6364,0.5895
2025-10,45,60,14,6,0.4286,0.6071
2025-10,45,62,9,7,0.7778,0.6239
2025-10,45,64,4,4,1.0,0.6475
2025-10,45,66,6,6,1.0,0.6692
2025-10,45,68,3,3,1.0,0.6867
2025-10,45,70,2,2,1.0,0.7025
2025-10,45,72,1,1,1.0,0.72
2025-10,45,74,2,2,1.0,0.755
2025-10,45,78,1,0,0.0,0.79
2025-10,60,22,1,0,0.0,0.225
2025-10,60,24,1,0,0.0,0.25
2025-10,60,26,2,0,0.0,0.275
2025-10,60,28,4,2,0.5,0.285
2025-10,60,30,5,3,0.6,0.304
2025-10,60,32,8,3,0.375,0.3313
2025-10,60,34,8,2,0.25,0.3481
2025-10,60,36,9,3,0.3333,0.3633
2025-10,60,38,7,3,0.4286,0.3886
2025-10,60,40,10,4,0.4,0.4105
2025-10,60,42,22,7,0.3182,0.4266
2025-10,60,44,12,8,0.6667,0.4467
2025-10,60,46,16,9,0.5625,0.4672
2025-10,60,48,17,6,0.3529,0.4885
2025-10,60,50,20,12,0.6,0.5108
2025-10,60,52,22,11,0.5,0.5248
2025-10,60,54,8,4,0.5,0.5488
2025-10,60,56,20,11,0.55,0.5688
2025-10,60,58,9,6,0.6667,0.5906
2025-10,60,60,12,6,0.5,0.6092
2025-10,60,62,5,5,1.0,0.63
2025-10,60,64,9,6,0.6667,0.6489
2025-10,60,66,3,3,1.0,0.67
2025-10,60,68,1,1,1.0,0.685
2025-10,60,70,3,2,0.6667,0.7067
2025-10,60,72,4,4,1.0,0.7275
2025-10,60,74,2,2,1.0,0.7425
2025-10,60,76,1,1,1.0,0.76
2025-10,60,78,2,1,0.5,0.7875
2025-10,75,20,1,0,0.0,0.215
2025-10,75,22,2,1,0.5,0.2275
2025-10,75,24,5,1,0.2,0.249
2025-10,75,26,2,0,0.0,0.275
2025-10,75,28,4,1,0.25,0.2937
2025-10,75,30,8,3,0.375,0.3088
2025-10,75,32,6,1,0.1667,0.3292
2025-10,75,34,11,5,0.4545,0.3464
2025-10,75,36,13,5,0.3846,0.3665
2025-10,75,38,10,2,0.2,0.3875
2025-10,75,40,14,8,0.5714,0.4082
2025-10,75,42,13,5,0.3846,0.4281
2025-10,75,44,13,3,0.2308,0.4496
2025-10,75,46,13,9,0.6923,0.4692
2025-10,75,48,9,4,0.4444,0.4872
2025-10,75,50,16,12,0.75,0.5056
2025-10,75,52,16,6,0.375,0.5272
2025-10,75,54,9,6,0.6667,0.5444
2025-10,75,56,15,8,0.5333,0.571
2025-10,75,58,5,3,0.6,0.588
2025-10,75,60,9,6,0.6667,0.6067
2025-10,75,62,12,9,0.75,0.63
2025-10,75,64,8,5,0.625,0.6487
2025-10,75,66,7,7,1.0,0.6636
2025-10,75,68,4,2,0.5,0.685
2025-10,75,70,1,1,1.0,0.7
2025-10,75,72,5,3,0.6,0.726
2025-10,75,74,5,3,0.6,0.747
2025-10,75,76,4,4,1.0,0.765
2025-10,75,78,1,0,0.0,0.78
2025-10,75,80,1,1,1.0,0.81
2025-10,75,82,1,1,1.0,0.83
2025-10,90,16,1,0,0.0,0.165
2025-10,90,20,2,0,0.0,0.2
2025-10,90,22,3,0,0.0,0.2317
2025-10,90,24,3,1,0.3333,0.2533
2025-10,90,26,7,4,0.5714,0.2693
2025-10,90,28,8,2,0.25,0.2894
2025-10,90,30,7,1,0.1429,0.3079
2025-10,90,32,10,2,0.2,0.3275
2025-10,90,34,6,4,0.6667,0.3483
2025-10,90,36,7,4,0.5714,0.3664
2025-10,90,38,14,5,0.3571,0.3871
2025-10,90,40,9,6,0.6667,0.4067
2025-10,90,42,14,3,0.2143,0.4282
2025-10,90,44,12,7,0.5833,0.4479
2025-10,90,46,13,7,0.5385,0.4677
2025-10,90,48,7,2,0.2857,0.49
2025-10,90,50,11,7,0.6364,0.51
2025-10,90,52,14,6,0.4286,0.5289
2025-10,90,54,14,10,0.7143,0.5471
2025-10,90,56,17,10,0.5882,0.5724
2025-10,90,58,5,2,0.4,0.587
2025-10,90,60,7,4,0.5714,0.6064
2025-10,90,62,11,7,0.6364,0.6286
2025-10,90,64,11,9,0.8182,0.6482
2025-10,90,66,6,6,1.0,0.6725
2025-10,90,68,8,5,0.625,0.6869
2025-10,90,70,1,1,1.0,0.705
2025-10,90,72,3,1,0.3333,0.7267
2025-10,90,74,5,3,0.6,0.749
2025-10,90,76,2,2,1.0,0.77
2025-10,90,78,1,1,1.0,0.78
2025-10,90,80,1,0,0.0,0.815
2025-10,90,84,3,3,1.0,0.8433
2025-10,105,16,1,0,0.0,0.16
2025-10,105,18,1,0,0.0,0.195
2025-10,105,20,4,1,0.25,0.21
2025-10,105,22,6,1,0.1667,0.2292
2025-10,105,24,3,1,0.3333,0.245
2025-10,105,26,6,3,0.5,0.27
2025-10,105,28,5,3,0.6,0.286
2025-10,105,30,7,2,0.2857,0.305
2025-10,105,32,11,3,0.2727,0.3286
2025-10,105,34,5,0,0.0,0.351
2025-10,105,36,10,3,0.3,0.3695
2025-10,105,38,11,8,0.7273,0.3864
2025-10,105,40,13,4,0.3077,0.4069
2025-10,105,42,16,6,0.375,0.4263
2025-10,105,44,9,4,0.4444,0.4483
2025-10,105,46,10,7,0.7,0.466
2025-10,105,48,11,6,0.5455,0.4891
2025-10,105,50,7,3,0.4286,0.5071
2025-10,105,52,9,4,0.4444,0.5261
2025-10,105,54,9,6,0.6667,0.5467
2025-10,105,56,18,14,0.7778,0.57
2025-10,105,58,10,6,0.6,0.59
2025-10,105,60,11,5,0.4545,0.6055
2025-10,105,62,4,2,0.5,0.6288
2025-10,105,64,9,7,0.7778,0.6478
