month,t_sec,band_c,n,n_up_wins,p_up,med_spread
2025-10,840,0,2,0,0.0,0.01
2025-10,840,2,11,0,0.0,0.03
2025-10,840,4,3,0,0.0,0.02
2025-10,840,6,4,0,0.0,0.075
2025-10,840,8,8,0,0.0,0.085
2025-10,840,10,7,0,0.0,0.08
2025-10,840,12,1,0,0.0,0.04
2025-10,840,16,2,0,0.0,0.115
2025-10,840,18,3,0,0.0,0.08
2025-10,840,20,1,0,0.0,0.04
2025-10,840,22,3,1,0.3333,0.09
2025-10,840,24,1,0,0.0,0.09
2025-10,840,28,2,1,0.5,0.105
2025-10,840,32,1,0,0.0,0.07
2025-10,840,36,1,1,1.0,0.03
2025-10,840,42,1,0,0.0,0.08
2025-10,840,44,3,2,0.6667,0.09
2025-10,840,48,2,1,0.5,0.105
2025-10,840,58,1,1,1.0,0.11
2025-10,840,62,1,0,0.0,0.05
2025-10,840,64,2,1,0.5,0.085
2025-10,840,66,2,1,0.5,0.055
2025-10,840,68,4,4,1.0,0.14
2025-10,840,70,1,0,0.0,0.11
2025-10,840,72,1,1,1.0,0.05
2025-10,840,74,3,2,0.6667,0.06
2025-10,840,76,1,1,1.0,0.13
2025-10,840,82,2,2,1.0,0.08
2025-10,840,84,4,4,1.0,0.06
2025-10,840,86,4,2,0.5,0.105
2025-10,840,88,6,6,1.0,0.09
2025-10,840,90,7,7,1.0,0.05
2025-10,840,92,2,1,0.5,0.045
2025-10,840,94,8,8,1.0,0.04
2025-10,840,96,13,11,0.8462,0.03
2025-10,840,98,7,7,1.0,0.01
2025-10,845,0,2,0,0.0,0.01
2025-10,845,2,7,0,0.0,0.03
2025-10,845,4,8,0,0.0,0.055
2025-10,845,6,5,0,0.0,0.08
2025-10,845,8,5,0,0.0,0.1
2025-10,845,10,2,0,0.0,0.125
2025-10,845,12,3,0,0.0,0.05
2025-10,845,14,2,0,0.0,0.075
2025-10,845,16,2,1,0.5,0.055
2025-10,845,18,1,0,0.0,0.09
2025-10,845,20,2,0,0.0,0.08
2025-10,845,24,1,0,0.0,0.1
2025-10,845,26,1,0,0.0,0.22
2025-10,845,28,1,0,0.0,0.03
2025-10,845,30,3,0,0.0,0.1
2025-10,845,32,2,1,0.5,0.05
