slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1767923100,1767923100,2026-01,0,780,0.98,142.35,0.99,7423.56,3402.62,7423.56,0.01,7423.56,0.02,142.35,7423.56,3402.62,308,779.2
btc-updown-15m-1767923100,1767923100,2026-01,0,840,0.99,14674.14,,,17309.08,0,,,0.01,14674.14,0,17309.08,306,779.2
btc-updown-15m-1767923100,1767923100,2026-01,0,870,0.99,22804.08,,,25580.9,0,,,0.01,22804.08,0,25580.9,105,779.2
btc-updown-15m-1767923100,1767923100,2026-01,0,885,0.991,4473.08,0.999,242.91,29793.32,242.91,0.001,242.91,0.009,4473.08,242.91,29793.32,156,779.2
btc-updown-15m-1767923100,1767923100,2026-01,0,897,0.991,4508.1,0.999,201.84,29205.8,201.84,0.001,201.84,0.009,4508.1,201.84,29205.8,68,779.2
btc-updown-15m-1767923100,1767923100,2026-01,0,899,0.991,4508.1,0.999,201.84,29547.3,201.84,0.001,201.84,0.009,4508.1,201.84,29547.3,64,779.2
btc-updown-15m-1767924000,1767924000,2026-01,0,780,0.999,6.96,,,4968.89,0,,,0.001,6.96,0,4968.89,220,775.5
btc-updown-15m-1767924000,1767924000,2026-01,0,840,0.995,495,,,16084.31,0,,,0.005,495,0,16084.31,364,775.5
btc-updown-15m-1767924000,1767924000,2026-01,0,870,0.991,2987.75,,,17199.23,0,,,0.009,2987.75,0,17199.23,324,775.5
btc-updown-15m-1767924000,1767924000,2026-01,0,885,0.991,6303.22,,,24334,0,,,0.009,6303.22,0,24334,359,775.5
btc-updown-15m-1767924000,1767924000,2026-01,0,897,0.999,1155.21,,,1305.21,0,,,0.001,1155.21,0,1305.21,435,775.5
btc-updown-15m-1767924000,1767924000,2026-01,0,899,0.999,1160.21,,,1310.21,0,,,0.001,1160.21,0,1310.21,238,775.5
btc-updown-15m-1767924900,1767924900,2026-01,1,780,0.01,10451.94,,,10451.94,0,,,0.99,10451.94,0,10451.94,38,779.9
btc-updown-15m-1767924900,1767924900,2026-01,1,840,,,0.01,17117.74,0,22420.44,0.99,17117.74,,,22420.44,0,14,779.9
btc-updown-15m-1767924900,1767924900,2026-01,1,870,0.001,87.5,0.009,3200,87.5,17695.19,0.991,3200,0.999,87.5,17695.19,87.5,2911,779.9
btc-updown-15m-1767924900,1767924900,2026-01,1,885,0.001,84.02,0.009,2801.24,84.02,18953.15,0.991,2801.24,0.999,84.02,18953.15,84.02,120,779.9
btc-updown-15m-1767924900,1767924900,2026-01,1,897,,,0.001,852.12,0,1077.12,0.999,852.12,,,1077.12,0,7,779.9
btc-updown-15m-1767924900,1767924900,2026-01,1,899,,,0.001,857.12,0,1082.12,0.999,857.12,,,1082.12,0,1348,779.9
btc-updown-15m-1767925800,1767925800,2026-01,1,780,,,0.01,21927.5,0,25945.53,0.99,21927.5,,,25945.53,0,885,766.1
