slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1760141700,10,2,0,2816
btc-updown-15m-1760142600,6,0,0,1501
btc-updown-15m-1760143500,12,0,0,3132
btc-updown-15m-1760144400,0,0,0,331
btc-updown-15m-1760146200,22,4,2,5910
btc-updown-15m-1760147100,8,2,0,2247
btc-updown-15m-1760148000,0,0,0,211
btc-updown-15m-1760148900,4,0,0,1218
btc-updown-15m-1760150700,10,0,0,2693
btc-updown-15m-1760181300,2,0,0,615
btc-updown-15m-1760182200,6,2,0,1909
btc-updown-15m-1760184000,0,0,0,309
btc-updown-15m-1760184900,0,0,0,136
btc-updown-15m-1760185800,0,0,0,356
btc-updown-15m-1760186700,4,0,0,1335
btc-updown-15m-1760188500,0,0,0,440
btc-updown-15m-1760189400,2,0,0,500
btc-updown-15m-1760190300,2,2,2,754
btc-updown-15m-1760191200,4,0,0,1054
btc-updown-15m-1760193000,4,0,0,1085
btc-updown-15m-1760227200,0,0,0,80
btc-updown-15m-1760228100,0,0,0,382
btc-updown-15m-1760229000,2,0,0,747
btc-updown-15m-1760230800,0,0,0,215
btc-updown-15m-1760231700,2,0,0,887
btc-updown-15m-1760232600,16,2,2,4234
btc-updown-15m-1760233500,8,2,0,2043
btc-updown-15m-1760235300,0,0,0,352
btc-updown-15m-1760236200,0,0,0,72
btc-updown-15m-1760237100,0,0,0,306
btc-updown-15m-1760301000,2,0,0,700
btc-updown-15m-1760302800,0,0,0,273
btc-updown-15m-1760303700,0,0,0,417
btc-updown-15m-1760304600,2,0,0,484
btc-updown-15m-1760306400,0,0,0,291
btc-updown-15m-1760307300,8,2,0,2420
btc-updown-15m-1760308200,6,0,0,1662
btc-updown-15m-1760309100,4,0,0,1038
btc-updown-15m-1760310900,2,0,0,475
btc-updown-15m-1760311800,0,0,0,432
btc-updown-15m-1760312700,12,2,2,3293
btc-updown-15m-1760368500,6,0,0,1623
btc-updown-15m-1760370300,2,0,0,671
btc-updown-15m-1760371200,0,0,0,237
btc-updown-15m-1760372100,0,0,0,294
btc-updown-15m-1760373000,12,2,2,3273
btc-updown-15m-1760374800,4,0,0,1008
btc-updown-15m-1760375700,10,0,0,2608
btc-updown-15m-1760376600,10,0,0,2486
btc-updown-15m-1760377500,6,2,0,1930
btc-updown-15m-1760379300,0,0,0,380
btc-updown-15m-1760380200,6,2,2,1853
btc-updown-15m-1760381100,10,2,0,2511
btc-updown-15m-1760382000,14,2,0,3735
btc-updown-15m-1760383800,10,4,0,2600
btc-updown-15m-1760384700,12,2,0,3069
btc-updown-15m-1760385600,4,0,0,1204
btc-updown-15m-1760387400,8,2,0,2282
btc-updown-15m-1760388300,2,0,0,733
btc-updown-15m-1760389200,2,0,0,851
btc-updown-15m-1760390100,6,0,0,1521
btc-updown-15m-1760418900,0,0,0,9
btc-updown-15m-1760419800,0,0,0,405
btc-updown-15m-1760420700,12,4,0,3075
btc-updown-15m-1760421600,4,0,0,1318
btc-updown-15m-1760423400,0,0,0,232
btc-updown-15m-1760424300,16,0,0,3973
btc-updown-15m-1760425200,18,2,0,4493
btc-updown-15m-1760426100,8,2,2,2074
btc-updown-15m-1760427900,28,0,0,7054
btc-updown-15m-1760428800,6,0,0,1692
btc-updown-15m-1760429700,22,2,0,5594
btc-updown-15m-1760430600,6,0,0,1840
btc-updown-15m-1760432400,22,2,0,5652
btc-updown-15m-1760433300,20,2,0,5023
btc-updown-15m-1760434200,2,0,0,733
btc-updown-15m-1760435100,0,0,0,247
btc-updown-15m-1760436900,2,0,0,867
btc-updown-15m-1760437800,26,4,0,6457
btc-updown-15m-1760438700,0,0,0,366
btc-updown-15m-1760440500,10,0,0,2590
btc-updown-15m-1760441400,8,0,0,2046
btc-updown-15m-1760442300,14,8,4,3536
btc-updown-15m-1760443200,18,2,0,4850
btc-updown-15m-1760445000,0,0,0,234
btc-updown-15m-1760445900,8,2,0,2173
btc-updown-15m-1760446800,4,0,0,1003
btc-updown-15m-1760447700,24,6,0,5924
btc-updown-15m-1760449500,12,0,0,3126
btc-updown-15m-1760461200,0,0,0,424
btc-updown-15m-1760462100,26,6,4,6516
btc-updown-15m-1760463000,4,0,0,1166
btc-updown-15m-1760464800,0,0,0,301
btc-updown-15m-1760465700,16,2,2,4126
btc-updown-15m-1760466600,0,0,0,346
btc-updown-15m-1760467500,20,2,0,5152
btc-updown-15m-1760469300,2,0,0,636
btc-updown-15m-1760470200,0,0,0,157
btc-updown-15m-1760471100,0,0,0,393
btc-updown-15m-1760472000,12,0,0,3381
btc-updown-15m-1760473800,14,0,0,3745
btc-updown-15m-1760474700,10,0,0,2487
btc-updown-15m-1760475600,2,0,0,688
btc-updown-15m-1760477400,8,0,0,2165
btc-updown-15m-1760478300,14,0,0,3471
btc-updown-15m-1760479200,0,0,0,35
btc-updown-15m-1760480100,0,0,0,285
btc-updown-15m-1760497200,0,0,0,11
btc-updown-15m-1760498100,0,0,0,231
btc-updown-15m-1760499000,0,0,0,209
btc-updown-15m-1760499900,20,0,0,5393
btc-updown-15m-1760501700,4,0,0,1291
btc-updown-15m-1760502600,18,0,0,4857
btc-updown-15m-1760503500,2,0,0,736
btc-updown-15m-1760504400,2,0,0,623
btc-updown-15m-1760506200,0,0,0,180
btc-updown-15m-1760507100,0,0,0,260
btc-updown-15m-1760508000,0,0,0,151
btc-updown-15m-1760517000,10,0,0,2625
btc-updown-15m-1760518800,16,2,2,4381
btc-updown-15m-1760519700,0,0,0,120
btc-updown-15m-1760520600,22,0,0,5497
btc-updown-15m-1760521500,20,6,4,5295
btc-updown-15m-1760523300,0,0,0,312
btc-updown-15m-1760524200,14,2,0,3587
btc-updown-15m-1760525100,8,0,0,2319
btc-updown-15m-1760526900,0,0,0,224
btc-updown-15m-1760527800,18,0,0,4766
btc-updown-15m-1760528700,0,0,0,477
btc-updown-15m-1760539500,0,0,0,457
btc-updown-15m-1760541300,2,0,0,750
btc-updown-15m-1760542200,0,0,0,296
btc-updown-15m-1760543100,28,2,0,7203
btc-updown-15m-1760544000,24,2,0,6192
btc-updown-15m-1760545800,0,0,0,328
btc-updown-15m-1760546700,22,4,0,5597
btc-updown-15m-1760547600,0,0,0,107
btc-updown-15m-1760548500,12,0,0,3277
btc-updown-15m-1760550300,2,0,0,479
btc-updown-15m-1760551200,2,0,0,786
btc-updown-15m-1760556600,0,0,0,0
btc-updown-15m-1760557500,22,2,0,5601
btc-updown-15m-1760559300,4,0,0,1243
btc-updown-15m-1760560200,4,0,0,1102
btc-updown-15m-1760561100,8,2,0,2244
btc-updown-15m-1760562000,0,0,0,276
btc-updown-15m-1760563800,2,0,0,572
btc-updown-15m-1760564700,0,0,0,364
btc-updown-15m-1760565600,2,0,0,928
btc-updown-15m-1760567400,10,0,0,2629
btc-updown-15m-1760568300,2,0,0,485
btc-updown-15m-1760569200,2,0,0,471
btc-updown-15m-1760570100,22,2,0,5438
btc-updown-15m-1760571900,0,0,0,384
btc-updown-15m-1760572800,4,0,0,1046
btc-updown-15m-1760573700,0,0,0,464
btc-updown-15m-1760574600,0,0,0,59
btc-updown-15m-1760576400,0,0,0,40
btc-updown-15m-1760577300,2,0,0,846
btc-updown-15m-1760578200,2,0,0,892
btc-updown-15m-1760579100,4,0,0,1064
btc-updown-15m-1760580900,8,0,0,2350
btc-updown-15m-1760581800,4,0,0,1083
btc-updown-15m-1760582700,2,0,0,846
btc-updown-15m-1760583600,16,2,0,4098
btc-updown-15m-1760585400,2,0,0,815
btc-updown-15m-1760586300,2,0,0,489
btc-updown-15m-1760587200,2,0,0,544
btc-updown-15m-1760588100,8,0,0,2172
btc-updown-15m-1760589900,12,0,0,3393
btc-updown-15m-1760590800,6,0,0,1494
btc-updown-15m-1760591700,10,2,0,2502
btc-updown-15m-1760593500,0,0,0,178
btc-updown-15m-1760594400,26,8,4,6879
btc-updown-15m-1760595300,0,0,0,404
btc-updown-15m-1760596200,10,0,0,2779
btc-updown-15m-1760614200,6,0,0,1792
btc-updown-15m-1760615100,0,0,0,386
btc-updown-15m-1760616000,0,0,0,362
btc-updown-15m-1760616900,4,0,0,1260
btc-updown-15m-1760618700,10,0,0,2678
btc-updown-15m-1760619600,2,0,0,502
btc-updown-15m-1760620500,0,0,0,179
btc-updown-15m-1760621400,24,2,2,6094
btc-updown-15m-1760623200,2,0,0,887
btc-updown-15m-1760624100,26,0,0,6699
btc-updown-15m-1760625000,0,0,0,360
btc-updown-15m-1760625900,4,0,0,1011
btc-updown-15m-1760633100,0,0,0,335
btc-updown-15m-1760634000,0,0,0,325
btc-updown-15m-1760634900,2,0,0,515
btc-updown-15m-1760635800,2,0,0,638
btc-updown-15m-1760637600,2,0,0,595
btc-updown-15m-1760638500,16,2,0,4069
btc-updown-15m-1760639400,2,0,0,582
btc-updown-15m-1760641200,0,0,0,223
btc-updown-15m-1760642100,8,0,0,2264
btc-updown-15m-1760643000,28,4,4,7024
btc-updown-15m-1760643900,4,0,0,1140
btc-updown-15m-1760645700,4,0,0,1040
btc-updown-15m-1760646600,2,2,0,722
btc-updown-15m-1760647500,22,4,4,5899
btc-updown-15m-1760648400,8,0,0,2170
btc-updown-15m-1760650200,0,0,0,344
btc-updown-15m-1760651100,2,0,0,657
btc-updown-15m-1760652000,0,0,0,315
btc-updown-15m-1760652900,16,2,2,4073
btc-updown-15m-1760654700,0,0,0,252
btc-updown-15m-1760655600,0,0,0,126
btc-updown-15m-1760656500,0,0,0,143
btc-updown-15m-1760657400,0,0,0,116
btc-updown-15m-1760659200,10,0,0,2436
btc-updown-15m-1760660100,0,0,0,378
btc-updown-15m-1760661000,2,0,0,601
btc-updown-15m-1760661900,12,2,0,3309
btc-updown-15m-1760663700,0,0,0,259
btc-updown-15m-1760664600,2,0,0,665
btc-updown-15m-1760665500,12,0,0,2976
btc-updown-15m-1760673600,0,0,0,236
btc-updown-15m-1760674500,2,0,0,850
btc-updown-15m-1760675400,12,2,0,3026
btc-updown-15m-1760676300,6,0,0,1534
btc-updown-15m-1760678100,4,0,0,1321
btc-updown-15m-1760679000,0,0,0,384
