month,t_sec,token,state,bid_band,n,n_wins,p_win,avg_bid,med_bid_sz,med_top3_bid
2025-10,780,down,bid_only,84,1,1,1.0,0.85,5.0,15.0
2025-10,780,down,bid_only,92,1,1,1.0,0.93,212.5,805.7
2025-10,780,down,bid_only,94,1,1,1.0,0.95,72.3,735.3
2025-10,780,down,bid_only,96,2,2,1.0,0.97,30.2,266.7
2025-10,780,down,bid_only,98,144,144,1.0,0.9892,496.5,897.6
2025-10,780,down,two_sided,0,59,2,0.0339,0.0094,281.1,281.1
2025-10,780,down,two_sided,2,48,0,0.0,0.0244,208.1,952.2
2025-10,780,down,two_sided,4,26,1,0.0385,0.045,56.1,803.2
2025-10,780,down,two_sided,6,22,0,0.0,0.0641,65.5,574.5
2025-10,780,down,two_sided,8,14,1,0.0714,0.085,29.7,594.2
2025-10,780,down,two_sided,10,7,1,0.1429,0.1071,16.2,232.0
2025-10,780,down,two_sided,12,10,2,0.2,0.123,15.2,266.0
2025-10,780,down,two_sided,14,8,0,0.0,0.1425,17.1,440.2
2025-10,780,down,two_sided,16,7,1,0.1429,0.1686,24.0,262.2
2025-10,780,down,two_sided,18,12,5,0.4167,0.1825,24.0,58.7
2025-10,780,down,two_sided,20,11,1,0.0909,0.2045,26.0,495.5
2025-10,780,down,two_sided,22,10,1,0.1,0.226,81.3,315.5
2025-10,780,down,two_sided,24,12,0,0.0,0.2467,51.0,320.7
2025-10,780,down,two_sided,26,6,1,0.1667,0.265,10.8,139.5
2025-10,780,down,two_sided,28,9,4,0.4444,0.2867,20.0,322.3
2025-10,780,down,two_sided,30,11,2,0.1818,0.3036,28.0,87.7
2025-10,780,down,two_sided,32,11,6,0.5455,0.3273,33.5,77.0
2025-10,780,down,two_sided,34,7,4,0.5714,0.3414,20.0,57.9
2025-10,780,down,two_sided,36,7,3,0.4286,0.3643,50.1,165.8
2025-10,780,down,two_sided,38,7,3,0.4286,0.3843,145.8,221.8
2025-10,780,down,two_sided,40,7,2,0.2857,0.4057,26.2,263.0
2025-10,780,down,two_sided,42,7,3,0.4286,0.4243,21.0,177.5
2025-10,780,down,two_sided,44,9,3,0.3333,0.4478,12.0,294.0
2025-10,780,down,two_sided,46,5,4,0.8,0.464,16.0,92.4
2025-10,780,down,two_sided,48,11,5,0.4545,0.4873,34.9,256.9
2025-10,780,down,two_sided,50,7,4,0.5714,0.5043,6.0,175.5
2025-10,780,down,two_sided,52,5,1,0.2,0.526,7.9,91.0
2025-10,780,down,two_sided,54,9,7,0.7778,0.5478,10.0,510.0
2025-10,780,down,two_sided,56,6,3,0.5,0.57,23.0,147.2
2025-10,780,down,two_sided,58,2,1,0.5,0.59,57.8,82.3
2025-10,780,down,two_sided,60,9,4,0.4444,0.6078,28.0,768.8
2025-10,780,down,two_sided,62,5,2,0.4,0.628,10.0,92.9
2025-10,780,down,two_sided,64,7,7,1.0,0.6457,20.0,78.0
2025-10,780,down,two_sided,66,4,4,1.0,0.6625,15.5,1541.0
2025-10,780,down,two_sided,68,8,7,0.875,0.685,15.0,288.5
2025-10,780,down,two_sided,70,8,7,0.875,0.705,67.5,253.9
2025-10,780,down,two_sided,72,8,5,0.625,0.7262,48.5,242.2
2025-10,780,down,two_sided,74,10,6,0.6,0.746,18.3,254.3
2025-10,780,down,two_sided,76,6,5,0.8333,0.7633,245.5,714.9
2025-10,780,down,two_sided,78,10,7,0.7,0.785,15.5,208.7
2025-10,780,down,two_sided,80,18,14,0.7778,0.8039,16.5,287.3
2025-10,780,down,two_sided,82,15,14,0.9333,0.8247,19.5,122.2
2025-10,780,down,two_sided,84,11,10,0.9091,0.8455,10.0,209.6
2025-10,780,down,two_sided,86,22,20,0.9091,0.8655,30.0,297.7
2025-10,780,down,two_sided,88,12,11,0.9167,0.8883,30.6,396.5
2025-10,780,down,two_sided,90,23,23,1.0,0.9039,33.0,293.3
2025-10,780,down,two_sided,92,16,16,1.0,0.9262,20.0,197.4
2025-10,780,down,two_sided,94,38,37,0.9737,0.9455,50.0,394.4
2025-10,780,down,two_sided,96,40,39,0.975,0.9647,46.1,574.3
2025-10,780,down,two_sided,98,22,22,1.0,0.9805,95.4,647.4
2025-10,780,up,bid_only,94,4,4,1.0,0.95,95.0,482.4
2025-10,780,up,bid_only,96,5,5,1.0,0.964,133.2,812.2
2025-10,780,up,bid_only,98,122,122,1.0,0.9897,809.6,1360.0
2025-10,780,up,two_sided,0,59,1,0.0169,0.0098,298.7,298.7
2025-10,780,up,two_sided,2,51,1,0.0196,0.0249,119.9,826.1
2025-10,780,up,two_sided,4,31,2,0.0645,0.0435,40.0,540.9
2025-10,780,up,two_sided,6,18,0,0.0,0.0633,78.5,501.3
2025-10,780,up,two_sided,8,18,0,0.0,0.0872,59.6,564.9
2025-10,780,up,two_sided,10,13,3,0.2308,0.1054,77.0,502.8
2025-10,780,up,two_sided,12,12,2,0.1667,0.125,23.0,542.9
2025-10,780,up,two_sided,14,16,3,0.1875,0.1463,47.7,334.6
2025-10,780,up,two_sided,16,11,3,0.2727,0.1664,16.4,123.4
2025-10,780,up,two_sided,18,12,4,0.3333,0.1833,30.1,218.2
2025-10,780,up,two_sided,20,11,2,0.1818,0.2036,16.2,584.7
2025-10,780,up,two_sided,22,11,3,0.2727,0.2255,25.7,182.1
2025-10,780,up,two_sided,24,3,1,0.3333,0.2433,49.0,84.5
2025-10,780,up,two_sided,26,8,0,0.0,0.2613,26.0,165.7
2025-10,780,up,two_sided,28,6,1,0.1667,0.285,139.0,273.7
2025-10,780,up,two_sided,30,7,3,0.4286,0.3014,66.5,194.0
2025-10,780,up,two_sided,32,3,0,0.0,0.3233,25.0,597.0
2025-10,780,up,two_sided,34,8,4,0.5,0.345,44.8,301.3
2025-10,780,up,two_sided,36,5,2,0.4,0.364,18.0,103.4
2025-10,780,up,two_sided,38,3,2,0.6667,0.3867,24.7,281.0
2025-10,780,up,two_sided,40,9,5,0.5556,0.4044,19.6,158.5
2025-10,780,up,two_sided,42,7,3,0.4286,0.4257,21.0,147.7
2025-10,780,up,two_sided,44,10,5,0.5,0.444,65.0,386.3
2025-10,780,up,two_sided,46,6,6,1.0,0.4667,44.5,320.9
2025-10,780,up,two_sided,48,6,2,0.3333,0.485,26.5,228.5
2025-10,780,up,two_sided,50,15,9,0.6,0.5053,21.7,128.0
2025-10,780,up,two_sided,52,4,2,0.5,0.5225,35.3,71.1
2025-10,780,up,two_sided,54,5,3,0.6,0.544,28.0,110.0
2025-10,780,up,two_sided,56,11,6,0.5455,0.5709,21.3,109.6
2025-10,780,up,two_sided,58,2,0,0.0,0.59,20.5,170.7
2025-10,780,up,two_sided,60,12,9,0.75,0.6042,36.5,205.1
2025-10,780,up,two_sided,62,6,4,0.6667,0.625,46.0,382.7
2025-10,780,up,two_sided,64,5,1,0.2,0.642,10.0,287.8
2025-10,780,up,two_sided,66,8,4,0.5,0.665,14.5,155.1
2025-10,780,up,two_sided,68,15,13,0.8667,0.6847,20.0,283.0
2025-10,780,up,two_sided,70,14,13,0.9286,0.7029,38.2,126.3
2025-10,780,up,two_sided,72,11,10,0.9091,0.7236,21.0,201.5
2025-10,780,up,two_sided,74,4,3,0.75,0.7425,22.2,236.2
2025-10,780,up,two_sided,76,13,12,0.9231,0.7677,27.0,112.7
2025-10,780,up,two_sided,78,7,5,0.7143,0.7843,38.0,445.5
2025-10,780,up,two_sided,80,9,7,0.7778,0.8067,29.0,227.5
2025-10,780,up,two_sided,82,6,5,0.8333,0.8233,17.2,253.0
2025-10,780,up,two_sided,84,8,8,1.0,0.8475,10.0,125.4
2025-10,780,up,two_sided,86,17,16,0.9412,0.8624,20.0,188.0
2025-10,780,up,two_sided,88,17,16,0.9412,0.8865,68.4,288.8
2025-10,780,up,two_sided,90,20,20,1.0,0.905,28.5,167.0
2025-10,780,up,two_sided,92,22,21,0.9545,0.9245,19.9,230.1
2025-10,780,up,two_sided,94,30,29,0.9667,0.9447,35.0,280.3
2025-10,780,up,two_sided,96,32,32,1.0,0.9647,53.2,244.7
2025-10,780,up,two_sided,98,27,27,1.0,0.982,200.0,685.5
2025-10,840,down,bid_only,86,1,1,1.0,0.87,5.0,20.0
2025-10,840,down,bid_only,90,2,2,1.0,0.91,135.3,305.3
2025-10,840,down,bid_only,92,2,2,1.0,0.93,87.6,270.1
2025-10,840,down,bid_only,94,3,3,1.0,0.9467,16.0,353.5
2025-10,840,down,bid_only,96,3,3,1.0,0.9633,75.0,177.3
2025-10,840,down,bid_only,98,227,227,1.0,0.9899,1046.9,1387.6
2025-10,840,down,two_sided,0,54,1,0.0185,0.0092,210.8,210.8
2025-10,840,down,two_sided,2,39,2,0.0513,0.0239,109.6,766.7
2025-10,840,down,two_sided,4,24,0,0.0,0.0458,71.0,419.3
2025-10,840,down,two_sided,6,10,2,0.2,0.062,26.5,342.4
2025-10,840,down,two_sided,8,11,0,0.0,0.0827,49.0,520.0
2025-10,840,down,two_sided,10,6,0,0.0,0.1017,223.3,387.2
2025-10,840,down,two_sided,12,7,2,0.2857,0.1243,23.0,312.0
2025-10,840,down,two_sided,14,5,1,0.2,0.142,10.0,521.3
2025-10,840,down,two_sided,16,3,0,0.0,0.1667,11.4,31.9
2025-10,840,down,two_sided,18,4,1,0.25,0.185,28.8,64.5
2025-10,840,down,two_sided,20,6,1,0.1667,0.2067,16.7,122.0
2025-10,840,down,two_sided,22,11,2,0.1818,0.2236,18.9,180.9
2025-10,840,down,two_sided,24,3,0,0.0,0.2433,8.7,472.4
2025-10,840,down,two_sided,26,3,3,1.0,0.2667,10.0,265.0
2025-10,840,down,two_sided,28,1,0,0.0,0.29,120.0,177.6
2025-10,840,down,two_sided,30,7,2,0.2857,0.3057,27.0,420.0
2025-10,840,down,two_sided,32,5,1,0.2,0.324,37.6,308.9
2025-10,840,down,two_sided,34,5,2,0.4,0.348,233.4,612.2
2025-10,840,down,two_sided,36,8,2,0.25,0.3625,11.6,97.2
2025-10,840,down,two_sided,38,4,2,0.5,0.385,21.0,497.0
2025-10,840,down,two_sided,40,1,0,0.0,0.41,9.0,70.0
2025-10,840,down,two_sided,42,3,2,0.6667,0.4233,42.0,121.0
2025-10,840,down,two_sided,44,4,2,0.5,0.4425,31.3,225.7
2025-10,840,down,two_sided,46,6,3,0.5,0.4633,12.9,259.5
2025-10,840,down,two_sided,48,5,5,1.0,0.486,74.0,256.9
2025-10,840,down,two_sided,50,10,6,0.6,0.504,46.5,90.0
2025-10,840,down,two_sided,52,6,4,0.6667,0.525,10.0,189.8
2025-10,840,down,two_sided,54,1,0,0.0,0.54,606.0,622.2
2025-10,840,down,two_sided,56,5,3,0.6,0.568,10.0,20.7
2025-10,840,down,two_sided,58,4,3,0.75,0.59,12.5,136.5
2025-10,840,down,two_sided,60,8,5,0.625,0.6075,12.5,54.5
2025-10,840,down,two_sided,64,2,1,0.5,0.65,9.5,137.0
2025-10,840,down,two_sided,66,5,4,0.8,0.664,10.0,55.0
2025-10,840,down,two_sided,68,7,6,0.8571,0.6829,14.0,85.0
2025-10,840,down,two_sided,70,10,5,0.5,0.708,22.5,179.8
2025-10,840,down,two_sided,72,4,2,0.5,0.73,13.5,46.3
2025-10,840,down,two_sided,74,5,3,0.6,0.744,20.0,125.0
2025-10,840,down,two_sided,76,7,6,0.8571,0.7629,41.8,317.0
2025-10,840,down,two_sided,78,6,5,0.8333,0.785,17.5,357.6
2025-10,840,down,two_sided,80,12,11,0.9167,0.8058,12.0,162.4
2025-10,840,down,two_sided,82,8,8,1.0,0.8263,32.8,119.5
2025-10,840,down,two_sided,84,8,7,0.875,0.8437,10.0,88.2
2025-10,840,down,two_sided,86,4,4,1.0,0.865,15.5,414.3
2025-10,840,down,two_sided,88,16,14,0.875,0.8838,21.0,135.0
2025-10,840,down,two_sided,90,21,21,1.0,0.9057,30.0,179.6
2025-10,840,down,two_sided,92,22,21,0.9545,0.925,33.2,193.9
2025-10,840,down,two_sided,94,18,17,0.9444,0.945,90.0,160.7
2025-10,840,down,two_sided,96,24,24,1.0,0.9654,112.5,412.4
2025-10,840,down,two_sided,98,27,27,1.0,0.9825,211.1,814.5
2025-10,840,up,bid_only,90,1,1,1.0,0.91,15.0,34.0
2025-10,840,up,bid_only,92,1,1,1.0,0.93,28.0,293.0
2025-10,840,up,bid_only,94,5,4,0.8,0.948,30.0,181.0
2025-10,840,up,bid_only,96,6,6,1.0,0.9633,200.5,265.2
2025-10,840,up,bid_only,98,222,222,1.0,0.9897,1154.3,1684.0
2025-10,840,up,two_sided,0,60,1,0.0167,0.0091,319.9,319.9
2025-10,840,up,two_sided,2,39,0,0.0,0.0236,132.9,811.8
2025-10,840,up,two_sided,4,24,2,0.0833,0.045,26.2,374.3
2025-10,840,up,two_sided,6,15,1,0.0667,0.064,53.7,410.2
2025-10,840,up,two_sided,8,7,0,0.0,0.0829,16.0,88.0
2025-10,840,up,two_sided,10,10,1,0.1,0.104,23.0,213.7
2025-10,840,up,two_sided,12,5,0,0.0,0.126,28.0,282.0
2025-10,840,up,two_sided,14,7,2,0.2857,0.1443,225.6,645.6
2025-10,840,up,two_sided,16,8,4,0.5,0.1688,9.8,216.5
2025-10,840,up,two_sided,18,7,2,0.2857,0.1857,24.0,41.6
2025-10,840,up,two_sided,20,6,2,0.3333,0.2067,211.5,336.6
2025-10,840,up,two_sided,22,6,1,0.1667,0.2233,29.4,262.5
2025-10,840,up,two_sided,24,8,1,0.125,0.25,23.8,130.0
2025-10,840,up,two_sided,26,3,1,0.3333,0.2633,10.0,42.3
