month,t_sec,band_c,n,n_up_wins,p_up,med_spread
2025-10,780,0,22,0,0.0,0.01
2025-10,780,2,57,1,0.0175,0.02
2025-10,780,4,33,1,0.0303,0.03
2025-10,780,6,24,0,0.0,0.05
2025-10,780,8,18,2,0.1111,0.055
2025-10,780,10,20,1,0.05,0.065
2025-10,780,12,16,1,0.0625,0.04
2025-10,780,14,9,2,0.2222,0.07
2025-10,780,16,15,3,0.2,0.05
2025-10,780,18,11,2,0.1818,0.04
2025-10,780,20,10,3,0.3,0.055
2025-10,780,22,14,5,0.3571,0.06
2025-10,780,24,6,1,0.1667,0.075
2025-10,780,26,8,2,0.25,0.075
2025-10,780,28,6,0,0.0,0.055
2025-10,780,30,6,1,0.1667,0.09
2025-10,780,32,8,2,0.25,0.07
2025-10,780,34,5,2,0.4,0.09
2025-10,780,36,7,4,0.5714,0.05
2025-10,780,38,4,2,0.5,0.08
2025-10,780,40,5,2,0.4,0.08
2025-10,780,42,6,3,0.5,0.065
2025-10,780,44,7,3,0.4286,0.06
2025-10,780,46,7,3,0.4286,0.08
2025-10,780,48,13,8,0.6154,0.08
2025-10,780,50,4,1,0.25,0.035
2025-10,780,52,9,5,0.5556,0.07
2025-10,780,54,8,5,0.625,0.075
2025-10,780,56,4,3,0.75,0.09
2025-10,780,58,7,4,0.5714,0.08
2025-10,780,60,8,5,0.625,0.09
2025-10,780,62,13,6,0.4615,0.07
2025-10,780,64,8,7,0.875,0.085
2025-10,780,66,7,3,0.4286,0.02
2025-10,780,68,5,2,0.4,0.04
2025-10,780,70,10,9,0.9,0.045
2025-10,780,72,11,10,0.9091,0.06
2025-10,780,74,14,12,0.8571,0.085
2025-10,780,76,8,7,0.875,0.08
2025-10,780,78,10,8,0.8,0.05
2025-10,780,80,9,7,0.7778,0.06
2025-10,780,82,7,6,0.8571,0.06
2025-10,780,84,12,10,0.8333,0.065
2025-10,780,86,6,6,1.0,0.055
2025-10,780,88,15,15,1.0,0.07
2025-10,780,90,19,17,0.8947,0.05
2025-10,780,92,20,20,1.0,0.04
2025-10,780,94,32,32,1.0,0.04
2025-10,780,96,46,44,0.9565,0.03
2025-10,780,98,35,35,1.0,0.01
2025-10,840,0,27,0,0.0,0.01
2025-10,840,2,36,1,0.0278,0.03
2025-10,840,4,29,0,0.0,0.05
2025-10,840,6,21,1,0.0476,0.05
2025-10,840,8,14,1,0.0714,0.06
2025-10,840,10,16,2,0.125,0.08
2025-10,840,12,6,0,0.0,0.085
2025-10,840,14,7,0,0.0,0.08
2025-10,840,16,9,1,0.1111,0.06
2025-10,840,18,2,1,0.5,0.08
2025-10,840,20,10,4,0.4,0.075
2025-10,840,22,4,0,0.0,0.06
2025-10,840,24,10,5,0.5,0.085
2025-10,840,26,5,2,0.4,0.04
2025-10,840,28,6,0,0.0,0.07
2025-10,840,30,1,1,1.0,0.05
2025-10,840,32,6,1,0.1667,0.13
2025-10,840,34,6,2,0.3333,0.075
2025-10,840,36,4,1,0.25,0.07
2025-10,840,38,1,0,0.0,0.12
2025-10,840,40,6,3,0.5,0.12
2025-10,840,42,9,5,0.5556,0.09
2025-10,840,44,6,2,0.3333,0.1
2025-10,840,46,5,2,0.4,0.07
2025-10,840,48,2,1,0.5,0.16
2025-10,840,50,5,1,0.2,0.06
2025-10,840,52,5,3,0.6,0.1
2025-10,840,54,3,1,0.3333,0.03
2025-10,840,56,2,1,0.5,0.13
2025-10,840,58,4,4,1.0,0.1
2025-10,840,60,8,6,0.75,0.09
2025-10,840,62,8,3,0.375,0.1
2025-10,840,64,4,3,0.75,0.075
2025-10,840,66,3,2,0.6667,0.07
2025-10,840,68,2,1,0.5,0.06
2025-10,840,70,3,3,1.0,0.1
2025-10,840,72,6,6,1.0,0.09
2025-10,840,74,10,6,0.6,0.08
2025-10,840,76,3,2,0.6667,0.05
2025-10,840,78,7,7,1.0,0.07
2025-10,840,80,1,1,1.0,0.08
2025-10,840,82,3,2,0.6667,0.11
2025-10,840,84,8,6,0.75,0.04
2025-10,840,86,10,10,1.0,0.095
2025-10,840,88,10,8,0.8,0.085
2025-10,840,90,9,9,1.0,0.07
2025-10,840,92,23,22,0.9565,0.05
2025-10,840,94,23,23,1.0,0.049
2025-10,840,96,35,34,0.9714,0.03
2025-10,840,98,32,32,1.0,0.01
2025-10,870,0,13,0,0.0,0.01
2025-10,870,2,20,1,0.05,0.03
2025-10,870,4,19,0,0.0,0.04
2025-10,870,6,10,0,0.0,0.095
2025-10,870,8,9,0,0.0,0.1
2025-10,870,10,11,0,0.0,0.1
2025-10,870,12,8,0,0.0,0.065
2025-10,870,14,3,0,0.0,0.1
2025-10,870,16,3,0,0.0,0.11
2025-10,870,18,5,1,0.2,0.13
2025-10,870,20,3,0,0.0,0.11
2025-10,870,22,6,0,0.0,0.115
2025-10,870,24,4,1,0.25,0.09
2025-10,870,26,2,0,0.0,0.105
2025-10,870,28,3,0,0.0,0.08
2025-10,870,30,2,1,0.5,0.435
2025-10,870,32,3,2,0.6667,0.09
2025-10,870,34,3,1,0.3333,0.09
2025-10,870,36,1,1,1.0,0.13
2025-10,870,38,3,1,0.3333,0.06
2025-10,870,40,2,1,0.5,0.035
2025-10,870,42,2,2,1.0,0.05
2025-10,870,44,6,2,0.3333,0.105
2025-10,870,46,2,1,0.5,0.145
