month,t_sec,token,state,ask_band,n,n_wins,p_win,avg_ask,med_ask_sz,med_top3_ask
2025-10,780,down,ask_only,0,118,0,0.0,0.0099,863.0,1385.9
2025-10,780,down,ask_only,2,6,0,0.0,0.0233,142.5,512.0
2025-10,780,down,ask_only,4,7,0,0.0,0.0457,80.0,478.8
2025-10,780,down,two_sided,0,4,0,0.0,0.0065,301.1,1914.5
2025-10,780,down,two_sided,2,38,0,0.0,0.0239,123.9,571.3
2025-10,780,down,two_sided,4,31,0,0.0,0.0445,50.0,222.4
2025-10,780,down,two_sided,6,26,2,0.0769,0.0638,35.0,236.9
2025-10,780,down,two_sided,8,22,0,0.0,0.0845,16.5,253.2
2025-10,780,down,two_sided,10,21,0,0.0,0.1052,24.0,235.0
2025-10,780,down,two_sided,12,10,1,0.1,0.124,16.5,284.2
2025-10,780,down,two_sided,14,19,1,0.0526,0.1432,20.0,143.9
2025-10,780,down,two_sided,16,4,0,0.0,0.165,5.0,130.7
2025-10,780,down,two_sided,18,10,2,0.2,0.186,22.5,268.5
2025-10,780,down,two_sided,20,6,2,0.3333,0.205,75.0,508.0
2025-10,780,down,two_sided,22,14,2,0.1429,0.2271,18.0,357.9
2025-10,780,down,two_sided,24,4,0,0.0,0.2425,43.4,198.9
2025-10,780,down,two_sided,26,7,1,0.1429,0.2657,26.0,326.3
2025-10,780,down,two_sided,28,11,1,0.0909,0.2836,15.0,82.0
2025-10,780,down,two_sided,30,17,1,0.0588,0.3041,37.4,152.0
2025-10,780,down,two_sided,32,12,4,0.3333,0.3233,19.0,164.6
2025-10,780,down,two_sided,34,5,3,0.6,0.342,7.1,415.0
2025-10,780,down,two_sided,36,7,4,0.5714,0.3643,10.0,287.8
2025-10,780,down,two_sided,38,8,1,0.125,0.3863,37.5,329.4
2025-10,780,down,two_sided,40,9,5,0.5556,0.4022,26.0,216.0
2025-10,780,down,two_sided,42,8,3,0.375,0.425,21.3,230.3
2025-10,780,down,two_sided,44,5,2,0.4,0.444,22.0,97.5
2025-10,780,down,two_sided,46,4,3,0.75,0.4625,29.5,240.6
2025-10,780,down,two_sided,48,11,3,0.2727,0.4873,18.4,80.5
2025-10,780,down,two_sided,50,10,5,0.5,0.503,30.0,128.0
2025-10,780,down,two_sided,52,7,3,0.4286,0.5257,28.0,329.0
2025-10,780,down,two_sided,54,6,2,0.3333,0.5467,55.0,326.8
2025-10,780,down,two_sided,56,13,7,0.5385,0.5677,45.0,158.4
2025-10,780,down,two_sided,58,4,2,0.5,0.59,29.3,227.6
2025-10,780,down,two_sided,60,7,3,0.4286,0.6029,20.0,158.5
2025-10,780,down,two_sided,62,3,1,0.3333,0.6267,5.0,281.0
2025-10,780,down,two_sided,64,7,5,0.7143,0.6457,18.0,126.0
2025-10,780,down,two_sided,66,5,2,0.4,0.662,53.7,656.8
2025-10,780,down,two_sided,68,3,3,1.0,0.6833,25.0,194.0
2025-10,780,down,two_sided,70,9,6,0.6667,0.7033,28.0,264.0
2025-10,780,down,two_sided,72,4,3,0.75,0.7225,253.0,530.8
2025-10,780,down,two_sided,74,8,8,1.0,0.7413,43.0,201.5
2025-10,780,down,two_sided,76,8,6,0.75,0.7675,32.9,275.8
2025-10,780,down,two_sided,78,9,7,0.7778,0.7844,26.0,321.2
