month,t_sec,up_state,n,n_up_wins,p_up
2025-10,780,ask_only,149,0,0.0
2025-10,780,bid_only,131,131,1.0
2025-10,780,empty,10,3,0.3
2025-10,780,two_sided,664,333,0.5015
2025-10,840,ask_only,238,0,0.0
2025-10,840,bid_only,235,234,0.9957
2025-10,840,empty,6,1,0.1667
2025-10,840,two_sided,475,232,0.4884
2025-10,870,ask_only,332,1,0.003
2025-10,870,bid_only,310,310,1.0
2025-10,870,empty,6,1,0.1667
2025-10,870,two_sided,306,155,0.5065
2025-10,885,ask_only,378,2,0.0053
2025-10,885,bid_only,352,352,1.0
2025-10,885,empty,5,1,0.2
2025-10,885,two_sided,219,112,0.5114
2025-10,897,ask_only,423,1,0.0024
2025-10,897,bid_only,399,398,0.9975
2025-10,897,empty,5,1,0.2
2025-10,897,two_sided,127,67,0.5276
2025-10,899,ask_only,439,2,0.0046
2025-10,899,bid_only,415,414,0.9976
2025-10,899,empty,4,1,0.25
2025-10,899,two_sided,96,50,0.5208
2025-11,780,ask_only,331,0,0.0
2025-11,780,bid_only,320,320,1.0
2025-11,780,empty,2,2,1.0
2025-11,780,two_sided,1465,748,0.5106
2025-11,840,ask_only,554,0,0.0
2025-11,840,bid_only,563,562,0.9982
2025-11,840,empty,2,2,1.0
2025-11,840,two_sided,999,506,0.5065
2025-11,870,ask_only,694,1,0.0014
2025-11,870,bid_only,700,699,0.9986
2025-11,870,empty,2,2,1.0
2025-11,870,two_sided,722,368,0.5097
2025-11,885,ask_only,785,1,0.0013
2025-11,885,bid_only,793,791,0.9975
2025-11,885,empty,1,1,1.0
2025-11,885,two_sided,539,277,0.5139
2025-11,897,ask_only,905,0,0.0
2025-11,897,bid_only,914,913,0.9989
2025-11,897,two_sided,299,157,0.5251
2025-11,899,ask_only,939,0,0.0
2025-11,899,bid_only,960,957,0.9969
2025-11,899,two_sided,219,113,0.516
2025-12,780,ask_only,385,4,0.0104
2025-12,780,bid_only,435,433,0.9954
2025-12,780,empty,1,1,1.0
2025-12,780,two_sided,1850,916,0.4951
2025-12,840,ask_only,626,0,0.0
2025-12,840,bid_only,707,705,0.9972
2025-12,840,empty,1,1,1.0
2025-12,840,two_sided,1337,648,0.4847
2025-12,870,ask_only,802,1,0.0012
2025-12,870,bid_only,867,866,0.9988
2025-12,870,two_sided,1002,487,0.486
2025-12,885,ask_only,915,2,0.0022
2025-12,885,bid_only,991,990,0.999
2025-12,885,two_sided,765,362,0.4732
2025-12,897,ask_only,1053,2,0.0019
2025-12,897,bid_only,1109,1108,0.9991
2025-12,897,two_sided,509,244,0.4794
2025-12,899,ask_only,1099,3,0.0027
2025-12,899,bid_only,1144,1143,0.9991
2025-12,899,two_sided,428,208,0.486
2026-01,780,ask_only,158,1,0.0063
2026-01,780,bid_only,181,179,0.989
2026-01,780,empty,5,3,0.6
2026-01,780,two_sided,2248,1082,0.4813
2026-01,840,ask_only,324,1,0.0031
2026-01,840,bid_only,355,354,0.9972
2026-01,840,empty,2,2,1.0
2026-01,840,two_sided,1911,908,0.4751
2026-01,870,ask_only,498,2,0.004
2026-01,870,bid_only,511,508,0.9941
2026-01,870,empty,2,2,1.0
2026-01,870,two_sided,1581,753,0.4763
2026-01,885,ask_only,640,3,0.0047
2026-01,885,bid_only,638,638,1.0
2026-01,885,empty,2,2,1.0
2026-01,885,two_sided,1312,622,0.4741
2026-01,897,ask_only,866,1,0.0012
2026-01,897,bid_only,847,847,1.0
2026-01,897,empty,2,2,1.0
2026-01,897,two_sided,877,415,0.4732
2026-01,899,ask_only,925,0,0.0
2026-01,899,bid_only,881,881,1.0
2026-01,899,empty,2,2,1.0
2026-01,899,two_sided,784,382,0.4872
2026-02,780,ask_only,171,0,0.0
2026-02,780,bid_only,197,197,1.0
2026-02,780,two_sided,2070,1025,0.4952
2026-02,840,ask_only,356,0,0.0
2026-02,840,bid_only,423,423,1.0
2026-02,840,two_sided,1659,799,0.4816
2026-02,870,ask_only,587,1,0.0017
2026-02,870,bid_only,612,612,1.0
2026-02,870,two_sided,1239,609,0.4915
2026-02,885,ask_only,751,0,0.0
2026-02,885,bid_only,743,743,1.0
2026-02,885,two_sided,944,479,0.5074
2026-02,897,ask_only,925,1,0.0011
2026-02,897,bid_only,940,940,1.0
2026-02,897,two_sided,573,281,0.4904
2026-02,899,ask_only,1001,1,0.001
2026-02,899,bid_only,1000,1000,1.0
2026-02,899,two_sided,437,221,0.5057
2026-03,780,ask_only,255,1,0.0039
2026-03,780,bid_only,245,244,0.9959
2026-03,780,empty,1,0,0.0
2026-03,780,two_sided,2225,1124,0.5052
2026-03,840,ask_only,468,0,0.0
2026-03,840,bid_only,428,427,0.9977
2026-03,840,two_sided,1830,942,0.5148
2026-03,870,ask_only,684,1,0.0015
2026-03,870,bid_only,680,679,0.9985
2026-03,870,two_sided,1362,689,0.5059
2026-03,885,ask_only,807,1,0.0012
2026-03,885,bid_only,831,830,0.9988
2026-03,885,two_sided,1088,538,0.4945
2026-03,897,ask_only,1047,0,0.0
2026-03,897,bid_only,1061,1061,1.0
2026-03,897,two_sided,618,308,0.4984
2026-03,899,ask_only,1170,0,0.0
2026-03,899,bid_only,1182,1182,1.0
2026-03,899,two_sided,374,187,0.5
2026-04,780,ask_only,223,3,0.0135
2026-04,780,bid_only,248,248,1.0
2026-04,780,empty,14,4,0.2857
2026-04,780,two_sided,2145,1088,0.5072
2026-04,840,ask_only,437,3,0.0069
2026-04,840,bid_only,494,494,1.0
2026-04,840,two_sided,1699,846,0.4979
2026-04,870,ask_only,606,4,0.0066
2026-04,870,bid_only,679,679,1.0
2026-04,870,two_sided,1345,660,0.4907
2026-04,885,ask_only,734,4,0.0054
2026-04,885,bid_only,840,840,1.0
2026-04,885,two_sided,1056,499,0.4725
2026-04,897,ask_only,945,3,0.0032
2026-04,897,bid_only,999,997,0.998
2026-04,897,empty,6,4,0.6667
2026-04,897,two_sided,680,339,0.4985
2026-04,899,ask_only,1139,3,0.0026
2026-04,899,bid_only,1175,1175,1.0
2026-04,899,two_sided,316,165,0.5222
2026-05,780,ask_only,80,1,0.0125
2026-05,780,bid_only,85,84,0.9882
2026-05,780,empty,1,1,1.0
2026-05,780,two_sided,831,397,0.4777
2026-05,840,ask_only,159,1,0.0063
2026-05,840,bid_only,167,167,1.0
2026-05,840,two_sided,671,315,0.4694
2026-05,870,ask_only,209,0,0.0
2026-05,870,bid_only,245,245,1.0
2026-05,870,two_sided,543,238,0.4383
2026-05,885,ask_only,266,1,0.0038
2026-05,885,bid_only,303,303,1.0
2026-05,885,two_sided,428,179,0.4182
2026-05,897,ask_only,367,4,0.0109
2026-05,897,bid_only,359,358,0.9972
2026-05,897,empty,2,2,1.0
2026-05,897,two_sided,269,119,0.4424
2026-05,899,ask_only,437,0,0.0
2026-05,899,bid_only,419,418,0.9976
2026-05,899,empty,1,0,0.0
2026-05,899,two_sided,140,65,0.4643
ALL,780,ask_only,1752,10,0.0057
ALL,780,bid_only,1842,1836,0.9967
ALL,780,empty,34,14,0.4118
