month,t_sec,band_c,n,med_spread,p90_spread,med_top3_bid,p90_top3_bid,med_top3_ask,p90_top3_ask
ALL,0.0,26,1,0.25,0.25,132.5,132.5,600.7,600.7
ALL,0.0,34,1,0.01,0.01,1213.0,1213.0,858.7,858.7
ALL,0.0,36,3,0.01,0.01,1245.0,2119.5,3241.0,22023.6
ALL,0.0,38,12,0.02,0.078,667.0,1371.2,1214.0,2531.8
ALL,0.0,40,31,0.01,0.03,278.7,919.7,799.4,2813.4
ALL,0.0,42,85,0.02,0.05,243.7,925.0,930.8,3139.1
ALL,0.0,44,180,0.01,0.07,330.9,1188.1,955.4,4042.2
ALL,0.0,46,256,0.01,0.03,414.9,1988.6,712.1,4331.8
ALL,0.0,48,387,0.01,0.03,379.3,2170.4,468.9,3107.7
ALL,0.0,50,419,0.01,0.03,551.3,3682.7,432.9,3737.7
ALL,0.0,52,260,0.01,0.04,749.1,3453.1,493.3,2315.6
ALL,0.0,54,214,0.01,0.04,740.0,3659.5,352.5,1310.5
ALL,0.0,56,101,0.02,0.06,1119.9,3361.5,260.2,852.6
ALL,0.0,58,21,0.02,0.04,884.8,3119.4,333.8,819.6
ALL,0.0,60,7,0.06,0.088,1625.5,4897.2,313.6,770.3
ALL,0.0,62,2,0.06,0.084,2766.2,4520.7,541.3,874.0
ALL,0.0,64,2,0.025,0.037,763.0,806.7,1601.2,2289.0
ALL,0.0,66,1,0.25,0.25,729.9,729.9,235.0,235.0
ALL,0.0,70,1,0.4,0.4,137.0,137.0,6165.4,6165.4
ALL,0.0,84,1,0.08,0.08,1088.6,1088.6,745.8,745.8
ALL,15.0,20,1,0.01,0.01,1872.2,1872.2,986.3,986.3
ALL,15.0,22,1,0.05,0.05,111.5,111.5,125.1,125.1
ALL,15.0,26,1,0.08,0.08,39.4,39.4,90.0,90.0
ALL,15.0,28,3,0.01,0.01,461.5,611.1,343.9,951.3
ALL,15.0,30,1,0.01,0.01,339.0,339.0,535.1,535.1
ALL,15.0,32,11,0.02,0.04,474.5,1445.6,655.6,1984.5
ALL,15.0,34,14,0.01,0.031,622.1,1039.6,723.3,1371.8
ALL,15.0,36,28,0.01,0.02,754.1,1569.7,579.1,1702.5
ALL,15.0,38,41,0.01,0.03,812.0,1286.3,644.1,1533.7
ALL,15.0,40,78,0.01,0.03,615.9,2216.2,766.4,1690.8
ALL,15.0,42,124,0.01,0.05,819.5,2277.5,855.8,3777.1
ALL,15.0,44,159,0.01,0.03,832.5,2560.9,1136.1,4574.7
ALL,15.0,46,226,0.01,0.03,873.8,3613.5,1265.1,5199.1
ALL,15.0,48,284,0.01,0.02,946.5,4021.4,1039.3,3672.7
ALL,15.0,50,323,0.01,0.03,1060.8,4196.0,827.2,4239.8
ALL,15.0,52,210,0.01,0.04,976.3,3771.2,654.6,2273.6
ALL,15.0,54,173,0.01,0.05,976.5,3700.4,682.5,2361.8
ALL,15.0,56,137,0.01,0.04,1118.0,3577.6,827.9,2805.1
ALL,15.0,58,65,0.01,0.026,714.1,2853.8,646.4,1859.4
ALL,15.0,60,48,0.01,0.03,866.6,2163.0,756.3,2174.2
ALL,15.0,62,23,0.01,0.02,550.4,2158.9,721.9,2048.1
ALL,15.0,64,16,0.01,0.015,628.9,2674.5,648.8,2419.2
ALL,15.0,66,5,0.02,0.03,247.3,669.7,153.6,1457.2
ALL,15.0,68,6,0.03,0.075,320.0,721.8,582.1,1348.8
ALL,15.0,70,3,0.01,0.01,1190.0,1410.9,908.7,1190.2
ALL,15.0,72,2,0.01,0.01,495.2,573.5,1552.0,2516.2
ALL,15.0,74,1,0.01,0.01,208.5,208.5,1281.6,1281.6
ALL,15.0,78,2,0.025,0.037,671.4,1119.1,272.0,397.7
ALL,15.0,80,1,0.01,0.01,730.4,730.4,406.6,406.6
ALL,15.0,84,1,0.02,0.02,601.9,601.9,1384.7,1384.7
ALL,30.0,16,2,0.01,0.01,587.0,922.8,762.1,1189.8
ALL,30.0,22,2,0.015,0.019,2733.4,3656.8,963.7,1063.8
ALL,30.0,24,3,0.01,0.01,1079.6,1140.3,1636.7,2089.6
ALL,30.0,26,3,0.01,0.106,734.3,1232.7,719.0,720.6
