source,t_sec,band_c,n,med_spread,p25_spread,med_top3_bid,p25_top3_bid,med_top3_ask,p25_top3_ask
endgame_holdout,780,0,1540,0.007,0.001,3185.4,1064.1,2443.8,1030.0
endgame_holdout,780,2,903,0.01,0.01,5474.0,2760.6,1348.1,638.3
endgame_holdout,780,4,493,0.01,0.01,2692.6,1466.8,924.3,473.8
endgame_holdout,780,6,388,0.01,0.01,1524.4,775.4,807.7,444.6
endgame_holdout,780,8,294,0.01,0.01,1119.7,639.9,797.6,450.1
endgame_holdout,780,10,268,0.01,0.01,826.2,384.9,668.1,359.1
endgame_holdout,780,12,220,0.01,0.01,839.5,410.4,724.3,329.4
endgame_holdout,780,14,206,0.01,0.01,768.2,378.5,614.1,323.7
endgame_holdout,780,16,192,0.01,0.01,596.5,349.2,583.0,323.8
endgame_holdout,780,18,183,0.01,0.01,565.1,284.8,597.3,313.8
endgame_holdout,780,20,151,0.01,0.01,555.5,276.8,573.9,267.1
endgame_holdout,780,22,138,0.01,0.01,623.3,281.5,588.3,276.7
endgame_holdout,780,24,127,0.01,0.01,685.0,341.2,622.2,282.5
endgame_holdout,780,26,141,0.01,0.01,497.1,264.7,543.3,242.2
endgame_holdout,780,28,124,0.01,0.01,532.8,324.4,553.1,265.4
endgame_holdout,780,30,119,0.01,0.01,565.0,252.8,465.0,244.2
endgame_holdout,780,32,135,0.01,0.01,539.9,258.0,437.4,298.6
endgame_holdout,780,34,128,0.01,0.01,510.8,237.9,458.5,228.1
endgame_holdout,780,36,104,0.01,0.01,588.1,248.6,540.9,204.7
endgame_holdout,780,38,117,0.01,0.01,589.9,249.4,466.3,235.9
endgame_holdout,780,40,112,0.01,0.01,584.9,283.3,475.4,243.6
endgame_holdout,780,42,115,0.01,0.01,530.4,232.7,585.5,229.7
endgame_holdout,780,44,110,0.01,0.01,516.8,252.0,493.0,202.6
endgame_holdout,780,46,123,0.01,0.01,769.5,340.9,464.4,246.1
endgame_holdout,780,48,220,0.01,0.01,1656.1,475.9,1542.2,445.1
endgame_holdout,780,50,354,0.01,0.01,2869.1,838.0,3089.1,774.2
endgame_holdout,780,52,134,0.01,0.01,427.1,208.4,512.2,292.8
endgame_holdout,780,54,105,0.01,0.01,469.0,196.1,473.6,224.9
endgame_holdout,780,56,114,0.01,0.01,490.0,236.9,425.8,243.1
endgame_holdout,780,58,95,0.01,0.01,472.8,209.4,551.1,234.0
endgame_holdout,780,60,104,0.01,0.01,475.3,212.8,455.1,232.1
endgame_holdout,780,62,131,0.01,0.01,554.0,265.2,597.0,283.3
endgame_holdout,780,64,115,0.01,0.01,523.5,253.5,624.7,208.8
endgame_holdout,780,66,110,0.01,0.01,528.7,277.8,552.9,245.5
endgame_holdout,780,68,124,0.01,0.01,556.2,314.2,608.8,318.5
endgame_holdout,780,70,136,0.01,0.01,467.3,256.4,433.8,296.8
endgame_holdout,780,72,132,0.01,0.01,512.0,277.6,547.2,266.8
endgame_holdout,780,74,141,0.01,0.01,581.1,278.9,523.9,304.2
endgame_holdout,780,76,170,0.01,0.01,658.0,302.3,602.3,310.2
endgame_holdout,780,78,134,0.01,0.01,585.4,344.7,563.9,295.1
endgame_holdout,780,80,174,0.01,0.01,882.1,361.9,746.2,318.4
endgame_holdout,780,82,192,0.01,0.01,571.0,255.8,645.7,359.8
endgame_holdout,780,84,198,0.01,0.01,621.8,302.7,777.0,385.1
endgame_holdout,780,86,200,0.01,0.01,568.4,312.9,885.9,405.7
endgame_holdout,780,88,254,0.01,0.01,684.0,361.3,847.7,445.9
endgame_holdout,780,90,309,0.01,0.01,750.7,414.9,1008.9,539.0
endgame_holdout,780,92,348,0.01,0.01,798.5,407.8,1429.4,772.7
endgame_holdout,780,94,513,0.01,0.01,967.9,508.9,2148.7,1266.7
endgame_holdout,780,96,915,0.01,0.01,1385.1,703.4,5899.0,2888.0
endgame_holdout,780,98,1645,0.009,0.002,2399.7,1067.1,3364.2,1104.2
endgame_holdout,840,0,1517,0.007,0.001,2213.3,723.2,2213.3,938.5
endgame_holdout,840,2,780,0.01,0.01,4923.9,2391.8,1045.0,542.3
endgame_holdout,840,4,357,0.01,0.01,2008.1,1024.1,660.0,298.7
endgame_holdout,840,6,295,0.01,0.01,957.8,452.4,582.0,254.4
endgame_holdout,840,8,224,0.01,0.01,759.8,381.7,579.2,303.7
endgame_holdout,840,10,190,0.01,0.01,706.3,304.3,440.9,185.2
endgame_holdout,840,12,137,0.01,0.01,489.8,241.1,381.0,165.7
endgame_holdout,840,14,129,0.01,0.01,538.0,240.9,420.7,230.6
endgame_holdout,840,16,155,0.01,0.01,542.9,248.1,389.1,161.3
endgame_holdout,840,18,111,0.01,0.01,456.8,180.6,370.8,178.2
endgame_holdout,840,20,114,0.01,0.01,357.6,163.4,355.0,139.9
endgame_holdout,840,22,95,0.01,0.01,425.0,169.8,432.7,225.5
endgame_holdout,840,24,110,0.01,0.01,369.1,192.4,305.3,111.5
endgame_holdout,840,26,93,0.01,0.01,394.0,188.4,334.0,135.0
endgame_holdout,840,28,99,0.01,0.01,341.0,149.1,404.2,165.1
endgame_holdout,840,30,78,0.01,0.01,295.2,133.5,325.7,126.8
endgame_holdout,840,32,97,0.01,0.01,365.2,173.3,341.8,133.3
endgame_holdout,840,34,77,0.01,0.01,513.0,197.7,275.9,131.9
endgame_holdout,840,36,68,0.01,0.01,464.2,233.0,413.3,211.1
endgame_holdout,840,38,57,0.01,0.01,242.0,101.1,334.4,162.6
endgame_holdout,840,40,80,0.01,0.01,343.6,170.0,266.9,132.8
endgame_holdout,840,42,92,0.01,0.01,317.5,144.3,301.2,120.5
endgame_holdout,840,44,80,0.01,0.01,327.8,141.1,315.5,164.7
endgame_holdout,840,46,72,0.01,0.01,473.2,165.2,440.1,191.2
endgame_holdout,840,48,180,0.01,0.01,2158.8,435.0,2365.8,462.6
endgame_holdout,840,50,305,0.01,0.01,3035.4,1237.4,3409.6,1438.9
endgame_holdout,840,52,80,0.01,0.01,507.6,166.0,290.8,147.1
endgame_holdout,840,54,85,0.01,0.01,427.5,205.8,338.9,186.9
endgame_holdout,840,56,60,0.01,0.01,303.1,152.0,238.2,102.6
endgame_holdout,840,58,63,0.01,0.01,367.6,166.5,443.6,125.7
endgame_holdout,840,60,66,0.01,0.01,308.2,118.1,390.1,146.5
endgame_holdout,840,62,79,0.02,0.01,344.2,197.3,344.7,159.6
endgame_holdout,840,64,85,0.01,0.01,312.0,127.0,269.2,116.1
endgame_holdout,840,66,81,0.01,0.01,465.5,208.4,365.3,180.3
endgame_holdout,840,68,80,0.01,0.01,397.4,125.9,326.0,166.0
endgame_holdout,840,70,79,0.01,0.01,289.2,143.0,327.0,176.4
endgame_holdout,840,72,97,0.01,0.01,398.1,152.1,375.1,196.5
endgame_holdout,840,74,102,0.01,0.01,290.0,141.4,261.9,133.8
endgame_holdout,840,76,105,0.01,0.01,385.1,159.9,333.7,177.0
endgame_holdout,840,78,106,0.01,0.01,433.9,195.3,482.2,201.5
endgame_holdout,840,80,102,0.01,0.01,389.0,184.6,338.1,160.1
endgame_holdout,840,82,130,0.01,0.01,456.0,199.5,423.3,197.8
endgame_holdout,840,84,124,0.01,0.01,422.1,165.8,426.1,151.3
endgame_holdout,840,86,152,0.01,0.01,444.1,228.1,616.5,322.9
endgame_holdout,840,88,159,0.01,0.01,486.8,207.2,570.7,260.3
endgame_holdout,840,90,194,0.01,0.01,624.7,303.6,770.7,395.6
endgame_holdout,840,92,287,0.01,0.01,639.3,297.7,945.7,453.4
endgame_holdout,840,94,390,0.01,0.01,722.3,352.8,1939.6,1052.0
endgame_holdout,840,96,794,0.01,0.01,1039.1,513.3,4701.1,2562.1
endgame_holdout,840,98,1489,0.007,0.001,2068.9,795.8,2091.5,747.9
