source,t_sec,band_c,n,med_spread,p25_spread,med_top3_bid,p25_top3_bid,med_top3_ask,p25_top3_ask
midwindow_holdout,300,0,8,0.01,0.01,4376.2,2732.0,2132.7,1257.3
midwindow_holdout,300,2,47,0.01,0.01,9746.6,6739.2,1743.6,1294.2
midwindow_holdout,300,4,91,0.01,0.01,4680.6,2933.6,1629.6,1134.5
midwindow_holdout,300,6,159,0.01,0.01,2078.0,1230.3,1429.1,707.3
midwindow_holdout,300,8,173,0.01,0.01,1820.7,958.5,1235.0,730.3
midwindow_holdout,300,10,252,0.01,0.01,1318.0,792.4,1007.2,574.4
midwindow_holdout,300,12,270,0.01,0.01,1142.2,683.1,997.4,540.1
midwindow_holdout,300,14,250,0.01,0.01,1061.1,620.5,1101.4,564.2
midwindow_holdout,300,16,315,0.01,0.01,1033.4,567.0,874.3,453.6
midwindow_holdout,300,18,334,0.01,0.01,920.1,504.2,934.5,568.2
midwindow_holdout,300,20,380,0.01,0.01,929.6,493.4,954.0,549.0
midwindow_holdout,300,22,397,0.01,0.01,1014.3,508.6,911.0,482.7
midwindow_holdout,300,24,398,0.01,0.01,944.5,470.2,908.0,440.8
midwindow_holdout,300,26,396,0.01,0.01,887.4,444.8,798.7,464.9
midwindow_holdout,300,28,387,0.01,0.01,888.3,464.2,840.8,492.8
midwindow_holdout,300,30,436,0.01,0.01,865.2,448.1,747.1,411.3
midwindow_holdout,300,32,426,0.01,0.01,889.6,461.4,859.5,470.5
midwindow_holdout,300,34,470,0.01,0.01,929.7,466.0,865.2,430.5
midwindow_holdout,300,36,449,0.01,0.01,855.9,410.9,826.0,433.5
midwindow_holdout,300,38,479,0.01,0.01,803.0,400.2,748.0,383.0
midwindow_holdout,300,40,451,0.01,0.01,781.0,403.6,767.2,392.4
midwindow_holdout,300,42,430,0.01,0.01,781.1,404.3,730.3,421.5
midwindow_holdout,300,44,476,0.01,0.01,738.7,411.6,736.7,379.3
midwindow_holdout,300,46,472,0.01,0.01,775.1,434.1,792.6,444.5
midwindow_holdout,300,48,577,0.01,0.01,911.3,420.1,951.4,496.1
midwindow_holdout,300,50,731,0.01,0.01,1390.2,566.1,1354.6,562.2
midwindow_holdout,300,52,404,0.01,0.01,759.3,386.0,718.9,368.8
midwindow_holdout,300,54,446,0.01,0.01,776.0,440.5,770.0,396.8
midwindow_holdout,300,56,450,0.01,0.01,764.5,382.3,831.3,437.2
midwindow_holdout,300,58,397,0.01,0.01,762.4,440.1,757.4,383.3
midwindow_holdout,300,60,416,0.01,0.01,806.0,438.8,841.5,430.7
midwindow_holdout,300,62,431,0.01,0.01,787.5,436.3,794.3,477.8
midwindow_holdout,300,64,391,0.01,0.01,794.8,372.7,833.8,483.6
midwindow_holdout,300,66,483,0.01,0.01,863.9,457.5,925.8,517.8
midwindow_holdout,300,68,461,0.01,0.01,811.0,444.2,888.5,476.0
midwindow_holdout,300,70,389,0.01,0.01,824.7,427.2,826.0,462.0
midwindow_holdout,300,72,457,0.01,0.01,920.0,470.1,958.6,471.8
midwindow_holdout,300,74,383,0.01,0.01,872.6,444.1,800.1,479.9
midwindow_holdout,300,76,387,0.01,0.01,948.1,496.8,958.5,554.9
midwindow_holdout,300,78,373,0.01,0.01,922.3,537.5,951.1,526.6
