t_bucket,jump_dir,jump_mag,n,n_d30,med_d30,p10_d30,p90_d30,n_d60,med_d60,p10_d60,p90_d60,n_d120,med_d120,p10_d120,p90_d120
000-300,down,10c+,939,939,-0.005,-0.11,0.11,939,-0.01,-0.141,0.14,939,-0.01,-0.19,0.206
000-300,down,3-5c,13460,13460,-0.01,-0.105,0.09,13460,-0.005,-0.145,0.125,13460,-0.005,-0.2,0.185
000-300,down,5-10c,3888,3888,0.0,-0.1,0.095,3888,-0.0025,-0.14,0.14,3888,-0.01,-0.2,0.21
000-300,up,10c+,872,872,0.0,-0.115,0.11,872,0.0,-0.17,0.14,872,0.005,-0.24,0.17
000-300,up,3-5c,13860,13860,0.01,-0.085,0.1,13860,0.01,-0.13,0.14,13860,0.01,-0.19,0.2
000-300,up,5-10c,3915,3915,0.0,-0.1,0.1,3915,0.0,-0.15,0.14,3915,0.0,-0.215,0.19
300-600,down,10c+,1118,1118,0.0,-0.13,0.1315,1118,-0.005,-0.18,0.1765,1118,-0.0118,-0.24,0.27
300-600,down,3-5c,11638,11638,-0.01,-0.11,0.08,11638,-0.01,-0.15,0.13,11638,-0.01,-0.21,0.205
300-600,down,5-10c,3457,3457,0.0,-0.115,0.11,3457,-0.005,-0.16,0.16,3457,-0.02,-0.225,0.24
300-600,up,10c+,1123,1123,0.0,-0.14,0.13,1123,0.005,-0.19,0.16,1123,0.01,-0.265,0.24
300-600,up,3-5c,11596,11596,0.01,-0.085,0.11,11596,0.01,-0.13,0.155,11596,0.02,-0.19,0.225
300-600,up,5-10c,3534,3534,0.0,-0.11,0.11,3534,0.01,-0.15,0.155,3534,0.015,-0.22,0.23
600-780,down,10c+,964,964,0.0,-0.16,0.175,964,-0.015,-0.24,0.26,964,-0.0425,-0.345,0.39
600-780,down,3-5c,4961,4961,-0.01,-0.13,0.105,4961,-0.01,-0.18,0.17,4961,-0.02,-0.275,0.27
600-780,down,5-10c,1731,1731,-0.01,-0.145,0.135,1731,-0.01,-0.215,0.22,1731,-0.03,-0.33,0.35
600-780,up,10c+,974,974,0.01,-0.16,0.16,974,0.0325,-0.2585,0.24,974,0.06,-0.39,0.33
600-780,up,3-5c,5229,5229,0.01,-0.1,0.14,5229,0.015,-0.155,0.2,5229,0.024,-0.25,0.305
600-780,up,5-10c,1765,1765,0.01,-0.14,0.145,1765,0.02,-0.21,0.225,1765,0.04,-0.338,0.34
780-900,down,10c+,840,600,-0.04,-0.3005,0.2655,373,-0.07,-0.424,0.36,0,,,
780-900,down,3-5c,1872,1581,-0.01,-0.195,0.12,1178,-0.02,-0.305,0.203,1,-0.155,-0.155,-0.155
780-900,down,5-10c,829,659,-0.015,-0.221,0.2,444,-0.03,-0.295,0.29,1,0.11,0.11,0.11
780-900,up,10c+,799,584,0.0325,-0.3249,0.26,383,0.045,-0.434,0.364,0,,,
780-900,up,3-5c,1955,1721,0.01,-0.145,0.205,1237,0.02,-0.24,0.28,1,0.6395,0.6395,0.6395
780-900,up,5-10c,816,667,0.015,-0.232,0.215,461,0.02,-0.39,0.29,0,,,
