slug,epoch,t_sec,jump_size,mid_at_jump,drift_30s,drift_60s,drift_120s
btc-updown-15m-1768876200,1768876200,2.6,0.035,0.59,0.055,-0.045,0.195
btc-updown-15m-1768876200,1768876200,12.6,0.125,0.715,-0.12,-0.13,0.07
btc-updown-15m-1768876200,1768876200,22.6,-0.05,0.665,-0.07,-0.01,0.11
btc-updown-15m-1768876200,1768876200,40.2,-0.03,0.625,-0.03,0.08,0.11
btc-updown-15m-1768876200,1768876200,50.2,-0.03,0.595,0.06,0.16,0.12
btc-updown-15m-1768876200,1768876200,61.2,-0.035,0.56,0.085,0.215,0.155
btc-updown-15m-1768876200,1768876200,71.5,0.04,0.585,0.14,0.21,0.11
btc-updown-15m-1768876200,1768876200,81.6,0.07,0.655,0.09,0.12,-0.01
btc-updown-15m-1768876200,1768876200,98.1,0.03,0.665,0.13,0.07,-0.03
btc-updown-15m-1768876200,1768876200,108.1,0.08,0.745,-0.03,-0.03,-0.11
btc-updown-15m-1768876200,1768876200,118.1,0.05,0.795,-0.03,-0.08,-0.06
btc-updown-15m-1768876200,1768876200,136,-0.03,0.765,-0.03,-0.12,-0.01
btc-updown-15m-1768876200,1768876200,147.5,0.055,0.765,-0.05,-0.13,-0.02
btc-updown-15m-1768876200,1768876200,157.6,-0.03,0.735,-0.03,-0.1,0.06
btc-updown-15m-1768876200,1768876200,172.8,-0.03,0.715,-0.08,-0.08,0.11
btc-updown-15m-1768876200,1768876200,192.3,-0.035,0.67,-0.035,0.085,0.185
btc-updown-15m-1768876200,1768876200,202.3,-0.035,0.635,0,0.12,0.23
btc-updown-15m-1768876200,1768876200,233,0.04,0.675,0.08,0.15,0.23
btc-updown-15m-1768876200,1768876200,243,0.09,0.765,-0.02,0.06,0.12
btc-updown-15m-1768876200,1768876200,276.7,0.03,0.785,0.05,0.13,0.11
btc-updown-15m-1768876200,1768876200,303.7,0.03,0.855,0.06,0.03,0
btc-updown-15m-1768876200,1768876200,314.6,-0.03,0.825,0.08,0.09,0
btc-updown-15m-1768876200,1768876200,324.6,0.06,0.865,0.04,0.04,-0.04
btc-updown-15m-1768876200,1768876200,334.6,0.05,0.915,-0.03,-0.02,-0.1
btc-updown-15m-1768876200,1768876200,348.6,-0.03,0.895,0.01,0.02,-0.04
btc-updown-15m-1768876200,1768876200,373.1,0.03,0.915,0,-0.09,-0.02
btc-updown-15m-1768876200,1768876200,420.8,-0.03,0.885,-0.07,0,0.01
btc-updown-15m-1768876200,1768876200,430.8,-0.06,0.825,0.03,0.07,0.08
btc-updown-15m-1768876200,1768876200,460.3,0.03,0.855,0.04,0.02,0.08
btc-updown-15m-1768876200,1768876200,470.3,0.03,0.885,0.02,-0.01,0.06
btc-updown-15m-1768876200,1768876200,495.3,0.03,0.915,-0.04,-0.01,0.02
btc-updown-15m-1768876200,1768876200,505.3,-0.03,0.885,0,0.05,0.06
btc-updown-15m-1768876200,1768876200,542.6,0.03,0.905,0.03,0.05,0.05
btc-updown-15m-1768876200,1768876200,560.1,0.03,0.935,0.01,0,0.02
btc-updown-15m-1768887000,1768887000,8.6,-0.03,0.515,-0.09,-0.09,0.15
btc-updown-15m-1768887000,1768887000,18.6,-0.11,0.405,0.02,0.02,0.17
btc-updown-15m-1768887000,1768887000,31.5,0.03,0.395,0.03,0.06,0.25
btc-updown-15m-1768887000,1768887000,42.7,0.035,0.43,0.005,0.015,0.195
btc-updown-15m-1768887000,1768887000,59.1,0.03,0.445,-0.03,0.09,0.14
btc-updown-15m-1768887000,1768887000,82.6,0.03,0.465,0.06,0.19,0.15
btc-updown-15m-1768887000,1768887000,98.7,0.03,0.455,0.21,0.18,0.16
btc-updown-15m-1768887000,1768887000,108.7,0.08,0.535,0.04,0.06,0.13
btc-updown-15m-1768887000,1768887000,121.8,0.03,0.555,0.09,0.02,0.11
btc-updown-15m-1768887000,1768887000,131.8,0.06,0.615,0.01,-0.04,-0.01
btc-updown-15m-1768887000,1768887000,141.9,0.04,0.655,-0.06,-0.04,-0.01
btc-updown-15m-1768887000,1768887000,156.1,-0.03,0.635,-0.06,-0.02,0.02
btc-updown-15m-1768887000,1768887000,166.1,-0.05,0.585,0.01,0.04,0.08
btc-updown-15m-1768887000,1768887000,199.6,0.03,0.605,0.06,0.04,0.11
btc-updown-15m-1768887000,1768887000,228.1,0.03,0.645,0,-0.03,-0.08
btc-updown-15m-1768887000,1768887000,238.1,0.03,0.675,-0.02,-0.01,-0.11
btc-updown-15m-1768887000,1768887000,248.1,-0.04,0.635,0.02,0.07,-0.04
btc-updown-15m-1768887000,1768887000,261.6,0.035,0.645,-0.02,0.04,-0.14
btc-updown-15m-1768887000,1768887000,287.7,-0.035,0.62,0.095,-0.025,-0.075
btc-updown-15m-1768887000,1768887000,297.7,0.045,0.665,0.01,-0.1,-0.12
btc-updown-15m-1768887000,1768887000,308.1,0.035,0.7,-0.105,-0.105,-0.105
btc-updown-15m-1768887000,1768887000,320.9,-0.035,0.68,-0.115,-0.175,-0.015
btc-updown-15m-1768887000,1768887000,331,-0.03,0.65,-0.085,-0.125,-0.055
btc-updown-15m-1768887000,1768887000,341,-0.055,0.595,-0.05,-0.05,0.07
btc-updown-15m-1768887000,1768887000,351.1,-0.03,0.565,-0.06,-0.02,0.12
btc-updown-15m-1768887000,1768887000,365.8,-0.035,0.53,-0.005,0.055,0.105
btc-updown-15m-1768887000,1768887000,377.4,-0.03,0.525,0.02,0.13,0.1
btc-updown-15m-1768887000,1768887000,399.1,0.03,0.535,0.06,0.14,0.1
btc-updown-15m-1768887000,1768887000,421,0.035,0.58,0.015,0.075,-0.035
btc-updown-15m-1768887000,1768887000,431,0.03,0.615,0.05,0.01,-0.1
btc-updown-15m-1768887000,1768887000,441,0.05,0.665,0.02,0.08,-0.1
btc-updown-15m-1768887000,1768887000,451,-0.07,0.595,0.06,0.12,-0.34
btc-updown-15m-1768887000,1768887000,461,0.07,0.665,-0.04,-0.03,-0.4
btc-updown-15m-1768887000,1768887000,480.5,-0.03,0.655,0.06,-0.1,-0.43
btc-updown-15m-1768887000,1768887000,490.7,-0.03,0.625,0.01,-0.11,-0.41
btc-updown-15m-1768887000,1768887000,500.7,0.11,0.735,-0.09,-0.17,-0.45
btc-updown-15m-1768887000,1768887000,510.8,-0.03,0.715,-0.17,-0.44,-0.45
btc-updown-15m-1768887000,1768887000,520.8,-0.08,0.635,-0.12,-0.37,-0.4
btc-updown-15m-1768887000,1768887000,534.9,-0.03,0.605,-0.03,-0.42,-0.37
btc-updown-15m-1768887000,1768887000,544.9,-0.09,0.515,-0.26,-0.29,-0.3
btc-updown-15m-1768887000,1768887000,554.9,0.06,0.575,-0.3,-0.36,-0.42
btc-updown-15m-1768887000,1768887000,565.6,-0.03,0.525,-0.33,-0.24,-0.39
btc-updown-15m-1768887000,1768887000,575.6,-0.27,0.255,-0.04,0.01,-0.18
btc-updown-15m-1768887000,1768887000,585.7,0.06,0.315,-0.06,-0.09,-0.26
btc-updown-15m-1768887000,1768887000,595.7,-0.12,0.195,0.09,0.03,-0.16
btc-updown-15m-1768887000,1768887000,615.4,0.03,0.245,-0.02,-0.08,-0.23
btc-updown-15m-1768887000,1768887000,631.7,-0.04,0.265,-0.11,-0.15,-0.25
btc-updown-15m-1768887000,1768887000,641.8,-0.04,0.225,-0.1,-0.16,-0.21
btc-updown-15m-1768887000,1768887000,657,-0.03,0.205,-0.07,-0.17,-0.19
btc-updown-15m-1768887000,1768887000,667,-0.03,0.175,-0.1,-0.15,-0.16
btc-updown-15m-1768887000,1768887000,677.7,-0.03,0.135,-0.09,-0.12,-0.12
btc-updown-15m-1768887000,1768887000,689.1,-0.035,0.115,-0.09,-0.1,-0.1
btc-updown-15m-1768887000,1768887000,699.2,-0.04,0.075,-0.05,-0.06,-0.0595
btc-updown-15m-1768887000,1768887000,709.2,-0.03,0.045,-0.03,-0.03,-0.036
btc-updown-15m-1768887000,1768887000,719.4,-0.03,0.025,-0.01,-0.01,-0.0185
btc-updown-15m-1768896900,1768896900,3,0.03,0.555,0,-0.2,-0.01
btc-updown-15m-1768896900,1768896900,39.4,-0.03,0.525,-0.19,-0.03,0.02
btc-updown-15m-1768896900,1768896900,49.4,-0.04,0.485,-0.09,-0.03,0.07
btc-updown-15m-1768896900,1768896900,59.4,-0.08,0.405,0.06,0.1,0.19
btc-updown-15m-1768896900,1768896900,69.4,-0.07,0.335,0.16,0.22,0.35
btc-updown-15m-1768896900,1768896900,79.4,0.06,0.395,0.06,0.15,0.29
btc-updown-15m-1768896900,1768896900,89.4,0.07,0.465,0.04,0.07,0.27
btc-updown-15m-1768896900,1768896900,105.4,-0.035,0.46,0.035,0.075,0.255
btc-updown-15m-1768896900,1768896900,119.3,0.035,0.49,0.035,0.105,0.265
btc-updown-15m-1768896900,1768896900,129.3,0.06,0.555,-0.01,0.13,0.14
btc-updown-15m-1768896900,1768896900,141.8,0.03,0.545,0.03,0.17,0.23
btc-updown-15m-1768896900,1768896900,154.5,0.03,0.535,0.14,0.18,0.15
btc-updown-15m-1768896900,1768896900,171,0.035,0.575,0.12,0.13,0.08
btc-updown-15m-1768896900,1768896900,182.6,0.03,0.605,0.11,0.15,0.1
btc-updown-15m-1768896900,1768896900,192.6,0.09,0.695,0.04,0.02,0
btc-updown-15m-1768896900,1768896900,203.9,0.03,0.725,0,0.04,-0.02
btc-updown-15m-1768896900,1768896900,220.6,0.03,0.745,-0.05,-0.12,0.01
btc-updown-15m-1768896900,1768896900,230.6,-0.03,0.715,0.06,-0.06,0.04
btc-updown-15m-1768896900,1768896900,240.6,0.07,0.785,-0.08,-0.09,0.01
btc-updown-15m-1768896900,1768896900,250.6,-0.09,0.695,-0.07,0.02,0.15
btc-updown-15m-1768896900,1768896900,260.6,0.08,0.775,-0.12,-0.1,0.08
btc-updown-15m-1768896900,1768896900,270.6,-0.07,0.705,-0.01,0.02,0.2
btc-updown-15m-1768896900,1768896900,280.6,-0.075,0.63,0.085,0.125,0.225
btc-updown-15m-1768896900,1768896900,296.4,0.03,0.675,0.03,0.12,0.12
btc-updown-15m-1768896900,1768896900,306.4,0.05,0.725,0.03,0.09,0.06
btc-updown-15m-1768896900,1768896900,320.3,-0.035,0.68,0.075,0.175,0.125
btc-updown-15m-1768896900,1768896900,330.4,0.05,0.725,0.07,0.18,0.12
btc-updown-15m-1768896900,1768896900,340.4,0.03,0.755,0.09,0.08,0.11
btc-updown-15m-1768896900,1768896900,352.6,0.03,0.785,0.07,-0.02,0.1
btc-updown-15m-1768896900,1768896900,367.2,0.035,0.835,0.03,-0.03,0.07
btc-updown-15m-1768896900,1768896900,377.2,0.03,0.865,-0.06,-0.06,0.06
btc-updown-15m-1768896900,1768896900,388.7,0.03,0.885,-0.09,-0.04,0.03
btc-updown-15m-1768896900,1768896900,398.7,-0.04,0.845,-0.04,0.02,0.08
btc-updown-15m-1768896900,1768896900,408.7,-0.04,0.805,0,0.07,0.13
btc-updown-15m-1768896900,1768896900,420.5,0.035,0.785,0.06,0.11,0.15
btc-updown-15m-1768896900,1768896900,431,-0.035,0.775,0.09,0.15,0.16
btc-updown-15m-1768896900,1768896900,441,0.03,0.805,0.07,0.13,0.13
btc-updown-15m-1768896900,1768896900,451,0.04,0.845,0.05,0.08,0.09
btc-updown-15m-1768896900,1768896900,461.1,0.03,0.865,0.06,0.07,0.08
btc-updown-15m-1768896900,1768896900,487.7,0.03,0.925,0,0.01,0.05
btc-updown-15m-1768907700,1768907700,0.9,-0.03,0.435,0.06,0.06,-0.01
btc-updown-15m-1768907700,1768907700,10.9,0.04,0.475,0.01,-0.03,0.02
btc-updown-15m-1768907700,1768907700,31.8,0.03,0.515,-0.02,-0.12,0.05
btc-updown-15m-1768907700,1768907700,41.8,-0.03,0.485,-0.04,-0.08,0.07
btc-updown-15m-1768907700,1768907700,62.8,-0.035,0.45,-0.055,0.035,0.135
btc-updown-15m-1768907700,1768907700,79.1,-0.03,0.415,0,0.16,0.16
btc-updown-15m-1768907700,1768907700,121.6,0.03,0.445,0.12,0.15,0.1
btc-updown-15m-1768907700,1768907700,131.7,0.04,0.495,0.06,0.08,0.05
btc-updown-15m-1768907700,1768907700,141.7,0.08,0.575,0.02,0,-0.03
btc-updown-15m-1768907700,1768907700,171.6,0.035,0.59,-0.015,0.005,-0.065
btc-updown-15m-1768907700,1768907700,240.8,-0.03,0.565,-0.01,-0.06,-0.24
btc-updown-15m-1768907700,1768907700,263.4,-0.03,0.515,0.01,-0.09,-0.1
btc-updown-15m-1768907700,1768907700,273.4,0.03,0.525,-0.03,-0.2,-0.13
btc-updown-15m-1768907700,1768907700,301.2,-0.03,0.495,-0.09,-0.16,-0.13
btc-updown-15m-1768907700,1768907700,311.3,-0.07,0.425,-0.11,0.01,-0.1
btc-updown-15m-1768907700,1768907700,331.7,-0.035,0.39,-0.055,0.005,-0.065
btc-updown-15m-1768907700,1768907700,341.7,-0.075,0.315,0.12,0.1,0.02
btc-updown-15m-1768907700,1768907700,360.7,0.03,0.325,0.08,0.05,-0.03
btc-updown-15m-1768907700,1768907700,370.7,0.11,0.435,-0.02,-0.12,-0.08
btc-updown-15m-1768907700,1768907700,415.2,-0.035,0.38,-0.045,-0.005,-0.065
btc-updown-15m-1768907700,1768907700,426.8,-0.03,0.345,0,0.01,0
btc-updown-15m-1768907700,1768907700,474.9,0.035,0.36,-0.025,-0.045,-0.055
btc-updown-15m-1768907700,1768907700,485,-0.045,0.315,0.01,-0.01,0.03
btc-updown-15m-1768907700,1768907700,495,0.04,0.355,-0.03,-0.05,0.1
btc-updown-15m-1768907700,1768907700,529.9,-0.03,0.295,0.02,0.025,0.15
btc-updown-15m-1768907700,1768907700,545.6,0.03,0.335,-0.03,0,0.33
btc-updown-15m-1768907700,1768907700,555.6,-0.03,0.305,0.09,0.15,0.46
btc-updown-15m-1768907700,1768907700,578.8,0.03,0.325,0.04,0.11,0.52
btc-updown-15m-1768907700,1768907700,588.8,0.06,0.385,0.07,0.05,0.505
btc-updown-15m-1768907700,1768907700,598.8,-0.08,0.305,0.14,0.4,0.585
btc-updown-15m-1768907700,1768907700,608.8,0.06,0.365,0.07,0.33,0.505
btc-updown-15m-1768907700,1768907700,618.8,0.085,0.455,-0.02,0.31,0.35
btc-updown-15m-1768907700,1768907700,650.1,0.035,0.48,0.295,0.415,0.495
btc-updown-15m-1768907700,1768907700,660.1,0.235,0.715,0.06,0.19,0.26
btc-updown-15m-1768907700,1768907700,670.1,0.05,0.765,0.12,0.11,0.19
btc-updown-15m-1768907700,1768907700,695.7,0.03,0.805,0.1,0.11,0.17
