slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1775298600,1775298600,2026-04,0,300,0.5,97,0.51,61.07,226.28,161.07,0.49,61.07,0.5,97,161.07,226.28,1371,295.6
btc-updown-15m-1775298600,1775298600,2026-04,0,450,0.61,486.72,0.62,5.8,664.72,397.27,0.38,5.8,0.39,486.72,397.27,664.72,53,295.6
btc-updown-15m-1775298600,1775298600,2026-04,0,600,0.95,123.11,0.96,98.34,324.11,2635.06,0.04,98.34,0.05,123.11,2635.06,324.11,57,295.6
btc-updown-15m-1775298600,1775298600,2026-04,0,690,0.99,12077.78,,,13686.24,0,,,0.01,12077.78,0,13686.24,29,295.6
btc-updown-15m-1775299500,1775299500,2026-04,0,300,0.89,239.18,0.9,191,413.79,901.58,0.1,191,0.11,239.18,901.58,413.79,127,293.4
btc-updown-15m-1775299500,1775299500,2026-04,0,450,0.95,1036.66,0.96,198.07,1415.78,4643.53,0.04,198.07,0.05,1036.66,4643.53,1415.78,33,293.4
btc-updown-15m-1775299500,1775299500,2026-04,0,600,0.99,410.88,,,1932.46,0,,,0.01,410.88,0,1932.46,76,293.4
btc-updown-15m-1775299500,1775299500,2026-04,0,690,0.993,45.96,0.996,50,100.96,239,0.004,50,0.007,45.96,239,100.96,181,293.4
btc-updown-15m-1775300400,1775300400,2026-04,0,300,0.5,133.5,0.51,17.62,339.5,440.12,0.49,17.62,0.5,133.5,440.12,339.5,30,298.6
btc-updown-15m-1775300400,1775300400,2026-04,0,450,0.54,56.11,0.55,87.55,277.09,862.97,0.45,87.55,0.46,56.11,862.97,277.09,220,298.6
btc-updown-15m-1775300400,1775300400,2026-04,0,600,0.52,75,0.53,304.61,283.81,371.6,0.47,304.61,0.48,75,371.6,283.81,17,298.6
btc-updown-15m-1775300400,1775300400,2026-04,0,690,0.17,213.94,0.18,46.99,542.26,205.99,0.82,46.99,0.83,213.94,205.99,542.26,0,298.6
btc-updown-15m-1775301300,1775301300,2026-04,1,300,0.17,5,0.18,25,270,224.49,0.82,25,0.83,5,224.49,270,100,296.3
btc-updown-15m-1775301300,1775301300,2026-04,1,450,0.19,39.46,0.2,15,285.46,326.45,0.8,15,0.81,39.46,326.45,285.46,47,296.3
btc-updown-15m-1775301300,1775301300,2026-04,1,600,0.06,94.45,0.07,319.56,913.07,592.88,0.93,319.56,0.94,94.45,592.88,913.07,96,296.3
btc-updown-15m-1775301300,1775301300,2026-04,1,690,0.02,3.13,0.03,336.53,2143.55,1077.42,0.97,336.53,0.98,3.13,1077.42,2143.55,176,296.3
btc-updown-15m-1775302200,1775302200,2026-04,0,300,0.29,34.41,0.3,72,129.5,360,0.7,72,0.71,34.41,360,129.5,365,271.7
btc-updown-15m-1775302200,1775302200,2026-04,0,450,0.21,49.17,0.22,40.57,289.06,357.57,0.78,40.57,0.79,49.17,357.57,289.06,10,271.7
btc-updown-15m-1775302200,1775302200,2026-04,0,600,0.06,142.58,0.07,189.89,1136.42,616.55,0.93,189.89,0.94,142.58,616.55,1136.42,114,271.7
btc-updown-15m-1775302200,1775302200,2026-04,0,690,0.07,96,0.08,15,287.93,268.24,0.92,15,0.93,96,268.24,287.93,4,271.7
btc-updown-15m-1775304000,1775304000,2026-04,1,300,0.48,18.29,0.49,120,301.33,307.01,0.51,120,0.52,18.29,307.01,301.33,10,295.2
btc-updown-15m-1775304000,1775304000,2026-04,1,450,0.36,48.69,0.37,35,542,432.69,0.63,35,0.64,48.69,432.69,542,0,295.2
btc-updown-15m-1775304000,1775304000,2026-04,1,600,0.03,385,0.04,179.24,3248.75,754.24,0.96,179.24,0.97,385,754.24,3248.75,146,295.2
btc-updown-15m-1775304000,1775304000,2026-04,1,690,0.01,1346.66,0.02,801.16,1346.66,1705.16,0.98,801.16,0.99,1346.66,1705.16,1346.66,14,295.2
btc-updown-15m-1775304900,1775304900,2026-04,1,300,0.49,50,0.51,88,100,153,0.49,88,0.51,50,153,100,40,297.6
btc-updown-15m-1775304900,1775304900,2026-04,1,450,0.43,40.01,0.44,227.28,661.56,857.53,0.56,227.28,0.57,40.01,857.53,661.56,11,297.6
btc-updown-15m-1775304900,1775304900,2026-04,1,600,0.72,55,0.73,51.19,129,264.92,0.27,51.19,0.28,55,264.92,129,2,297.6
btc-updown-15m-1775304900,1775304900,2026-04,1,690,0.87,718.95,0.88,319.19,1095.95,660.4,0.12,319.19,0.13,718.95,660.4,1095.95,92,297.6
btc-updown-15m-1775305800,1775305800,2026-04,1,300,0.49,37.04,0.5,25,163.34,106.3,0.5,25,0.51,37.04,106.3,163.34,16,287.7
btc-updown-15m-1775305800,1775305800,2026-04,1,450,0.24,45,0.25,45,433.35,257.57,0.75,45,0.76,45,257.57,433.35,24,287.7
btc-updown-15m-1775305800,1775305800,2026-04,1,600,0.15,179.76,0.16,1.27,377.64,99.68,0.84,1.27,0.85,179.76,99.68,377.64,100,287.7
btc-updown-15m-1775305800,1775305800,2026-04,1,690,0.07,20,0.08,467.79,1301.18,900.39,0.92,467.79,0.93,20,900.39,1301.18,23,287.7
btc-updown-15m-1775306700,1775306700,2026-04,0,300,0.83,114.28,0.84,150.16,298.28,543.43,0.16,150.16,0.17,114.28,543.43,298.28,119,297.5
btc-updown-15m-1775306700,1775306700,2026-04,0,450,0.93,23.38,0.94,882.19,1141.03,2039.19,0.06,882.19,0.07,23.38,2039.19,1141.03,11,297.5
btc-updown-15m-1775306700,1775306700,2026-04,0,600,0.96,478.32,0.97,1641.79,861.24,4338.92,0.03,1641.79,0.04,478.32,4338.92,861.24,5,297.5
btc-updown-15m-1775306700,1775306700,2026-04,0,690,0.97,53.7,0.98,459.04,2057.84,3480.83,0.02,459.04,0.03,53.7,3480.83,2057.84,47,297.5
btc-updown-15m-1775307600,1775307600,2026-04,0,300,0.32,90.1,0.33,102.2,379.19,463.2,0.67,102.2,0.68,90.1,463.2,379.19,3,293.8
btc-updown-15m-1775307600,1775307600,2026-04,0,450,0.42,20.8,0.43,40,265.09,665.53,0.57,40,0.58,20.8,665.53,265.09,1,293.8
btc-updown-15m-1775307600,1775307600,2026-04,0,600,0.69,41.21,0.7,174.68,409.96,404.68,0.3,174.68,0.31,41.21,404.68,409.96,31,293.8
btc-updown-15m-1775307600,1775307600,2026-04,0,690,0.37,172.03,0.38,39.99,294.03,312.99,0.62,39.99,0.63,172.03,312.99,294.03,33,293.8
btc-updown-15m-1775308500,1775308500,2026-04,0,300,0.54,127.86,0.55,4712.48,367.86,4737.58,0.45,4712.48,0.46,127.86,4737.58,367.86,10,297.2
btc-updown-15m-1775308500,1775308500,2026-04,0,450,0.46,30,0.48,168.67,106.84,220.67,0.52,168.67,0.54,30,220.67,106.84,8,297.2
btc-updown-15m-1775308500,1775308500,2026-04,0,600,0.44,22.81,0.45,102,166.97,251.13,0.55,102,0.56,22.81,251.13,166.97,103,297.2
btc-updown-15m-1775308500,1775308500,2026-04,0,690,0.4,1406.29,0.41,175.22,1451.34,509.09,0.59,175.22,0.6,1406.29,509.09,1451.34,9,297.2
btc-updown-15m-1775309400,1775309400,2026-04,0,300,0.48,35.45,0.49,5,4168.46,1560.05,0.51,5,0.52,35.45,1560.05,4168.46,73,296.4
btc-updown-15m-1775309400,1775309400,2026-04,0,450,0.94,228.96,0.95,148.39,651.61,2629.81,0.05,148.39,0.06,228.96,2629.81,651.61,48,296.4
btc-updown-15m-1775309400,1775309400,2026-04,0,600,0.97,620.25,0.98,5510.52,3047.2,6674.28,0.02,5510.52,0.03,620.25,6674.28,3047.2,35,296.4
btc-updown-15m-1775309400,1775309400,2026-04,0,690,0.993,112,0.997,738.99,2245.07,11623.99,0.003,738.99,0.007,112,11623.99,2245.07,70,296.4
btc-updown-15m-1775310300,1775310300,2026-04,1,300,0.29,80.5,0.3,45.66,249.5,606.75,0.7,45.66,0.71,80.5,606.75,249.5,43,299.6
btc-updown-15m-1775310300,1775310300,2026-04,1,450,0.11,83.85,0.12,246.59,540.62,525.1,0.88,246.59,0.89,83.85,525.1,540.62,30,299.6
btc-updown-15m-1775310300,1775310300,2026-04,1,600,0.11,154.5,0.13,250,351.82,385.14,0.87,250,0.89,154.5,385.14,351.82,59,299.6
btc-updown-15m-1775310300,1775310300,2026-04,1,690,0.19,110.29,0.2,43.5,305.29,233.64,0.8,43.5,0.81,110.29,233.64,305.29,2,299.6
btc-updown-15m-1775311200,1775311200,2026-04,0,300,0.43,25,0.44,61,257.45,224,0.56,61,0.57,25,224,257.45,8,291.8
