slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1760141700,42,6,2,10622
btc-updown-15m-1760142600,30,2,0,7986
btc-updown-15m-1760143500,34,2,2,8571
btc-updown-15m-1760144400,18,0,0,4929
btc-updown-15m-1760146200,14,0,0,3593
btc-updown-15m-1760147100,50,8,6,12597
btc-updown-15m-1760148000,14,2,0,3786
btc-updown-15m-1760148900,20,2,2,5309
btc-updown-15m-1760150700,20,6,2,5163
btc-updown-15m-1760181300,10,4,4,2688
btc-updown-15m-1760182200,24,10,4,6003
btc-updown-15m-1760184000,16,2,0,4147
btc-updown-15m-1760184900,10,2,2,2955
btc-updown-15m-1760185800,10,0,0,2574
btc-updown-15m-1760186700,28,6,4,7042
btc-updown-15m-1760188500,16,10,6,4056
btc-updown-15m-1760189400,8,0,0,1994
btc-updown-15m-1760190300,22,6,4,5551
btc-updown-15m-1760191200,16,2,2,4287
btc-updown-15m-1760193000,20,2,0,4906
btc-updown-15m-1760227200,4,0,0,969
btc-updown-15m-1760228100,6,0,0,1725
btc-updown-15m-1760229000,4,2,0,1348
btc-updown-15m-1760230800,4,0,0,1291
btc-updown-15m-1760231700,12,2,2,3155
btc-updown-15m-1760232600,28,4,4,7126
btc-updown-15m-1760233500,28,4,2,7303
btc-updown-15m-1760235300,30,4,4,7655
btc-updown-15m-1760236200,24,2,2,5946
btc-updown-15m-1760237100,8,0,0,2427
btc-updown-15m-1760301000,24,0,0,6360
btc-updown-15m-1760302800,14,2,0,3734
btc-updown-15m-1760303700,8,0,0,2226
btc-updown-15m-1760304600,8,2,0,2200
btc-updown-15m-1760306400,20,4,4,4971
btc-updown-15m-1760307300,46,2,2,11914
btc-updown-15m-1760308200,46,2,2,11608
btc-updown-15m-1760309100,30,0,0,7790
btc-updown-15m-1760310900,20,0,0,5290
btc-updown-15m-1760311800,22,2,2,5661
btc-updown-15m-1760312700,24,4,4,6077
btc-updown-15m-1760368500,22,2,0,5939
btc-updown-15m-1760370300,32,2,2,8118
btc-updown-15m-1760371200,18,2,2,4654
btc-updown-15m-1760372100,28,0,0,6931
btc-updown-15m-1760373000,40,12,8,10241
btc-updown-15m-1760374800,40,6,2,9953
btc-updown-15m-1760375700,34,8,6,8646
btc-updown-15m-1760376600,48,2,0,12091
btc-updown-15m-1760377500,38,4,4,9606
btc-updown-15m-1760379300,12,0,0,3263
btc-updown-15m-1760380200,18,0,0,4602
btc-updown-15m-1760381100,30,10,2,7668
btc-updown-15m-1760382000,38,2,0,9509
btc-updown-15m-1760383800,34,4,0,8691
btc-updown-15m-1760384700,30,6,2,7768
btc-updown-15m-1760385600,30,0,0,7415
btc-updown-15m-1760387400,28,8,8,7344
btc-updown-15m-1760388300,22,2,0,5727
btc-updown-15m-1760389200,22,2,2,5813
btc-updown-15m-1760390100,22,4,2,5671
btc-updown-15m-1760418900,0,0,0,0
btc-updown-15m-1760419800,22,0,0,5529
btc-updown-15m-1760420700,58,2,0,14818
btc-updown-15m-1760421600,26,4,2,6828
btc-updown-15m-1760423400,54,4,2,13466
btc-updown-15m-1760424300,58,4,0,14869
btc-updown-15m-1760425200,60,4,2,15144
btc-updown-15m-1760426100,62,8,6,15858
btc-updown-15m-1760427900,70,6,4,17535
btc-updown-15m-1760428800,70,4,2,17470
btc-updown-15m-1760429700,40,2,0,10398
btc-updown-15m-1760430600,42,0,0,10936
btc-updown-15m-1760432400,34,0,0,8600
btc-updown-15m-1760433300,36,0,0,9235
btc-updown-15m-1760434200,40,4,0,10000
btc-updown-15m-1760435100,22,0,0,5885
btc-updown-15m-1760436900,42,4,2,10509
btc-updown-15m-1760437800,76,0,0,19137
btc-updown-15m-1760438700,50,4,2,12459
btc-updown-15m-1760440500,68,8,2,16957
btc-updown-15m-1760441400,68,8,6,17130
btc-updown-15m-1760442300,50,4,2,12589
btc-updown-15m-1760443200,50,6,2,12603
btc-updown-15m-1760445000,28,0,0,7202
btc-updown-15m-1760445900,54,2,2,13610
btc-updown-15m-1760446800,44,4,2,11092
btc-updown-15m-1760447700,32,2,0,8098
btc-updown-15m-1760449500,54,4,2,13858
btc-updown-15m-1760461200,38,2,0,9524
btc-updown-15m-1760462100,72,8,2,18116
btc-updown-15m-1760463000,40,2,0,9972
btc-updown-15m-1760464800,28,0,0,7081
btc-updown-15m-1760465700,58,4,2,14665
btc-updown-15m-1760466600,54,4,0,13724
btc-updown-15m-1760467500,58,2,0,14643
btc-updown-15m-1760469300,24,4,2,6321
btc-updown-15m-1760470200,28,6,0,7002
btc-updown-15m-1760471100,20,6,2,5008
btc-updown-15m-1760472000,52,4,0,13152
btc-updown-15m-1760473800,24,4,0,6208
btc-updown-15m-1760474700,30,2,2,7513
btc-updown-15m-1760475600,16,0,0,4244
btc-updown-15m-1760477400,22,2,2,5669
btc-updown-15m-1760478300,20,2,2,5424
btc-updown-15m-1760479200,16,2,0,4438
btc-updown-15m-1760480100,22,0,0,5842
btc-updown-15m-1760497200,0,0,0,0
btc-updown-15m-1760498100,22,2,2,5414
btc-updown-15m-1760499000,28,0,0,7384
btc-updown-15m-1760499900,40,4,2,10329
btc-updown-15m-1760501700,28,0,0,7013
btc-updown-15m-1760502600,58,6,4,14679
btc-updown-15m-1760503500,22,2,2,5528
btc-updown-15m-1760504400,46,6,6,11523
btc-updown-15m-1760506200,30,0,0,7460
btc-updown-15m-1760507100,26,6,4,6456
btc-updown-15m-1760508000,22,2,2,5869
btc-updown-15m-1760517000,48,4,4,12411
btc-updown-15m-1760518800,62,6,2,15693
btc-updown-15m-1760519700,18,0,0,4824
btc-updown-15m-1760520600,56,6,6,14194
btc-updown-15m-1760521500,38,2,0,9887
btc-updown-15m-1760523300,36,2,2,9325
btc-updown-15m-1760524200,48,2,2,11898
btc-updown-15m-1760525100,46,4,2,11437
btc-updown-15m-1760526900,24,0,0,6222
btc-updown-15m-1760527800,40,0,0,10296
btc-updown-15m-1760528700,22,0,0,5431
btc-updown-15m-1760539500,26,0,0,6635
btc-updown-15m-1760541300,70,4,4,17437
btc-updown-15m-1760542200,48,2,0,11977
btc-updown-15m-1760543100,70,10,6,17802
btc-updown-15m-1760544000,78,2,2,19490
btc-updown-15m-1760545800,52,6,6,12964
btc-updown-15m-1760546700,60,6,4,15408
btc-updown-15m-1760547600,30,2,0,7914
btc-updown-15m-1760548500,50,4,2,12793
btc-updown-15m-1760550300,16,0,0,4266
btc-updown-15m-1760551200,42,0,0,10518
btc-updown-15m-1760556600,0,0,0,0
btc-updown-15m-1760557500,38,2,2,9627
btc-updown-15m-1760559300,20,4,2,5262
btc-updown-15m-1760560200,46,4,2,11798
btc-updown-15m-1760561100,48,2,2,12328
btc-updown-15m-1760562000,30,0,0,7522
btc-updown-15m-1760563800,16,2,0,4224
btc-updown-15m-1760564700,14,0,0,3660
btc-updown-15m-1760565600,42,4,0,10761
btc-updown-15m-1760567400,32,0,0,8001
btc-updown-15m-1760568300,2,0,0,929
btc-updown-15m-1760569200,52,6,4,12940
btc-updown-15m-1760570100,42,4,0,10901
btc-updown-15m-1760571900,4,0,0,1306
btc-updown-15m-1760572800,42,2,0,10387
btc-updown-15m-1760573700,34,4,2,8803
btc-updown-15m-1760574600,14,4,4,3873
btc-updown-15m-1760576400,6,0,0,1450
btc-updown-15m-1760577300,16,0,0,4065
btc-updown-15m-1760578200,34,2,2,8714
btc-updown-15m-1760579100,28,2,2,7289
btc-updown-15m-1760580900,40,4,2,9999
btc-updown-15m-1760581800,32,2,2,7968
btc-updown-15m-1760582700,20,0,0,5109
btc-updown-15m-1760583600,38,10,6,9637
btc-updown-15m-1760585400,18,2,2,4615
btc-updown-15m-1760586300,30,2,0,7808
btc-updown-15m-1760587200,16,2,0,4142
btc-updown-15m-1760588100,26,4,0,6652
btc-updown-15m-1760589900,40,2,0,9950
btc-updown-15m-1760590800,50,6,4,12714
btc-updown-15m-1760591700,38,0,0,9714
btc-updown-15m-1760593500,6,2,2,1501
btc-updown-15m-1760594400,52,6,6,13027
btc-updown-15m-1760595300,38,4,2,9749
btc-updown-15m-1760596200,44,8,0,11044
btc-updown-15m-1760614200,52,6,6,13029
btc-updown-15m-1760615100,30,4,4,7867
btc-updown-15m-1760616000,16,0,0,4153
btc-updown-15m-1760616900,32,2,0,8191
btc-updown-15m-1760618700,38,2,0,9591
btc-updown-15m-1760619600,22,4,0,5754
btc-updown-15m-1760620500,26,0,0,6785
btc-updown-15m-1760621400,82,8,6,20437
btc-updown-15m-1760623200,44,8,6,11053
btc-updown-15m-1760624100,92,4,2,23266
btc-updown-15m-1760625000,64,6,2,16062
btc-updown-15m-1760625900,18,2,0,4807
btc-updown-15m-1760633100,28,4,4,7062
btc-updown-15m-1760634000,14,2,2,3556
btc-updown-15m-1760634900,72,0,0,18107
btc-updown-15m-1760635800,52,6,4,13089
btc-updown-15m-1760637600,34,2,0,8681
btc-updown-15m-1760638500,102,6,6,25890
btc-updown-15m-1760639400,42,6,4,10669
btc-updown-15m-1760641200,56,2,2,14198
btc-updown-15m-1760642100,98,6,4,24630
btc-updown-15m-1760643000,120,16,10,30334
btc-updown-15m-1760643900,52,6,6,13014
btc-updown-15m-1760645700,62,4,4,15709
btc-updown-15m-1760646600,50,0,0,12426
btc-updown-15m-1760647500,62,6,4,15796
btc-updown-15m-1760648400,38,6,4,9552
btc-updown-15m-1760650200,18,0,0,4844
btc-updown-15m-1760651100,16,0,0,4206
btc-updown-15m-1760652000,28,0,0,7270
btc-updown-15m-1760652900,44,2,2,11254
btc-updown-15m-1760654700,42,0,0,10617
btc-updown-15m-1760655600,28,2,0,7225
btc-updown-15m-1760656500,10,2,0,2481
btc-updown-15m-1760657400,16,4,2,3992
btc-updown-15m-1760659200,38,4,4,9716
btc-updown-15m-1760660100,40,8,6,9948
btc-updown-15m-1760661000,32,4,4,8107
btc-updown-15m-1760661900,42,4,2,10522
btc-updown-15m-1760663700,30,2,2,7909
btc-updown-15m-1760664600,32,4,0,7976
btc-updown-15m-1760665500,42,2,2,10595
btc-updown-15m-1760673600,0,0,0,0
btc-updown-15m-1760674500,26,4,2,6922
btc-updown-15m-1760675400,36,4,0,9263
btc-updown-15m-1760676300,8,0,0,2131
btc-updown-15m-1760678100,38,8,2,9758
btc-updown-15m-1760679000,26,4,4,6485
btc-updown-15m-1760679900,30,4,0,7470
btc-updown-15m-1760680800,54,4,0,13460
btc-updown-15m-1760682600,18,4,4,4819
btc-updown-15m-1760683500,74,4,0,18442
btc-updown-15m-1760684400,82,0,0,20503
btc-updown-15m-1760685300,96,4,4,24095
btc-updown-15m-1760687100,68,2,2,17241
btc-updown-15m-1760712300,0,0,0,0
btc-updown-15m-1760713200,30,2,2,7779
btc-updown-15m-1760714100,26,4,0,6596
btc-updown-15m-1760715900,26,2,2,6856
btc-updown-15m-1760716800,28,2,0,7177
btc-updown-15m-1760717700,78,4,0,19383
btc-updown-15m-1760718600,62,4,4,15455
btc-updown-15m-1760720400,52,6,2,13253
btc-updown-15m-1760721300,24,0,0,6052
btc-updown-15m-1760722200,46,2,0,11568
btc-updown-15m-1760724000,28,4,2,6947
btc-updown-15m-1760724900,30,2,2,7782
btc-updown-15m-1760725800,64,6,4,15638
btc-updown-15m-1760726700,42,2,0,10654
btc-updown-15m-1760728500,40,0,0,10131
btc-updown-15m-1760729400,18,0,0,4748
btc-updown-15m-1760730300,52,0,0,13128
btc-updown-15m-1760731200,36,2,0,9118
btc-updown-15m-1760733000,32,2,0,8214
btc-updown-15m-1760733900,28,4,4,7270
btc-updown-15m-1760734800,12,0,0,3254
btc-updown-15m-1760747400,30,6,2,7563
btc-updown-15m-1760749200,28,6,0,7079
btc-updown-15m-1760750100,18,0,0,4881
btc-updown-15m-1760751000,18,2,0,4748
btc-updown-15m-1760751900,22,2,2,5446
btc-updown-15m-1760753700,30,4,2,7746
btc-updown-15m-1760754600,16,0,0,3942
btc-updown-15m-1760755500,32,0,0,8197
btc-updown-15m-1760756400,16,0,0,4225
btc-updown-15m-1760758200,26,2,0,6547
btc-updown-15m-1760814900,10,0,0,2842
btc-updown-15m-1760815800,28,0,0,7288
btc-updown-15m-1760817600,26,0,0,6703
btc-updown-15m-1760818500,18,6,4,4806
btc-updown-15m-1760819400,32,10,10,8079
btc-updown-15m-1760820300,20,2,2,5216
btc-updown-15m-1760822100,22,4,4,5509
btc-updown-15m-1760823000,26,8,4,6415
btc-updown-15m-1760823900,16,4,0,4092
btc-updown-15m-1760824800,26,6,2,6815
btc-updown-15m-1760873400,0,0,0,0
btc-updown-15m-1760874300,50,6,2,12529
btc-updown-15m-1760875200,54,6,4,13429
btc-updown-15m-1760876100,56,8,0,14245
btc-updown-15m-1760877900,36,6,4,9178
btc-updown-15m-1760878800,26,8,2,6840
btc-updown-15m-1760879700,46,4,0,11644
btc-updown-15m-1760880600,28,4,0,7024
btc-updown-15m-1760882400,46,4,2,11563
btc-updown-15m-1760883300,10,0,0,2427
btc-updown-15m-1760884200,58,2,2,14335
btc-updown-15m-1760885100,34,2,0,8934
btc-updown-15m-1760886900,44,2,2,10951
btc-updown-15m-1760887800,38,2,0,9714
btc-updown-15m-1760888700,30,6,6,7376
btc-updown-15m-1760890500,36,4,0,9073
btc-updown-15m-1760891400,36,4,0,9176
btc-updown-15m-1760892300,22,2,0,5699
btc-updown-15m-1760893200,28,0,0,7262
btc-updown-15m-1760895000,38,0,0,9750
btc-updown-15m-1760940900,0,0,0,0
btc-updown-15m-1760941800,34,4,2,8537
btc-updown-15m-1760942700,54,6,2,13518
btc-updown-15m-1760944500,38,4,4,9596
btc-updown-15m-1760945400,36,2,2,8939
btc-updown-15m-1760946300,32,6,4,8149
btc-updown-15m-1760947200,42,2,2,10676
btc-updown-15m-1760949000,60,10,4,14883
btc-updown-15m-1760949900,18,2,0,4625
btc-updown-15m-1760950800,50,2,2,12431
btc-updown-15m-1760951700,14,2,2,3561
btc-updown-15m-1760953500,50,8,2,12479
btc-updown-15m-1760954400,58,10,6,14532
btc-updown-15m-1760955300,56,8,8,14099
btc-updown-15m-1760956200,0,0,0,119
btc-updown-15m-1760958000,68,10,6,17006
btc-updown-15m-1760958900,66,6,6,16356
btc-updown-15m-1760959800,48,2,0,11899
btc-updown-15m-1760961600,46,4,4,11737
btc-updown-15m-1760962500,50,8,6,12337
btc-updown-15m-1760963400,56,14,10,14141
