month,t_sec,token,state,bid_band,n,n_wins,p_win,avg_bid,med_bid_sz,med_top3_bid
2025-10,300,down,two_sided,2,3,1,0.3333,0.0267,418.0,46211.0
2025-10,300,down,two_sided,4,6,0,0.0,0.0483,505.2,1894.5
2025-10,300,down,two_sided,6,8,0,0.0,0.0663,143.9,645.5
2025-10,300,down,two_sided,8,17,3,0.1765,0.0859,66.0,615.1
2025-10,300,down,two_sided,10,23,3,0.1304,0.1052,74.0,507.0
2025-10,300,down,two_sided,12,16,3,0.1875,0.1256,26.3,285.2
2025-10,300,down,two_sided,14,17,0,0.0,0.1471,96.0,333.0
2025-10,300,down,two_sided,16,20,2,0.1,0.1625,20.0,194.5
2025-10,300,down,two_sided,18,18,6,0.3333,0.185,82.0,337.0
2025-10,300,down,two_sided,20,27,4,0.1481,0.203,38.8,450.5
2025-10,300,down,two_sided,22,19,4,0.2105,0.2242,20.0,345.0
2025-10,300,down,two_sided,24,25,3,0.12,0.2456,50.0,293.0
2025-10,300,down,two_sided,26,24,5,0.2083,0.2658,22.5,377.9
2025-10,300,down,two_sided,28,20,5,0.25,0.286,18.5,296.6
2025-10,300,down,two_sided,30,24,11,0.4583,0.3033,44.4,432.5
2025-10,300,down,two_sided,32,24,9,0.375,0.3254,28.0,110.3
2025-10,300,down,two_sided,34,23,13,0.5652,0.347,24.6,229.0
2025-10,300,down,two_sided,36,19,9,0.4737,0.3668,19.0,293.4
2025-10,300,down,two_sided,38,26,10,0.3846,0.3865,26.5,276.0
2025-10,300,down,two_sided,40,29,14,0.4828,0.4062,42.0,191.3
2025-10,300,down,two_sided,42,13,4,0.3077,0.4238,50.0,367.8
2025-10,300,down,two_sided,44,25,16,0.64,0.4464,10.1,226.9
2025-10,300,down,two_sided,46,26,15,0.5769,0.465,19.0,296.4
2025-10,300,down,two_sided,48,24,16,0.6667,0.4854,31.4,279.1
2025-10,300,down,two_sided,50,23,10,0.4348,0.5057,23.0,95.0
2025-10,300,down,two_sided,52,19,11,0.5789,0.5247,18.0,356.1
2025-10,300,down,two_sided,54,31,14,0.4516,0.5435,19.0,138.5
