month,t_sec,band_c,n,n_up_wins,p_up,med_spread
2025-10,300,2,1,0,0.0,0.05
2025-10,300,6,13,1,0.0769,0.03
2025-10,300,8,7,1,0.1429,0.03
2025-10,300,10,12,1,0.0833,0.025
2025-10,300,12,16,1,0.0625,0.04
2025-10,300,14,10,3,0.3,0.04
2025-10,300,16,29,2,0.069,0.03
2025-10,300,18,14,3,0.2143,0.055
2025-10,300,20,25,0,0.0,0.03
2025-10,300,22,21,7,0.3333,0.04
2025-10,300,24,28,5,0.1786,0.03
2025-10,300,26,22,7,0.3182,0.04
2025-10,300,28,18,6,0.3333,0.04
2025-10,300,30,29,10,0.3448,0.04
2025-10,300,32,22,6,0.2727,0.04
2025-10,300,34,27,13,0.4815,0.04
2025-10,300,36,35,9,0.2571,0.04
2025-10,300,38,28,14,0.5,0.05
2025-10,300,40,24,8,0.3333,0.055
2025-10,300,42,23,11,0.4783,0.05
2025-10,300,44,21,11,0.5238,0.04
2025-10,300,46,29,15,0.5172,0.05
2025-10,300,48,15,6,0.4,0.04
2025-10,300,50,28,8,0.2857,0.035
2025-10,300,52,25,12,0.48,0.04
2025-10,300,54,19,10,0.5263,0.05
2025-10,300,56,24,16,0.6667,0.04
2025-10,300,58,28,14,0.5,0.04
2025-10,300,60,21,13,0.619,0.04
2025-10,300,62,20,7,0.35,0.04
2025-10,300,64,24,13,0.5417,0.04
2025-10,300,66,19,10,0.5263,0.04
2025-10,300,68,24,16,0.6667,0.04
2025-10,300,70,25,20,0.8,0.04
2025-10,300,72,23,21,0.913,0.04
2025-10,300,74,23,17,0.7391,0.03
2025-10,300,76,17,15,0.8824,0.04
2025-10,300,78,21,16,0.7619,0.03
2025-10,300,80,22,20,0.9091,0.04
2025-10,300,82,23,21,0.913,0.03
2025-10,300,84,13,11,0.8462,0.04
2025-10,300,86,21,19,0.9048,0.04
2025-10,300,88,17,15,0.8824,0.03
2025-10,300,90,11,7,0.6364,0.02
2025-10,300,92,8,8,1.0,0.025
2025-10,300,94,4,4,1.0,0.015
2025-10,300,96,2,2,1.0,0.015
2025-10,450,0,1,0,0.0,0.01
2025-10,450,2,9,0,0.0,0.01
2025-10,450,4,20,0,0.0,0.035
2025-10,450,6,25,0,0.0,0.04
2025-10,450,8,24,2,0.0833,0.04
2025-10,450,10,21,0,0.0,0.04
2025-10,450,12,20,4,0.2,0.04
2025-10,450,14,22,3,0.1364,0.04
2025-10,450,16,21,1,0.0476,0.03
2025-10,450,18,21,1,0.0476,0.04
2025-10,450,20,24,8,0.3333,0.03
2025-10,450,22,20,5,0.25,0.05
2025-10,450,24,26,10,0.3846,0.035
2025-10,450,26,20,4,0.2,0.045
2025-10,450,28,22,3,0.1364,0.05
2025-10,450,30,19,2,0.1053,0.05
2025-10,450,32,26,11,0.4231,0.03
2025-10,450,34,15,6,0.4,0.05
2025-10,450,36,16,9,0.5625,0.045
