month,t_sec,token,state,ask_band,n,n_wins,p_win,avg_ask,med_ask_sz,med_top3_ask
2025-10,300,down,two_sided,2,1,0,0.0,0.03,266.7,1257.2
2025-10,300,down,two_sided,4,2,0,0.0,0.05,67.5,662.8
2025-10,300,down,two_sided,6,4,0,0.0,0.0675,11.0,96.3
2025-10,300,down,two_sided,8,6,0,0.0,0.0883,25.0,214.2
2025-10,300,down,two_sided,10,13,4,0.3077,0.1054,13.0,200.0
2025-10,300,down,two_sided,12,11,0,0.0,0.1264,18.7,161.7
2025-10,300,down,two_sided,14,17,3,0.1765,0.1447,14.0,585.0
2025-10,300,down,two_sided,16,18,2,0.1111,0.1656,24.0,268.0
2025-10,300,down,two_sided,18,20,1,0.05,0.185,16.5,523.2
2025-10,300,down,two_sided,20,23,3,0.1304,0.2048,17.4,269.0
2025-10,300,down,two_sided,22,19,4,0.2105,0.2247,20.7,312.6
2025-10,300,down,two_sided,24,22,3,0.1364,0.2455,43.3,319.5
2025-10,300,down,two_sided,26,18,4,0.2222,0.2644,19.0,150.0
2025-10,300,down,two_sided,28,22,5,0.2273,0.2855,17.5,160.0
2025-10,300,down,two_sided,30,19,2,0.1053,0.3037,14.0,252.3
2025-10,300,down,two_sided,32,26,6,0.2308,0.3254,18.5,366.5
2025-10,300,down,two_sided,34,25,11,0.44,0.3456,31.8,156.5
2025-10,300,down,two_sided,36,22,8,0.3636,0.3655,10.0,199.5
2025-10,300,down,two_sided,38,17,12,0.7059,0.3853,19.0,135.0
2025-10,300,down,two_sided,40,22,8,0.3636,0.4027,28.5,161.8
2025-10,300,down,two_sided,42,25,15,0.6,0.426,17.0,166.8
2025-10,300,down,two_sided,44,26,9,0.3462,0.4442,10.5,199.0
2025-10,300,down,two_sided,46,21,11,0.5238,0.4643,12.0,190.9
2025-10,300,down,two_sided,48,24,9,0.375,0.4863,25.0,317.2
2025-10,300,down,two_sided,50,30,20,0.6667,0.5043,23.2,164.7
2025-10,300,down,two_sided,52,15,10,0.6667,0.524,20.0,339.0
2025-10,300,down,two_sided,54,24,15,0.625,0.5458,18.0,233.2
2025-10,300,down,two_sided,56,36,17,0.4722,0.57,19.0,291.6
2025-10,300,down,two_sided,58,12,6,0.5,0.59,28.0,342.0
2025-10,300,down,two_sided,60,17,7,0.4118,0.6053,30.0,156.5
2025-10,300,down,two_sided,62,25,15,0.6,0.6244,14.0,294.4
2025-10,300,down,two_sided,64,39,26,0.6667,0.6456,20.0,293.0
2025-10,300,down,two_sided,66,29,16,0.5517,0.6631,24.0,274.0
2025-10,300,down,two_sided,68,26,19,0.7308,0.6858,67.5,434.3
2025-10,300,down,two_sided,70,28,18,0.6429,0.7054,42.3,231.3
2025-10,300,down,two_sided,72,20,14,0.7,0.7235,20.0,436.0
2025-10,300,down,two_sided,74,23,15,0.6522,0.7448,24.0,300.7
2025-10,300,down,two_sided,76,25,20,0.8,0.7656,16.0,208.0
2025-10,300,down,two_sided,78,22,16,0.7273,0.7845,25.1,231.6
2025-10,300,down,two_sided,80,24,21,0.875,0.8021,26.6,322.8
2025-10,300,down,two_sided,82,16,15,0.9375,0.8244,64.8,195.6
2025-10,300,down,two_sided,84,27,24,0.8889,0.8444,19.8,310.0
2025-10,300,down,two_sided,86,17,14,0.8235,0.8647,30.0,522.0
2025-10,300,down,two_sided,88,12,10,0.8333,0.8875,30.0,506.4
2025-10,300,down,two_sided,90,18,17,0.9444,0.9017,169.5,593.3
2025-10,300,down,two_sided,92,6,6,1.0,0.9217,138.5,515.0
