slug,epoch,month,result_id,t_sec,up_bid,up_bid_sz,up_ask,up_ask_sz,up_top3_bid,up_top3_ask,down_bid,down_bid_sz,down_ask,down_ask_sz,down_top3_bid,down_top3_ask,age_ms,replay_start_off_s
btc-updown-15m-1765635300,1765635300,2025-12,1,300,0.22,10,0.23,100,255,1566.9,0.77,100,0.78,10,1566.9,255,79,296
btc-updown-15m-1765635300,1765635300,2025-12,1,450,0.09,15,0.1,180,1020.02,1174,0.9,180,0.91,15,1174,1020.02,175,296
btc-updown-15m-1765635300,1765635300,2025-12,1,600,0.01,1440.02,0.02,1132.02,1440.02,3238.68,0.98,1132.02,0.99,1440.02,3238.68,1440.02,444,296
btc-updown-15m-1765635300,1765635300,2025-12,1,690,,,0.01,19183.38,0,20587.9,0.99,19183.38,,,20587.9,0,1053,296
btc-updown-15m-1765645200,1765645200,2025-12,1,300,0.15,5,0.16,83.25,328.46,844.25,0.84,83.25,0.85,5,844.25,328.46,20,291.4
btc-updown-15m-1765645200,1765645200,2025-12,1,450,0.06,145.4,0.08,20.13,2567.55,1344.86,0.92,20.13,0.94,145.4,1344.86,2567.55,22,291.4
btc-updown-15m-1765645200,1765645200,2025-12,1,600,0.02,406.61,0.04,4958.45,4576.85,6310.44,0.96,4958.45,0.98,406.61,6310.44,4576.85,264,291.4
btc-updown-15m-1765645200,1765645200,2025-12,1,690,0.01,2653.34,0.02,4737.55,2653.34,6026.82,0.98,4737.55,0.99,2653.34,6026.82,2653.34,146,291.4
btc-updown-15m-1765656900,1765656900,2025-12,1,300,0.34,80,0.35,10,1034,422.08,0.65,10,0.66,80,422.08,1034,405,282.7
btc-updown-15m-1765656900,1765656900,2025-12,1,450,0.22,520.88,0.24,70,2371.88,335,0.76,70,0.78,520.88,335,2371.88,1,282.7
btc-updown-15m-1765656900,1765656900,2025-12,1,600,0.16,429.99,0.18,130,1638.76,1007.68,0.82,130,0.84,429.99,1007.68,1638.76,3,282.7
btc-updown-15m-1765656900,1765656900,2025-12,1,690,0.2,190.5,0.22,1.27,1004.2,1005.23,0.78,1.27,0.8,190.5,1005.23,1004.2,29,282.7
btc-updown-15m-1765667700,1765667700,2025-12,0,300,0.49,1393.96,0.51,1616.61,6039.26,6451.91,0.49,1616.61,0.51,1393.96,6451.91,6039.26,2635009,-11957.1
btc-updown-15m-1765667700,1765667700,2025-12,0,450,0.49,1393.96,0.51,1616.61,6039.26,6451.91,0.49,1616.61,0.51,1393.96,6451.91,6039.26,2785009,-11957.1
btc-updown-15m-1765667700,1765667700,2025-12,0,600,0.49,1393.96,0.51,1616.61,6039.26,6451.91,0.49,1616.61,0.51,1393.96,6451.91,6039.26,2935009,-11957.1
btc-updown-15m-1765667700,1765667700,2025-12,0,690,0.49,1393.96,0.51,1616.61,6039.26,6451.91,0.49,1616.61,0.51,1393.96,6451.91,6039.26,3025009,-11957.1
