slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1760140800,18,2,2,4608
btc-updown-15m-1760145300,20,6,4,5245
btc-updown-15m-1760149800,22,6,6,5524
btc-updown-15m-1760183100,16,4,0,4011
btc-updown-15m-1760187600,20,2,0,5170
btc-updown-15m-1760192100,18,0,0,4470
btc-updown-15m-1760229900,12,4,2,3321
btc-updown-15m-1760234400,30,2,2,7774
btc-updown-15m-1760301900,26,2,2,6414
btc-updown-15m-1760305500,14,10,2,3446
btc-updown-15m-1760310000,14,2,0,3481
btc-updown-15m-1760369400,46,4,0,11930
btc-updown-15m-1760373900,28,0,0,7203
btc-updown-15m-1760378400,36,0,0,9223
btc-updown-15m-1760382900,18,0,0,4565
btc-updown-15m-1760386500,24,4,2,6222
btc-updown-15m-1760391000,14,2,0,3753
btc-updown-15m-1760422500,48,2,0,12039
btc-updown-15m-1760427000,36,6,6,9264
btc-updown-15m-1760431500,8,0,0,2226
btc-updown-15m-1760436000,44,4,2,10859
btc-updown-15m-1760439600,16,2,0,4015
btc-updown-15m-1760444100,40,0,0,9998
btc-updown-15m-1760448600,32,2,2,8319
btc-updown-15m-1760463900,48,4,0,12123
btc-updown-15m-1760468400,22,0,0,5629
btc-updown-15m-1760472900,18,2,2,4929
btc-updown-15m-1760476500,16,2,2,4030
btc-updown-15m-1760481000,28,0,0,7129
btc-updown-15m-1760500800,48,4,4,12240
btc-updown-15m-1760505300,32,2,0,8002
btc-updown-15m-1760517900,30,0,0,7784
btc-updown-15m-1760522400,30,2,2,7640
btc-updown-15m-1760526000,16,2,2,4192
btc-updown-15m-1760540400,64,0,0,16001
btc-updown-15m-1760544900,68,4,4,17180
btc-updown-15m-1760549400,42,6,4,10703
btc-updown-15m-1760558400,22,2,2,5779
btc-updown-15m-1760562900,24,4,2,6258
btc-updown-15m-1760566500,18,4,2,4483
btc-updown-15m-1760571000,38,2,2,9665
btc-updown-15m-1760575500,32,0,0,8396
btc-updown-15m-1760580000,44,2,2,11311
btc-updown-15m-1760584500,30,0,0,7491
btc-updown-15m-1760589000,20,0,0,5378
btc-updown-15m-1760592600,12,0,0,3334
btc-updown-15m-1760597100,22,0,0,5792
btc-updown-15m-1760617800,38,0,0,9859
btc-updown-15m-1760622300,30,2,0,7517
btc-updown-15m-1760632200,46,0,0,11677
btc-updown-15m-1760636700,60,10,8,14893
btc-updown-15m-1760640300,84,4,4,20977
btc-updown-15m-1760644800,86,16,6,21880
btc-updown-15m-1760649300,32,2,0,8009
btc-updown-15m-1760653800,46,8,4,11484
btc-updown-15m-1760658300,28,4,2,7298
btc-updown-15m-1760662800,24,4,4,6020
btc-updown-15m-1760666400,26,2,0,6440
btc-updown-15m-1760677200,40,6,2,10403
btc-updown-15m-1760681700,8,2,0,2357
btc-updown-15m-1760686200,50,0,0,12906
btc-updown-15m-1760715000,62,4,4,15537
btc-updown-15m-1760719500,58,6,2,14593
btc-updown-15m-1760723100,64,0,0,16057
btc-updown-15m-1760727600,42,0,0,10707
btc-updown-15m-1760732100,10,2,2,2905
btc-updown-15m-1760748300,24,0,0,6089
btc-updown-15m-1760752800,24,6,4,5999
btc-updown-15m-1760757300,16,2,0,4272
btc-updown-15m-1760816700,30,2,2,7814
btc-updown-15m-1760821200,26,6,2,6654
btc-updown-15m-1760825700,26,4,2,6695
btc-updown-15m-1760877000,32,2,2,8349
btc-updown-15m-1760881500,42,6,4,10692
btc-updown-15m-1760886000,62,6,4,15348
btc-updown-15m-1760889600,20,0,0,5178
btc-updown-15m-1760894100,50,4,2,12492
btc-updown-15m-1760943600,50,10,4,12637
btc-updown-15m-1760948100,36,0,0,9078
btc-updown-15m-1760952600,62,2,0,15649
btc-updown-15m-1760957100,28,0,0,7304
btc-updown-15m-1760960700,22,4,4,5561
btc-updown-15m-1760965200,50,0,0,12851
btc-updown-15m-1760973300,46,2,2,11449
btc-updown-15m-1760977800,68,0,0,17288
btc-updown-15m-1760982300,14,0,0,3792
btc-updown-15m-1760985900,48,4,2,12209
btc-updown-15m-1760990400,34,2,0,8678
btc-updown-15m-1760994900,16,4,4,3930
btc-updown-15m-1760999400,18,2,0,4310
btc-updown-15m-1761003900,40,6,2,10224
btc-updown-15m-1761008400,26,10,8,6646
btc-updown-15m-1761012000,18,4,2,4709
btc-updown-15m-1761019200,8,0,0,1978
btc-updown-15m-1761023700,56,4,2,14223
btc-updown-15m-1761028200,60,8,4,15222
btc-updown-15m-1761039900,44,2,2,10941
btc-updown-15m-1761044400,20,4,2,5191
btc-updown-15m-1761048000,62,12,10,15315
btc-updown-15m-1761052500,58,6,0,14641
btc-updown-15m-1761057000,74,2,0,18764
btc-updown-15m-1761061500,100,16,6,25302
btc-updown-15m-1761066000,88,16,12,22100
btc-updown-15m-1761070500,98,6,6,24396
btc-updown-15m-1761074100,42,2,2,10616
btc-updown-15m-1761078600,66,6,6,16400
btc-updown-15m-1761083100,26,8,0,6613
btc-updown-15m-1761087600,58,8,6,14499
btc-updown-15m-1761092100,30,0,0,7725
btc-updown-15m-1761096600,50,4,2,12713
btc-updown-15m-1761100200,18,0,0,4604
btc-updown-15m-1761104700,66,4,2,16703
btc-updown-15m-1761109200,22,0,0,5682
btc-updown-15m-1761113700,44,6,6,10825
btc-updown-15m-1761118200,60,4,0,14921
btc-updown-15m-1761122700,54,2,2,13651
btc-updown-15m-1761126300,36,8,4,9199
btc-updown-15m-1761130800,76,10,6,19206
