month,t_sec,up_state,n,n_up_wins,p_up
2025-10,300,empty,23,12,0.5217
2025-10,300,two_sided,931,455,0.4887
2025-10,450,bid_only,1,1,1.0
2025-10,450,empty,16,6,0.375
2025-10,450,two_sided,937,460,0.4909
2025-10,600,ask_only,9,0,0.0
2025-10,600,bid_only,13,13,1.0
2025-10,600,empty,13,4,0.3077
2025-10,600,two_sided,919,450,0.4897
2025-10,690,ask_only,49,0,0.0
2025-10,690,bid_only,51,51,1.0
2025-10,690,empty,12,3,0.25
2025-10,690,two_sided,842,413,0.4905
2025-11,300,empty,14,7,0.5
2025-11,300,two_sided,2104,1063,0.5052
2025-11,450,ask_only,2,0,0.0
2025-11,450,bid_only,1,1,1.0
2025-11,450,empty,8,4,0.5
2025-11,450,two_sided,2107,1065,0.5055
2025-11,600,ask_only,32,1,0.0313
2025-11,600,bid_only,25,25,1.0
2025-11,600,empty,4,3,0.75
2025-11,600,two_sided,2057,1041,0.5061
2025-11,690,ask_only,138,2,0.0145
2025-11,690,bid_only,122,122,1.0
2025-11,690,empty,4,3,0.75
2025-11,690,two_sided,1854,943,0.5086
2025-12,300,empty,1,1,1.0
2025-12,300,two_sided,2670,1353,0.5067
2025-12,450,ask_only,1,0,0.0
2025-12,450,bid_only,2,2,1.0
2025-12,450,empty,1,1,1.0
2025-12,450,two_sided,2667,1351,0.5066
2025-12,600,ask_only,35,0,0.0
2025-12,600,bid_only,50,50,1.0
2025-12,600,empty,1,1,1.0
2025-12,600,two_sided,2585,1303,0.5041
2025-12,690,ask_only,162,0,0.0
2025-12,690,bid_only,171,170,0.9942
2025-12,690,empty,1,1,1.0
2025-12,690,two_sided,2337,1183,0.5062
2026-01,300,empty,6,3,0.5
2026-01,300,two_sided,2586,1262,0.488
2026-01,450,bid_only,2,2,1.0
2026-01,450,empty,2,2,1.0
2026-01,450,two_sided,2588,1261,0.4872
2026-01,600,ask_only,21,0,0.0
2026-01,600,bid_only,21,21,1.0
2026-01,600,empty,2,2,1.0
2026-01,600,two_sided,2548,1242,0.4874
2026-01,690,ask_only,68,0,0.0
2026-01,690,bid_only,66,66,1.0
2026-01,690,empty,2,2,1.0
2026-01,690,two_sided,2456,1197,0.4874
2026-02,300,ask_only,1,0,0.0
2026-02,300,bid_only,1,1,1.0
2026-02,300,two_sided,2436,1221,0.5012
2026-02,450,ask_only,1,0,0.0
2026-02,450,bid_only,3,3,1.0
2026-02,450,two_sided,2434,1219,0.5008
2026-02,600,ask_only,17,0,0.0
2026-02,600,bid_only,16,16,1.0
2026-02,600,two_sided,2405,1206,0.5015
2026-02,690,ask_only,52,0,0.0
2026-02,690,bid_only,49,49,1.0
2026-02,690,two_sided,2337,1173,0.5019
2026-03,300,two_sided,2726,1369,0.5022
2026-03,450,ask_only,5,0,0.0
2026-03,450,bid_only,4,4,1.0
2026-03,450,two_sided,2717,1365,0.5024
2026-03,600,ask_only,22,0,0.0
2026-03,600,bid_only,30,30,1.0
2026-03,600,two_sided,2674,1339,0.5007
2026-03,690,ask_only,115,1,0.0087
2026-03,690,bid_only,92,92,1.0
2026-03,690,two_sided,2519,1276,0.5066
2026-04,300,ask_only,1,0,0.0
2026-04,300,empty,17,9,0.5294
2026-04,300,two_sided,2612,1334,0.5107
2026-04,450,ask_only,7,0,0.0
2026-04,450,bid_only,11,11,1.0
2026-04,450,two_sided,2612,1332,0.51
2026-04,600,ask_only,50,1,0.02
2026-04,600,bid_only,36,36,1.0
2026-04,600,two_sided,2544,1306,0.5134
2026-04,690,ask_only,111,2,0.018
2026-04,690,bid_only,121,120,0.9917
2026-04,690,empty,1,1,1.0
2026-04,690,two_sided,2397,1220,0.509
2026-05,300,two_sided,997,483,0.4845
2026-05,450,bid_only,5,5,1.0
2026-05,450,two_sided,992,478,0.4819
2026-05,600,ask_only,14,0,0.0
2026-05,600,bid_only,17,17,1.0
2026-05,600,two_sided,966,466,0.4824
2026-05,690,ask_only,46,0,0.0
2026-05,690,bid_only,51,51,1.0
2026-05,690,two_sided,900,432,0.48
ALL,300,ask_only,2,0,0.0
ALL,300,bid_only,1,1,1.0
ALL,300,empty,61,32,0.5246
ALL,300,two_sided,17062,8540,0.5005
ALL,450,ask_only,16,0,0.0
ALL,450,bid_only,29,29,1.0
ALL,450,empty,27,13,0.4815
ALL,450,two_sided,17054,8531,0.5002
ALL,600,ask_only,200,2,0.01
ALL,600,bid_only,208,208,1.0
ALL,600,empty,20,10,0.5
ALL,600,two_sided,16698,8353,0.5002
ALL,690,ask_only,741,5,0.0067
ALL,690,bid_only,723,721,0.9972
ALL,690,empty,20,10,0.5
ALL,690,two_sided,15642,7837,0.501
