month,slug,snapshots_checked,mismatches,avg_mid_err_at_mismatch,max_mid_err,snap_cadence_s
2025-10,btc-updown-15m-1760140800,42,6,0.0167,0.0300,41.1
2025-10,btc-updown-15m-1760481000,48,2,0.0050,0.0050,387.1
2025-10,btc-updown-15m-1760658300,58,8,0.0063,0.0100,251.0
2025-10,btc-updown-15m-1760973300,68,4,0.0050,0.0050,17.6
2025-10,btc-updown-15m-1761104700,114,10,0.0060,0.0100,84.4
2025-10,btc-updown-15m-1761234300,104,12,0.0058,0.0100,93.6
2025-10,btc-updown-15m-1761446700,34,8,0.0075,0.0100,88.1
2025-10,btc-updown-15m-1761672600,130,8,0.0075,0.0150,46.0
2025-10,btc-updown-15m-1761813000,16,0,,0.0000,41.8
2025-10,btc-updown-15m-1761954300,74,6,0.0050,0.0050,24.7
2025-11,btc-updown-15m-1761955200,46,12,0.0067,0.0150,75.2
2025-11,btc-updown-15m-1762425900,158,8,0.0125,0.0300,62.1
2025-11,btc-updown-15m-1762845300,338,20,0.0225,0.1550,35.1
2025-11,btc-updown-15m-1763084700,528,50,0.0086,0.0400,46.6
2025-11,btc-updown-15m-1763324100,220,6,0.0050,0.0050,87.3
2025-11,btc-updown-15m-1763557200,240,6,0.0050,0.0050,85.9
2025-11,btc-updown-15m-1763796600,386,16,0.0056,0.0100,400.1
2025-11,btc-updown-15m-1764036000,332,6,0.0050,0.0050,22.4
2025-11,btc-updown-15m-1764276300,598,16,0.0062,0.0150,81.7
2025-11,btc-updown-15m-1764546300,332,4,0.0025,0.0050,207.1
2025-12,btc-updown-15m-1764547200,440,2,0.0050,0.0050,32.9
2025-12,btc-updown-15m-1764843300,264,6,0.0050,0.0050,184.0
2025-12,btc-updown-15m-1765131300,306,12,0.0058,0.0100,29.4
2025-12,btc-updown-15m-1765450800,220,10,0.0050,0.0050,53.8
2025-12,btc-updown-15m-1765762200,218,12,0.0050,0.0050,65.7
2025-12,btc-updown-15m-1766048400,316,4,0.0050,0.0050,34.9
2025-12,btc-updown-15m-1766347200,202,0,,0.0000,207.9
2025-12,btc-updown-15m-1766642400,252,10,0.0070,0.0150,587.1
