slug,epoch,month,freeze_start_ms,freeze_end_ms,freeze_dur_s,succ_status,succ_events,succ_coverage,pred_status,pred_detail
btc-updown-15m-1763612100,1763612100,2025-11,1763612664222,1763612999000,334.8,alive,21,covers,not_covering,file_ends_497s_before_freeze;file_end_off_expiry_67s
btc-updown-15m-1763634600,1763634600,2025-11,1763635105084,1763635499000,393.9,silent,0,covers,not_covering,file_ends_436s_before_freeze;file_end_off_expiry_69s
btc-updown-15m-1764179100,1764179100,2025-11,1764179744034,1764179999000,255.0,alive,434,covers,not_covering,file_ends_580s_before_freeze;file_end_off_expiry_64s
btc-updown-15m-1764718200,1764718200,2025-12,1764718622172,1764719099000,476.8,alive,103,covers,not_covering,file_ends_383s_before_freeze;file_end_off_expiry_39s
btc-updown-15m-1764801900,1764801900,2025-12,1764802559831,1764802799000,239.2,silent,0,ends_before_freeze_start,not_covering,file_ends_2269s_before_freeze;file_end_off_expiry_-1609s
btc-updown-15m-1765494000,1765494000,2025-12,1765494084750,1765494899000,814.3,silent,0,ends_before_freeze_start,not_covering,file_ends_1977s_before_freeze;file_end_off_expiry_-1892s
btc-updown-15m-1765665000,1765665000,2025-12,1765665323493,1765665899000,575.5,silent,0,ends_before_freeze_start,not_covering,file_ends_264s_before_freeze;file_end_off_expiry_59s
btc-updown-15m-1765755900,1765755900,2025-12,1765756491983,1765756799000,307.0,alive,367,covers,not_covering,file_ends_989s_before_freeze;file_end_off_expiry_-397s
btc-updown-15m-1765922400,1765922400,2025-12,1765922699916,1765923299000,599.1,alive,613,covers,not_covering,file_ends_236s_before_freeze;file_end_off_expiry_64s
btc-updown-15m-1765958400,1765958400,2025-12,1765958854021,1765959299000,445.0,silent,0,ends_before_freeze_start,not_covering,file_ends_388s_before_freeze;file_end_off_expiry_66s
btc-updown-15m-1766358000,1766358000,2025-12,1766358453401,1766358899000,445.6,silent,0,ends_before_freeze_start,not_covering,file_ends_2207s_before_freeze;file_end_off_expiry_-1753s
btc-updown-15m-1766808000,1766808000,2025-12,1766808411441,1766808899000,487.6,alive,40,covers,not_covering,file_ends_355s_before_freeze;file_end_off_expiry_57s
btc-updown-15m-1767042900,1767042900,2025-12,1767043443898,1767043799000,355.1,silent,0,ends_before_freeze_start,not_covering,file_ends_1218s_before_freeze;file_end_off_expiry_-674s
btc-updown-15m-1767132000,1767132000,2025-12,1767132688263,1767132899000,210.7,silent,0,ends_before_freeze_start,not_covering,file_ends_8771s_before_freeze;file_end_off_expiry_-8083s
btc-updown-15m-1767214800,1767214800,2025-12,1767215427170,1767215699000,271.8,silent,0,ends_before_freeze_start,not_covering,file_ends_19221s_before_freeze;file_end_off_expiry_-18594s
btc-updown-15m-1767219300,1767219300,2025-12,1767219916056,1767220199000,282.9,alive,1075,covers,not_covering,file_ends_2000s_before_freeze;file_end_off_expiry_-1384s
btc-updown-15m-1767220200,1767220200,2025-12,1767220671546,1767221099000,427.5,silent,0,ends_before_freeze_start,not_covering,file_ends_755s_before_freeze;file_end_off_expiry_-284s
btc-updown-15m-1767308400,1767308400,2026-01,1767308817226,1767309299000,481.8,silent,0,ends_before_freeze_start,no_file,
btc-updown-15m-1767375000,1767375000,2026-01,1767375597442,1767375899000,301.6,alive,1557,covers,not_covering,file_ends_490s_before_freeze;file_end_off_expiry_108s
btc-updown-15m-1767382200,1767382200,2026-01,1767382783664,1767383099000,315.3,alive,2189,covers,not_covering,file_ends_864s_before_freeze;file_end_off_expiry_-281s
btc-updown-15m-1767383100,1767383100,2026-01,1767383717073,1767383999000,281.9,alive,1532,covers,not_covering,file_ends_933s_before_freeze;file_end_off_expiry_-316s
btc-updown-15m-1767384000,1767384000,2026-01,1767384657500,1767384899000,241.5,silent,0,ends_before_freeze_start,not_covering,file_ends_940s_before_freeze;file_end_off_expiry_-283s
btc-updown-15m-1767390300,1767390300,2026-01,1767390769039,1767391199000,430.0,silent,0,ends_before_freeze_start,not_covering,file_ends_9348s_before_freeze;file_end_off_expiry_-8879s
btc-updown-15m-1767480300,1767480300,2026-01,1767480765803,1767481199000,433.2,silent,0,ends_before_freeze_start,not_covering,file_ends_562s_before_freeze;file_end_off_expiry_-96s
btc-updown-15m-1767569400,1767569400,2026-01,1767570184695,1767570299000,114.3,silent,0,starts_after_freeze_end,not_covering,file_ends_813s_before_freeze;file_end_off_expiry_-28s
btc-updown-15m-1767636000,1767636000,2026-01,1767636642800,1767636899000,256.2,silent,0,ends_before_freeze_start,not_covering,file_ends_569s_before_freeze;file_end_off_expiry_74s
btc-updown-15m-1767645900,1767645900,2026-01,1767646547201,1767646799000,251.8,alive,1691,covers,not_covering,file_ends_8737s_before_freeze;file_end_off_expiry_-8089s
btc-updown-15m-1767647700,1767647700,2026-01,1767648525498,1767648599000,73.5,alive,638,covers,not_covering,file_ends_835s_before_freeze;file_end_off_expiry_-10s
btc-updown-15m-1767648600,1767648600,2026-01,1767649060477,1767649499000,438.5,no_file,,no_file,not_covering,file_ends_535s_before_freeze;file_end_off_expiry_-75s
btc-updown-15m-1767726000,1767726000,2026-01,1767726602546,1767726899000,296.5,alive,1772,covers,not_covering,file_ends_726s_before_freeze;file_end_off_expiry_-123s
btc-updown-15m-1767728700,1767728700,2026-01,1767729351766,1767729599000,247.2,silent,0,ends_before_freeze_start,not_covering,file_ends_2512s_before_freeze;file_end_off_expiry_-1861s
btc-updown-15m-1767739500,1767739500,2026-01,1767739748684,1767740399000,650.3,silent,0,ends_before_freeze_start,not_covering,file_ends_1412s_before_freeze;file_end_off_expiry_-1163s
btc-updown-15m-1767810600,1767810600,2026-01,1767811418724,1767811499000,80.3,no_file,,no_file,not_covering,file_ends_732s_before_freeze;file_end_off_expiry_87s
btc-updown-15m-1767812400,1767812400,2026-01,1767813159828,1767813299000,139.2,alive,847,covers,no_file,
btc-updown-15m-1767816900,1767816900,2026-01,1767817470502,1767817799000,328.5,silent,0,ends_before_freeze_start,not_covering,file_ends_10862s_before_freeze;file_end_off_expiry_-10291s
btc-updown-15m-1767896100,1767896100,2026-01,1767896850516,1767896999000,148.5,no_file,,no_file,not_covering,file_ends_689s_before_freeze;file_end_off_expiry_62s
btc-updown-15m-1767908700,1767908700,2026-01,1767909521302,1767909599000,77.7,alive,714,covers,no_file,
btc-updown-15m-1767911400,1767911400,2026-01,1767911549385,1767912299000,749.6,alive,2545,covers,no_file,
btc-updown-15m-1767983400,1767983400,2026-01,1767983981376,1767984299000,317.6,alive,1209,covers,not_covering,file_ends_518s_before_freeze;file_end_off_expiry_64s
btc-updown-15m-1767984300,1767984300,2026-01,1767985018686,1767985199000,180.3,no_file,,no_file,not_covering,file_ends_1037s_before_freeze;file_end_off_expiry_-319s
btc-updown-15m-1767987000,1767987000,2026-01,1767987694372,1767987899000,204.6,silent,0,ends_before_freeze_start,no_file,
btc-updown-15m-1767993300,1767993300,2026-01,1767993796557,1767994199000,402.4,silent,0,ends_before_freeze_start,not_covering,file_ends_518s_before_freeze;file_end_off_expiry_-21s
btc-updown-15m-1768151700,1768151700,2026-01,1768152075926,1768152599000,523.1,alive,2168,covers,not_covering,file_ends_306s_before_freeze;file_end_off_expiry_70s
btc-updown-15m-1768162500,1768162500,2026-01,1768163267607,1768163399000,131.4,no_file,,no_file,no_file,
btc-updown-15m-1768173300,1768173300,2026-01,1768173924469,1768174199000,274.5,alive,721,covers,not_covering,file_ends_864s_before_freeze;file_end_off_expiry_-239s
btc-updown-15m-1768174200,1768174200,2026-01,1768174973552,1768175099000,125.4,alive,826,covers,not_covering,file_ends_1049s_before_freeze;file_end_off_expiry_-276s
btc-updown-15m-1768205700,1768205700,2026-01,1768206437105,1768206599000,161.9,no_file,,no_file,not_covering,file_ends_1073s_before_freeze;file_end_off_expiry_-336s
btc-updown-15m-1768252500,1768252500,2026-01,1768253244186,1768253399000,154.8,no_file,,no_file,no_file,
btc-updown-15m-1768325400,1768325400,2026-01,1768325979373,1768326299000,319.6,alive,1284,covers,not_covering,file_ends_911s_before_freeze;file_end_off_expiry_-331s
btc-updown-15m-1768327200,1768327200,2026-01,1768327778621,1768328099000,320.4,alive,1522,covers,not_covering,file_ends_951s_before_freeze;file_end_off_expiry_-373s
btc-updown-15m-1768332600,1768332600,2026-01,1768333282533,1768333499000,216.5,alive,1378,covers,not_covering,file_ends_12336s_before_freeze;file_end_off_expiry_-11654s
btc-updown-15m-1768334400,1768334400,2026-01,1768334962428,1768335299000,336.6,alive,1518,covers,not_covering,file_ends_606s_before_freeze;file_end_off_expiry_-44s
btc-updown-15m-1768375800,1768375800,2026-01,1768376554717,1768376699000,144.3,silent,0,ends_before_freeze_start,not_covering,file_ends_1571s_before_freeze;file_end_off_expiry_-817s
btc-updown-15m-1768380300,1768380300,2026-01,1768380916722,1768381199000,282.3,alive,1708,covers,not_covering,file_ends_1501s_before_freeze;file_end_off_expiry_-885s
btc-updown-15m-1768382100,1768382100,2026-01,1768382921389,1768382999000,77.6,alive,695,covers,not_covering,file_ends_803s_before_freeze;file_end_off_expiry_18s
btc-updown-15m-1768383000,1768383000,2026-01,1768383796797,1768383899000,102.2,silent,0,ends_before_freeze_start,not_covering,file_ends_875s_before_freeze;file_end_off_expiry_-79s
btc-updown-15m-1768386600,1768386600,2026-01,1768387202455,1768387499000,296.5,alive,1136,covers,not_covering,file_ends_4560s_before_freeze;file_end_off_expiry_-3957s
