claim,t_sec,cell,n_rows_total,n_stale_novjan,stale_pct
E-001_fav_ask_ge96_two_sided,780,ask>=0.96,5652,10,0.18
E-001_fav_ask_ge96_two_sided,840,ask>=0.96,5091,18,0.35
E-001_fav_ask_ge96_two_sided,870,ask>=0.96,4072,26,0.64
E-001_fav_ask_ge96_two_sided,885,ask>=0.96,3238,29,0.9
E-001_fav_ask_ge96_two_sided,897,ask>=0.96,1976,29,1.47
E-001_fav_ask_ge96_two_sided,899,ask>=0.96,1260,30,2.38
E-001_fav_band9698_subsplit,780,band=96,1229,4,0.33
E-001_fav_band9698_subsplit,780,band=98,4423,6,0.14
E-001_fav_band9698_subsplit,840,band=96,967,8,0.83
E-001_fav_band9698_subsplit,840,band=98,4124,10,0.24
E-001_fav_band9698_subsplit,870,band=96,680,12,1.76
E-001_fav_band9698_subsplit,870,band=98,3392,14,0.41
E-001_fav_band9698_subsplit,885,band=96,535,13,2.43
E-001_fav_band9698_subsplit,885,band=98,2703,16,0.59
E-001_fav_band9698_subsplit,897,band=96,353,13,3.68
E-001_fav_band9698_subsplit,897,band=98,1623,16,0.99
E-001_fav_band9698_subsplit,899,band=96,238,13,5.46
E-001_fav_band9698_subsplit,899,band=98,1022,17,1.66
E-001_takeable_scan_universe,780,all_two_sided_token_rows,26996,1104,4.09
E-001_takeable_scan_universe,840,all_two_sided_token_rows,21162,1162,5.49
E-001_takeable_scan_universe,870,all_two_sided_token_rows,16200,1208,7.46
E-001_takeable_scan_universe,885,all_two_sided_token_rows,12702,1224,9.64
E-001_takeable_scan_universe,897,all_two_sided_token_rows,7904,1228,15.54
E-001_takeable_scan_universe,899,all_two_sided_token_rows,5588,1228,21.98
E-002_ch1_longshot_4_20c,780,"ask in [0.04,0.20]",5146,75,1.46
E-002_ch1_longshot_4_20c,840,"ask in [0.04,0.20]",3749,89,2.37
E-002_ch1_longshot_4_20c,870,"ask in [0.04,0.20]",2677,98,3.66
E-002_ch1_longshot_4_20c,885,"ask in [0.04,0.20]",2085,102,4.89
E-002_ch1_longshot_4_20c,897,"ask in [0.04,0.20]",1228,103,8.39
E-002_ch1_longshot_4_20c,899,"ask in [0.04,0.20]",840,103,12.26
OL-001_fav_bid_9098,897,bid band 90-98,2080,56,2.69
OL-001_fav_bid_9098,899,bid band 90-98,1281,57,4.45
endgame_taxonomy,780,up_state=ask_only,1752,1,0.06
endgame_taxonomy,780,up_state=bid_only,1842,0,0.0
endgame_taxonomy,780,up_state=empty,34,0,0.0
endgame_taxonomy,780,up_state=two_sided,13498,552,4.09
endgame_taxonomy,840,up_state=ask_only,3162,2,0.06
endgame_taxonomy,840,up_state=bid_only,3372,1,0.03
endgame_taxonomy,840,up_state=empty,11,0,0.0
endgame_taxonomy,840,up_state=two_sided,10581,581,5.49
endgame_taxonomy,870,up_state=ask_only,4412,3,0.07
endgame_taxonomy,870,up_state=bid_only,4604,2,0.04
endgame_taxonomy,870,up_state=empty,10,0,0.0
endgame_taxonomy,870,up_state=two_sided,8100,604,7.46
endgame_taxonomy,885,up_state=ask_only,5276,3,0.06
endgame_taxonomy,885,up_state=bid_only,5491,2,0.04
endgame_taxonomy,885,up_state=empty,8,0,0.0
endgame_taxonomy,885,up_state=two_sided,6351,612,9.64
endgame_taxonomy,897,up_state=ask_only,6531,4,0.06
endgame_taxonomy,897,up_state=bid_only,6628,3,0.05
endgame_taxonomy,897,up_state=empty,15,0,0.0
endgame_taxonomy,897,up_state=two_sided,3952,614,15.54
endgame_taxonomy,899,up_state=ask_only,7149,4,0.06
endgame_taxonomy,899,up_state=bid_only,7176,3,0.04
endgame_taxonomy,899,up_state=empty,7,0,0.0
endgame_taxonomy,899,up_state=two_sided,2794,614,21.98
friction_map_endgame_cell,780,band_c=0,1540,2,0.13
friction_map_endgame_cell,780,band_c=10,268,4,1.49
friction_map_endgame_cell,780,band_c=12,220,5,2.27
friction_map_endgame_cell,780,band_c=14,206,6,2.91
friction_map_endgame_cell,780,band_c=16,192,7,3.65
friction_map_endgame_cell,780,band_c=18,183,5,2.73
friction_map_endgame_cell,780,band_c=2,903,3,0.33
friction_map_endgame_cell,780,band_c=22,138,4,2.9
friction_map_endgame_cell,780,band_c=24,127,3,2.36
friction_map_endgame_cell,780,band_c=26,141,5,3.55
friction_map_endgame_cell,780,band_c=28,124,5,4.03
friction_map_endgame_cell,780,band_c=30,119,2,1.68
friction_map_endgame_cell,780,band_c=32,135,6,4.44
friction_map_endgame_cell,780,band_c=34,128,1,0.78
friction_map_endgame_cell,780,band_c=36,104,1,0.96
friction_map_endgame_cell,780,band_c=38,117,3,2.56
friction_map_endgame_cell,780,band_c=4,493,1,0.2
friction_map_endgame_cell,780,band_c=40,112,5,4.46
friction_map_endgame_cell,780,band_c=42,115,3,2.61
friction_map_endgame_cell,780,band_c=44,110,6,5.45
friction_map_endgame_cell,780,band_c=46,123,12,9.76
friction_map_endgame_cell,780,band_c=48,220,110,50.0
friction_map_endgame_cell,780,band_c=50,354,242,68.36
friction_map_endgame_cell,780,band_c=52,134,9,6.72
friction_map_endgame_cell,780,band_c=54,105,9,8.57
friction_map_endgame_cell,780,band_c=56,114,4,3.51
friction_map_endgame_cell,780,band_c=58,95,1,1.05
friction_map_endgame_cell,780,band_c=6,388,5,1.29
friction_map_endgame_cell,780,band_c=60,104,4,3.85
friction_map_endgame_cell,780,band_c=62,131,5,3.82
friction_map_endgame_cell,780,band_c=64,115,3,2.61
friction_map_endgame_cell,780,band_c=66,110,9,8.18
friction_map_endgame_cell,780,band_c=68,124,6,4.84
friction_map_endgame_cell,780,band_c=72,132,4,3.03
friction_map_endgame_cell,780,band_c=74,141,5,3.55
friction_map_endgame_cell,780,band_c=76,170,1,0.59
friction_map_endgame_cell,780,band_c=78,134,2,1.49
friction_map_endgame_cell,780,band_c=8,294,5,1.7
friction_map_endgame_cell,780,band_c=80,174,8,4.6
friction_map_endgame_cell,780,band_c=82,192,4,2.08
friction_map_endgame_cell,780,band_c=84,198,6,3.03
friction_map_endgame_cell,780,band_c=86,200,3,1.5
friction_map_endgame_cell,780,band_c=88,254,4,1.57
friction_map_endgame_cell,780,band_c=90,309,5,1.62
friction_map_endgame_cell,780,band_c=92,348,3,0.86
friction_map_endgame_cell,780,band_c=94,513,3,0.58
friction_map_endgame_cell,780,band_c=96,915,3,0.33
friction_map_endgame_cell,840,band_c=0,1517,3,0.2
friction_map_endgame_cell,840,band_c=10,190,4,2.11
friction_map_endgame_cell,840,band_c=12,137,7,5.11
friction_map_endgame_cell,840,band_c=14,129,6,4.65
friction_map_endgame_cell,840,band_c=16,155,8,5.16
friction_map_endgame_cell,840,band_c=18,111,5,4.5
friction_map_endgame_cell,840,band_c=2,780,3,0.38
friction_map_endgame_cell,840,band_c=20,114,1,0.88
friction_map_endgame_cell,840,band_c=22,95,4,4.21
friction_map_endgame_cell,840,band_c=24,110,4,3.64
friction_map_endgame_cell,840,band_c=26,93,5,5.38
friction_map_endgame_cell,840,band_c=28,99,5,5.05
friction_map_endgame_cell,840,band_c=30,78,2,2.56
friction_map_endgame_cell,840,band_c=32,97,6,6.19
friction_map_endgame_cell,840,band_c=34,77,2,2.6
friction_map_endgame_cell,840,band_c=36,68,1,1.47
friction_map_endgame_cell,840,band_c=38,57,3,5.26
friction_map_endgame_cell,840,band_c=4,357,3,0.84
friction_map_endgame_cell,840,band_c=40,80,5,6.25
friction_map_endgame_cell,840,band_c=42,92,4,4.35
friction_map_endgame_cell,840,band_c=44,80,6,7.5
friction_map_endgame_cell,840,band_c=46,72,12,16.67
friction_map_endgame_cell,840,band_c=48,180,111,61.67
friction_map_endgame_cell,840,band_c=50,305,242,79.34
friction_map_endgame_cell,840,band_c=52,80,9,11.25
friction_map_endgame_cell,840,band_c=54,85,9,10.59
friction_map_endgame_cell,840,band_c=56,60,4,6.67
friction_map_endgame_cell,840,band_c=58,63,1,1.59
friction_map_endgame_cell,840,band_c=6,295,6,2.03
friction_map_endgame_cell,840,band_c=60,66,5,7.58
friction_map_endgame_cell,840,band_c=62,79,6,7.59
friction_map_endgame_cell,840,band_c=64,85,3,3.53
friction_map_endgame_cell,840,band_c=66,81,9,11.11
friction_map_endgame_cell,840,band_c=68,80,6,7.5
friction_map_endgame_cell,840,band_c=70,79,2,2.53
friction_map_endgame_cell,840,band_c=72,97,5,5.15
friction_map_endgame_cell,840,band_c=74,102,5,4.9
friction_map_endgame_cell,840,band_c=76,105,2,1.9
friction_map_endgame_cell,840,band_c=78,106,2,1.89
friction_map_endgame_cell,840,band_c=8,224,5,2.23
friction_map_endgame_cell,840,band_c=80,102,8,7.84
friction_map_endgame_cell,840,band_c=82,130,4,3.08
friction_map_endgame_cell,840,band_c=84,124,8,6.45
friction_map_endgame_cell,840,band_c=86,152,3,1.97
friction_map_endgame_cell,840,band_c=88,159,4,2.52
friction_map_endgame_cell,840,band_c=90,194,8,4.12
friction_map_endgame_cell,840,band_c=92,287,4,1.39
friction_map_endgame_cell,840,band_c=94,390,3,0.77
friction_map_endgame_cell,840,band_c=96,794,5,0.63
friction_map_endgame_cell,840,band_c=98,1489,3,0.2
friction_map_endgame_cell,870,band_c=0,1255,3,0.24
friction_map_endgame_cell,870,band_c=10,141,5,3.55
friction_map_endgame_cell,870,band_c=12,104,7,6.73
friction_map_endgame_cell,870,band_c=14,85,6,7.06
friction_map_endgame_cell,870,band_c=16,101,9,8.91
friction_map_endgame_cell,870,band_c=18,105,5,4.76
friction_map_endgame_cell,870,band_c=2,568,3,0.53
friction_map_endgame_cell,870,band_c=20,78,1,1.28
friction_map_endgame_cell,870,band_c=22,75,4,5.33
friction_map_endgame_cell,870,band_c=24,77,4,5.19
friction_map_endgame_cell,870,band_c=26,71,6,8.45
friction_map_endgame_cell,870,band_c=28,66,6,9.09
friction_map_endgame_cell,870,band_c=30,59,2,3.39
friction_map_endgame_cell,870,band_c=32,65,6,9.23
friction_map_endgame_cell,870,band_c=34,67,3,4.48
friction_map_endgame_cell,870,band_c=36,63,1,1.59
friction_map_endgame_cell,870,band_c=38,53,4,7.55
friction_map_endgame_cell,870,band_c=4,305,7,2.3
friction_map_endgame_cell,870,band_c=40,50,5,10.0
friction_map_endgame_cell,870,band_c=42,62,4,6.45
friction_map_endgame_cell,870,band_c=44,52,6,11.54
friction_map_endgame_cell,870,band_c=46,51,12,23.53
friction_map_endgame_cell,870,band_c=48,166,112,67.47
friction_map_endgame_cell,870,band_c=50,295,243,82.37
friction_map_endgame_cell,870,band_c=52,60,9,15.0
friction_map_endgame_cell,870,band_c=54,66,9,13.64
friction_map_endgame_cell,870,band_c=56,50,4,8.0
friction_map_endgame_cell,870,band_c=58,38,1,2.63
friction_map_endgame_cell,870,band_c=6,185,7,3.78
friction_map_endgame_cell,870,band_c=60,45,6,13.33
friction_map_endgame_cell,870,band_c=62,52,6,11.54
friction_map_endgame_cell,870,band_c=64,62,4,6.45
friction_map_endgame_cell,870,band_c=66,53,9,16.98
friction_map_endgame_cell,870,band_c=68,55,6,10.91
friction_map_endgame_cell,870,band_c=70,51,2,3.92
friction_map_endgame_cell,870,band_c=72,62,5,8.06
friction_map_endgame_cell,870,band_c=74,68,5,7.35
friction_map_endgame_cell,870,band_c=76,63,3,4.76
friction_map_endgame_cell,870,band_c=78,64,3,4.69
friction_map_endgame_cell,870,band_c=8,165,5,3.03
friction_map_endgame_cell,870,band_c=80,92,8,8.7
friction_map_endgame_cell,870,band_c=82,97,4,4.12
friction_map_endgame_cell,870,band_c=84,82,8,9.76
friction_map_endgame_cell,870,band_c=86,89,3,3.37
friction_map_endgame_cell,870,band_c=88,146,4,2.74
friction_map_endgame_cell,870,band_c=90,148,8,5.41
friction_map_endgame_cell,870,band_c=92,187,4,2.14
friction_map_endgame_cell,870,band_c=94,278,4,1.44
friction_map_endgame_cell,870,band_c=96,557,6,1.08
friction_map_endgame_cell,870,band_c=98,1271,7,0.55
friction_map_endgame_cell,885,band_c=0,990,3,0.3
friction_map_endgame_cell,885,band_c=10,118,5,4.24
friction_map_endgame_cell,885,band_c=12,92,7,7.61
friction_map_endgame_cell,885,band_c=14,77,6,7.79
friction_map_endgame_cell,885,band_c=16,84,9,10.71
friction_map_endgame_cell,885,band_c=18,69,6,8.7
friction_map_endgame_cell,885,band_c=2,493,4,0.81
friction_map_endgame_cell,885,band_c=20,62,2,3.23
friction_map_endgame_cell,885,band_c=22,43,4,9.3
friction_map_endgame_cell,885,band_c=24,50,4,8.0
friction_map_endgame_cell,885,band_c=26,61,6,9.84
friction_map_endgame_cell,885,band_c=28,50,6,12.0
friction_map_endgame_cell,885,band_c=30,39,2,5.13
friction_map_endgame_cell,885,band_c=32,41,6,14.63
friction_map_endgame_cell,885,band_c=34,43,3,6.98
friction_map_endgame_cell,885,band_c=36,47,1,2.13
friction_map_endgame_cell,885,band_c=38,39,4,10.26
friction_map_endgame_cell,885,band_c=4,205,7,3.41
friction_map_endgame_cell,885,band_c=40,44,5,11.36
friction_map_endgame_cell,885,band_c=42,40,4,10.0
friction_map_endgame_cell,885,band_c=44,48,6,12.5
friction_map_endgame_cell,885,band_c=46,49,12,24.49
friction_map_endgame_cell,885,band_c=48,151,112,74.17
friction_map_endgame_cell,885,band_c=50,279,242,86.74
friction_map_endgame_cell,885,band_c=52,43,9,20.93
friction_map_endgame_cell,885,band_c=54,53,9,16.98
friction_map_endgame_cell,885,band_c=56,47,4,8.51
friction_map_endgame_cell,885,band_c=58,24,1,4.17
friction_map_endgame_cell,885,band_c=6,150,7,4.67
friction_map_endgame_cell,885,band_c=60,42,6,14.29
friction_map_endgame_cell,885,band_c=62,46,6,13.04
friction_map_endgame_cell,885,band_c=64,51,4,7.84
friction_map_endgame_cell,885,band_c=66,44,10,22.73
friction_map_endgame_cell,885,band_c=68,43,6,13.95
friction_map_endgame_cell,885,band_c=70,51,3,5.88
friction_map_endgame_cell,885,band_c=72,43,5,11.63
friction_map_endgame_cell,885,band_c=74,53,5,9.43
friction_map_endgame_cell,885,band_c=76,54,3,5.56
friction_map_endgame_cell,885,band_c=78,48,3,6.25
friction_map_endgame_cell,885,band_c=8,117,5,4.27
friction_map_endgame_cell,885,band_c=80,58,9,15.52
friction_map_endgame_cell,885,band_c=82,56,4,7.14
friction_map_endgame_cell,885,band_c=84,67,8,11.94
friction_map_endgame_cell,885,band_c=86,90,4,4.44
friction_map_endgame_cell,885,band_c=88,107,4,3.74
friction_map_endgame_cell,885,band_c=90,102,9,8.82
friction_map_endgame_cell,885,band_c=92,123,4,3.25
friction_map_endgame_cell,885,band_c=94,228,3,1.32
friction_map_endgame_cell,885,band_c=96,470,6,1.28
friction_map_endgame_cell,885,band_c=98,927,9,0.97
friction_map_endgame_cell,897,band_c=0,512,3,0.59
friction_map_endgame_cell,897,band_c=10,66,6,9.09
friction_map_endgame_cell,897,band_c=12,52,7,13.46
friction_map_endgame_cell,897,band_c=14,51,6,11.76
friction_map_endgame_cell,897,band_c=16,54,9,16.67
friction_map_endgame_cell,897,band_c=18,38,6,15.79
friction_map_endgame_cell,897,band_c=2,294,4,1.36
friction_map_endgame_cell,897,band_c=20,27,2,7.41
friction_map_endgame_cell,897,band_c=22,37,4,10.81
friction_map_endgame_cell,897,band_c=24,37,4,10.81
friction_map_endgame_cell,897,band_c=26,41,6,14.63
friction_map_endgame_cell,897,band_c=28,28,6,21.43
friction_map_endgame_cell,897,band_c=30,29,2,6.9
friction_map_endgame_cell,897,band_c=32,32,6,18.75
friction_map_endgame_cell,897,band_c=34,25,3,12.0
friction_map_endgame_cell,897,band_c=36,20,1,5.0
friction_map_endgame_cell,897,band_c=38,19,4,21.05
friction_map_endgame_cell,897,band_c=4,131,7,5.34
friction_map_endgame_cell,897,band_c=40,26,6,23.08
friction_map_endgame_cell,897,band_c=42,30,4,13.33
friction_map_endgame_cell,897,band_c=44,31,6,19.35
friction_map_endgame_cell,897,band_c=46,36,12,33.33
friction_map_endgame_cell,897,band_c=48,153,112,73.2
friction_map_endgame_cell,897,band_c=50,275,241,87.64
friction_map_endgame_cell,897,band_c=52,28,9,32.14
friction_map_endgame_cell,897,band_c=54,34,9,26.47
friction_map_endgame_cell,897,band_c=56,33,4,12.12
friction_map_endgame_cell,897,band_c=58,24,1,4.17
friction_map_endgame_cell,897,band_c=6,95,7,7.37
friction_map_endgame_cell,897,band_c=60,32,6,18.75
friction_map_endgame_cell,897,band_c=62,28,6,21.43
friction_map_endgame_cell,897,band_c=64,43,4,9.3
friction_map_endgame_cell,897,band_c=66,23,10,43.48
friction_map_endgame_cell,897,band_c=68,25,6,24.0
friction_map_endgame_cell,897,band_c=70,33,3,9.09
friction_map_endgame_cell,897,band_c=72,32,5,15.63
friction_map_endgame_cell,897,band_c=74,41,5,12.2
friction_map_endgame_cell,897,band_c=76,35,4,11.43
friction_map_endgame_cell,897,band_c=78,41,3,7.32
friction_map_endgame_cell,897,band_c=8,64,5,7.81
friction_map_endgame_cell,897,band_c=80,40,9,22.5
friction_map_endgame_cell,897,band_c=82,36,4,11.11
friction_map_endgame_cell,897,band_c=84,44,8,18.18
friction_map_endgame_cell,897,band_c=86,47,4,8.51
friction_map_endgame_cell,897,band_c=88,64,4,6.25
friction_map_endgame_cell,897,band_c=90,52,9,17.31
friction_map_endgame_cell,897,band_c=92,76,4,5.26
friction_map_endgame_cell,897,band_c=94,110,3,2.73
friction_map_endgame_cell,897,band_c=96,296,6,2.03
friction_map_endgame_cell,897,band_c=98,532,9,1.69
friction_map_endgame_cell,899,band_c=0,292,3,1.03
friction_map_endgame_cell,899,band_c=10,49,6,12.24
friction_map_endgame_cell,899,band_c=12,39,7,17.95
friction_map_endgame_cell,899,band_c=14,34,6,17.65
friction_map_endgame_cell,899,band_c=16,41,9,21.95
friction_map_endgame_cell,899,band_c=18,35,6,17.14
friction_map_endgame_cell,899,band_c=2,175,4,2.29
friction_map_endgame_cell,899,band_c=20,21,2,9.52
friction_map_endgame_cell,899,band_c=22,17,4,23.53
