slug,epoch,month,result_id,asset_id_0,asset_id_1
btc-updown-15m-1760028300,1760028300,2025-10,1,105452423620570843178933650356704763406446081993644465643014940671145518839870,48726800553186028015772254307237386324365444066683034427155905531293972198621
btc-updown-15m-1760029200,1760029200,2025-10,0,34999391268105770496045071519092337133150666496788405920928085024017594706003,36125835387703339203097906930387239564375268322443122223033104208053227302020
btc-updown-15m-1760030100,1760030100,2025-10,1,77649939674843826733472415207267120019083735316972873974062251982603187520930,115635795643610799829015787127487205631665382031600690246309783783526099749527
btc-updown-15m-1760031000,1760031000,2025-10,0,3159904246042734476150694440205272925993270978337748173850688434690074810541,70232162260687200468781292823852825430877653451113298969614029018021260664559
btc-updown-15m-1760031900,1760031900,2025-10,0,13950179786439257201642771721694892177150520385453888347745470463302860227267,74752730037721780835784335776130208444361236217344609657742475776889677947726
btc-updown-15m-1760032800,1760032800,2025-10,1,14923802544692755918848492406086407985123895874445561511825962199035658837797,58531789828802995118439815390637593999222554364910031404976192218596790772680
btc-updown-15m-1760033700,1760033700,2025-10,1,31976458180234274737426271877496761783655929154352191065963999193662311141661,40559623634800319539656270539398560265490306318195281950206547272489551645141
btc-updown-15m-1760034600,1760034600,2025-10,1,67259054714258224848296723505536993994363717318629669479099973653643484564436,49588129804733265739300227037163269579220240496663617395816961185136388513762
btc-updown-15m-1760035500,1760035500,2025-10,0,72335998489633149775021902123592464099492429121486252021872487788641454040256,92665407838900131355986609509893088044300422420283610236790033565835493553407
btc-updown-15m-1760036400,1760036400,2025-10,0,90099593546484366841724576628337652088988468658563975319166741548874920942840,155821759271550757159424054223912030490729389906423139642511626293915933896
btc-updown-15m-1760037300,1760037300,2025-10,0,111071080517501744348251570922251982290935042683240807652281734593961300183204,25391912450865877280739915333913924085977983439400777736084007142793805123669
btc-updown-15m-1760038200,1760038200,2025-10,1,12405935005809213335892466187100483389245607967168042654446069264251263343043,78150474632328337243597029642998075771419367250225936248024904141851213719804
btc-updown-15m-1760039100,1760039100,2025-10,0,12809956314132749004906395192170539299341837139684043733518017079075218153284,109477992627864111878389056169339907438225931607898332015573789459829106075504
btc-updown-15m-1760040000,1760040000,2025-10,1,112032443145232764085686809172753583883768122836594461858276669327981655020680,23376393641538418476269934521558904566799195571847208856071055805723040459736
btc-updown-15m-1760040900,1760040900,2025-10,0,88945189570416722375852267932694356154728497377450206135238124333164473223704,28537084506322004280678572118507694500750911026803982297517001965052130993142
btc-updown-15m-1760041800,1760041800,2025-10,0,13575563108438250420907823709342044004002772278916315448231012595585781140606,56933932856455470081405002492926193255085122262449178147648805975316007757763
btc-updown-15m-1760042700,1760042700,2025-10,0,89958379380790000997533328403357984976750762776118092747603496393775390302251,101636088439197425663536242820609325487025443044354069161669968215625146880970
btc-updown-15m-1760043600,1760043600,2025-10,0,46708206339410534791095786117211279867553430588054514511918213371111503608288,26281698595884398219062230699873271131106964782548079199656259776251137484283
btc-updown-15m-1760044500,1760044500,2025-10,1,70946900221995926571704047363807378270821497066370848321564960127009820895212,66377152286292255259903641401205440438461435452417044457728677577439546098314
btc-updown-15m-1760045400,1760045400,2025-10,0,27010662528177604371046130898144594840818347946389109688233357503216389581518,28214628837778339497158834284706289609220722569354573430225048458119031836538
btc-updown-15m-1760046300,1760046300,2025-10,0,109452114563032956732144509235743625134070901270156461999798656884628541067574,8239860250613072104560729959233057715561331176330163026771412644255845559363
btc-updown-15m-1760047200,1760047200,2025-10,0,22767550614828167702259926256775248889228643405722619924656497970043328553159,56191778093991668882310553894622231290838182121814127301605977006077747529477
btc-updown-15m-1760048100,1760048100,2025-10,0,3103856634464482241429194011496228401039727732972373127764612634097108635064,69263992979286524464145491080234395717440400844127121229844108089871808005892
btc-updown-15m-1760049000,1760049000,2025-10,0,55552568698372825590643966399322323605418562377938075578340592571866223267989,7999872280875235098581085720294668767624058928094133292368361363983235583267
btc-updown-15m-1760049900,1760049900,2025-10,0,23791412019953511613512459925988292552500008069430542434146251853834519120595,9304445170402419451136954043243169343629774962101741690270986872470663942835
btc-updown-15m-1760050800,1760050800,2025-10,1,50330526691098956114886991349161045769539213778480666558418408500266234007941,54772724967137005751689590446845070344736920478965339465376184416300153603538
btc-updown-15m-1760051700,1760051700,2025-10,0,23507686156654108815239269724845653727240783010884184561032354388545844210788,92984554232152647413092006225405214829716641092625870093290721454379329239425
btc-updown-15m-1760052600,1760052600,2025-10,0,55506876824988129497618521963102849369472445349839408299372076319493386163613,105310105819417914670233223273198110182971574682984985391594823480150775994590
btc-updown-15m-1760053500,1760053500,2025-10,0,103797544318843084057752609798411561834975020711219813542944099677002259091597,26427186992139054907690618812003061707700608311311257262034531619746344763417
btc-updown-15m-1760054400,1760054400,2025-10,1,61222060253439312983595718648577644814865401726986141043759961532946834983550,114342768881154775867104223757912818603563762195931806995438921149366942797142
btc-updown-15m-1760055300,1760055300,2025-10,0,79814181552119063875184494089008153569710511057688607852550446155209963886016,48064707045878876753593243741704832539836352227831915250751194467151606147936
btc-updown-15m-1760056200,1760056200,2025-10,1,102618727983861775101219913968844054221955086750207200337703510692549779753749,64372947362085548752624969945360254300669698538349523944096612632515274294613
btc-updown-15m-1760057100,1760057100,2025-10,0,82610648803733761933579392473790831576624234303271019702667823606114662402715,56497123263430921353595716610243402913169852840903141768098719146579497685412
btc-updown-15m-1760058000,1760058000,2025-10,0,82001129075309896620624668524535019737989648724329134172751109441909326370964,92952052984573320439910690013674862571683330073481058098768900263968569918119
btc-updown-15m-1760058900,1760058900,2025-10,0,42304022244761221841300658030926961680283072479838703283861870389367571800863,2080053903404777146822105931964708902566425832344482007424072017354436271339
btc-updown-15m-1760059800,1760059800,2025-10,1,89755839087500401648860033116792783862848439639346123039246439261238247461716,90732020849365311444947645014117436936459326477001776556017824201981680841267
btc-updown-15m-1760060700,1760060700,2025-10,0,85243015970445369105210187838670521578698249769930762477248317400270336579890,69019776559609273459892543859229823035236907903778188450485163337088079366826
btc-updown-15m-1760061600,1760061600,2025-10,1,71723410543972855979702470622476970650443233357425689574527162663582210553438,45110737774424437253324575410624371920833545668300111119742180436836687260211
btc-updown-15m-1760062500,1760062500,2025-10,0,79931533841462975904509829707051827899748431446276638843528509628965334237002,4483657335936807872568997359167877839876287986225549994849192735550318775697
