claim,regime,t_sec,n,p_win,avg_price,dev_c,z,label
"E-001 fav96 within +-1c gross, t>=885",2025-10..2026-02,885,1767,0.9842,0.9865,-0.239,-0.81,SUPPORTED
"E-001 fav96 within +-1c gross, t>=885",2025-10..2026-02,897,1097,0.9809,0.9848,-0.395,-0.96,SUPPORTED
"E-001 fav96 within +-1c gross, t>=885",2025-10..2026-02,899,858,0.9744,0.9848,-1.041,-1.94,UNSUPPORTED
"E-001 fav96 within +-1c gross, t>=885",2026-03..2026-05,885,1441,0.9833,0.9869,-0.354,-1.05,SUPPORTED
"E-001 fav96 within +-1c gross, t>=885",2026-03..2026-05,897,850,0.9788,0.9875,-0.865,-1.76,SUPPORTED
"E-001 fav96 within +-1c gross, t>=885",2026-03..2026-05,899,372,0.9892,0.9874,0.189,0.36,SUPPORTED
E-001 no adjacent fee-clearing band pair (positive),2025-10..2026-02,,0,,,,,SUPPORTED
E-001 no adjacent fee-clearing band pair (positive),2026-03..2026-05,,0,,,,,SUPPORTED
"E-002 longshot 4-20c <= -1c, t>=885",2025-10..2026-02,885,1115,0.0682,0.0956,-2.745,-3.65,SUPPORTED
"E-002 longshot 4-20c <= -1c, t>=885",2025-10..2026-02,897,606,0.0429,0.0909,-4.796,-5.79,SUPPORTED
"E-002 longshot 4-20c <= -1c, t>=885",2025-10..2026-02,899,453,0.0419,0.0887,-4.671,-4.94,SUPPORTED
"E-002 longshot 4-20c <= -1c, t>=885",2026-03..2026-05,885,810,0.079,0.0936,-1.458,-1.56,SUPPORTED
"E-002 longshot 4-20c <= -1c, t>=885",2026-03..2026-05,897,492,0.0346,0.0927,-5.811,-7.15,SUPPORTED
"E-002 longshot 4-20c <= -1c, t>=885",2026-03..2026-05,899,256,0.0313,0.0988,-6.754,-6.25,SUPPORTED
"OL-001 fav bid margin >= +1.5c, t=897/899",2025-10..2026-02,897,1104,0.9855,0.9658,1.971,5.48,SUPPORTED
"OL-001 fav bid margin >= +1.5c, t=897/899",2025-10..2026-02,899,839,0.9881,0.9656,2.244,5.91,SUPPORTED
"OL-001 fav bid margin >= +1.5c, t=897/899",2026-03..2026-05,897,920,0.9946,0.9681,2.646,10.58,SUPPORTED
"OL-001 fav bid margin >= +1.5c, t=897/899",2026-03..2026-05,899,384,0.9948,0.9658,2.901,7.85,SUPPORTED
