token,t_sec,band,n,p_win,avg_ask,dev_c,fn,p25_spread_c,med_spread_c,margin_c,dev_m_p50_c,z,months_agree,dev_lo_c,n_lo,dev_hi_c,n_hi,depth_take,n_stale,dev_fresh_c
DOWN,300,8,172,0.0814,0.0854,-0.4,29,1.0,1.0,-1.53,-1.4,-0.19,5,-3.58,101,0.19,224,1052.0,0,-0.4
DOWN,300,10,224,0.1071,0.1053,0.19,23,1.0,1.0,-0.98,-0.81,0.09,4,-0.4,172,-4.34,231,1033.0,0,0.19
DOWN,300,12,231,0.0823,0.1256,-4.34,29,1.0,1.0,-5.53,-5.34,-2.4,8,0.19,224,1.32,265,772.0,0,-4.34
DOWN,300,14,265,0.1585,0.1452,1.32,40,1.0,1.0,0.1,0.32,0.59,5,-4.34,231,-5.58,311,1106.0,1,1.38
DOWN,300,16,311,0.1093,0.1651,-5.58,46,1.0,1.0,-6.83,-6.58,-3.15,6,1.32,265,-6.35,330,887.0,0,-5.58
DOWN,300,18,330,0.1212,0.1848,-6.35,30,1.0,1.0,-7.64,-7.35,-3.54,7,-5.58,311,-2.18,365,604.0,0,-6.35
DOWN,300,20,365,0.1836,0.2053,-2.18,52,1.0,1.0,-3.5,-3.18,-1.07,5,-6.35,330,-0.23,359,1009.0,1,-2.13
DOWN,300,22,359,0.2228,0.2252,-0.23,40,1.0,1.0,-1.58,-1.23,-0.11,5,-2.18,365,0.5,400,1117.0,0,-0.23
DOWN,300,24,400,0.25,0.245,0.5,49,1.0,1.0,-0.88,-0.5,0.23,5,-0.23,359,-0.33,412,789.0,0,0.5
DOWN,300,26,412,0.2621,0.2655,-0.33,54,1.0,1.0,-1.75,-1.33,-0.15,4,0.5,400,-1.88,432,755.0,0,-0.33
DOWN,300,28,432,0.2662,0.285,-1.88,59,1.0,1.0,-3.32,-2.88,-0.88,6,-0.33,412,-1.65,415,919.0,1,-1.82
DOWN,300,30,415,0.2892,0.3057,-1.65,53,1.0,1.0,-3.13,-2.65,-0.74,5,-1.88,432,-4.4,462,712.0,1,-1.58
DOWN,300,32,462,0.2814,0.3254,-4.4,45,1.0,1.0,-5.91,-5.4,-2.1,7,-1.65,415,1.32,447,899.0,0,-4.4
DOWN,300,34,447,0.3579,0.3447,1.32,46,1.0,1.0,-0.22,0.32,0.58,4,-4.4,462,0.92,406,832.0,1,1.4
DOWN,300,36,406,0.3744,0.3652,0.92,35,1.0,1.0,-0.65,-0.08,0.38,4,1.32,447,4.93,419,522.0,0,0.92
DOWN,300,38,419,0.4344,0.3851,4.93,42,1.0,1.0,3.33,3.93,2.04,8,0.92,406,-1.24,423,437.0,2,5.14
DOWN,300,40,423,0.3924,0.4049,-1.24,41,1.0,1.0,-2.88,-2.24,-0.52,5,4.93,419,1.32,413,673.0,1,-1.39
DOWN,300,42,413,0.4383,0.425,1.32,49,1.0,1.0,-0.34,0.32,0.54,4,-1.24,423,1.86,444,551.0,1,1.43
DOWN,300,44,444,0.464,0.4454,1.86,53,1.0,1.0,0.17,0.86,0.79,6,1.32,413,-0.84,425,589.0,2,1.85
DOWN,300,46,425,0.4565,0.4649,-0.84,59,1.0,1.0,-2.57,-1.84,-0.35,5,1.86,444,-0.32,423,738.0,8,-0.93
