slug,epoch,month,result_id
btc-updown-15m-1760140800,1760140800,2025-10,1
btc-updown-15m-1760145300,1760145300,2025-10,1
btc-updown-15m-1760149800,1760149800,2025-10,0
btc-updown-15m-1760183100,1760183100,2025-10,1
btc-updown-15m-1760187600,1760187600,2025-10,0
btc-updown-15m-1760192100,1760192100,2025-10,1
btc-updown-15m-1760229900,1760229900,2025-10,1
btc-updown-15m-1760234400,1760234400,2025-10,0
btc-updown-15m-1760301900,1760301900,2025-10,1
btc-updown-15m-1760305500,1760305500,2025-10,0
btc-updown-15m-1760310000,1760310000,2025-10,1
btc-updown-15m-1760369400,1760369400,2025-10,1
btc-updown-15m-1760373900,1760373900,2025-10,0
btc-updown-15m-1760378400,1760378400,2025-10,1
btc-updown-15m-1760382900,1760382900,2025-10,0
btc-updown-15m-1760386500,1760386500,2025-10,1
btc-updown-15m-1760391000,1760391000,2025-10,1
btc-updown-15m-1760422500,1760422500,2025-10,1
btc-updown-15m-1760427000,1760427000,2025-10,1
btc-updown-15m-1760431500,1760431500,2025-10,1
btc-updown-15m-1760436000,1760436000,2025-10,1
btc-updown-15m-1760439600,1760439600,2025-10,0
btc-updown-15m-1760444100,1760444100,2025-10,1
btc-updown-15m-1760448600,1760448600,2025-10,1
btc-updown-15m-1760463900,1760463900,2025-10,0
btc-updown-15m-1760468400,1760468400,2025-10,0
btc-updown-15m-1760472900,1760472900,2025-10,0
btc-updown-15m-1760476500,1760476500,2025-10,0
btc-updown-15m-1760481000,1760481000,2025-10,1
btc-updown-15m-1760500800,1760500800,2025-10,1
btc-updown-15m-1760505300,1760505300,2025-10,1
btc-updown-15m-1760517900,1760517900,2025-10,1
btc-updown-15m-1760522400,1760522400,2025-10,0
btc-updown-15m-1760526000,1760526000,2025-10,0
btc-updown-15m-1760540400,1760540400,2025-10,1
btc-updown-15m-1760544900,1760544900,2025-10,0
btc-updown-15m-1760549400,1760549400,2025-10,0
btc-updown-15m-1760558400,1760558400,2025-10,0
btc-updown-15m-1760562900,1760562900,2025-10,0
btc-updown-15m-1760566500,1760566500,2025-10,0
btc-updown-15m-1760571000,1760571000,2025-10,0
btc-updown-15m-1760575500,1760575500,2025-10,0
btc-updown-15m-1760580000,1760580000,2025-10,0
btc-updown-15m-1760584500,1760584500,2025-10,0
btc-updown-15m-1760589000,1760589000,2025-10,1
btc-updown-15m-1760592600,1760592600,2025-10,0
btc-updown-15m-1760597100,1760597100,2025-10,0
btc-updown-15m-1760617800,1760617800,2025-10,0
btc-updown-15m-1760622300,1760622300,2025-10,1
btc-updown-15m-1760632200,1760632200,2025-10,1
btc-updown-15m-1760636700,1760636700,2025-10,1
btc-updown-15m-1760640300,1760640300,2025-10,0
btc-updown-15m-1760644800,1760644800,2025-10,1
btc-updown-15m-1760649300,1760649300,2025-10,1
btc-updown-15m-1760653800,1760653800,2025-10,1
btc-updown-15m-1760658300,1760658300,2025-10,0
btc-updown-15m-1760662800,1760662800,2025-10,0
btc-updown-15m-1760666400,1760666400,2025-10,1
btc-updown-15m-1760677200,1760677200,2025-10,0
btc-updown-15m-1760681700,1760681700,2025-10,1
btc-updown-15m-1760686200,1760686200,2025-10,1
btc-updown-15m-1760715000,1760715000,2025-10,0
btc-updown-15m-1760719500,1760719500,2025-10,1
btc-updown-15m-1760723100,1760723100,2025-10,0
btc-updown-15m-1760727600,1760727600,2025-10,0
btc-updown-15m-1760732100,1760732100,2025-10,0
btc-updown-15m-1760748300,1760748300,2025-10,0
btc-updown-15m-1760752800,1760752800,2025-10,1
btc-updown-15m-1760757300,1760757300,2025-10,0
btc-updown-15m-1760816700,1760816700,2025-10,0
btc-updown-15m-1760821200,1760821200,2025-10,1
btc-updown-15m-1760825700,1760825700,2025-10,0
btc-updown-15m-1760877000,1760877000,2025-10,0
btc-updown-15m-1760881500,1760881500,2025-10,0
btc-updown-15m-1760886000,1760886000,2025-10,0
btc-updown-15m-1760889600,1760889600,2025-10,1
btc-updown-15m-1760894100,1760894100,2025-10,1
btc-updown-15m-1760943600,1760943600,2025-10,1
btc-updown-15m-1760948100,1760948100,2025-10,0
btc-updown-15m-1760952600,1760952600,2025-10,0
btc-updown-15m-1760957100,1760957100,2025-10,1
btc-updown-15m-1760960700,1760960700,2025-10,0
btc-updown-15m-1760965200,1760965200,2025-10,1
btc-updown-15m-1760973300,1760973300,2025-10,0
btc-updown-15m-1760977800,1760977800,2025-10,1
btc-updown-15m-1760982300,1760982300,2025-10,0
btc-updown-15m-1760985900,1760985900,2025-10,0
btc-updown-15m-1760990400,1760990400,2025-10,0
btc-updown-15m-1760994900,1760994900,2025-10,1
btc-updown-15m-1760999400,1760999400,2025-10,0
btc-updown-15m-1761003900,1761003900,2025-10,1
btc-updown-15m-1761008400,1761008400,2025-10,1
btc-updown-15m-1761012000,1761012000,2025-10,1
btc-updown-15m-1761019200,1761019200,2025-10,1
btc-updown-15m-1761023700,1761023700,2025-10,0
btc-updown-15m-1761028200,1761028200,2025-10,1
btc-updown-15m-1761039900,1761039900,2025-10,0
btc-updown-15m-1761044400,1761044400,2025-10,1
btc-updown-15m-1761048000,1761048000,2025-10,1
btc-updown-15m-1761052500,1761052500,2025-10,0
btc-updown-15m-1761057000,1761057000,2025-10,0
btc-updown-15m-1761061500,1761061500,2025-10,0
btc-updown-15m-1761066000,1761066000,2025-10,0
btc-updown-15m-1761070500,1761070500,2025-10,1
btc-updown-15m-1761074100,1761074100,2025-10,1
btc-updown-15m-1761078600,1761078600,2025-10,0
btc-updown-15m-1761083100,1761083100,2025-10,1
btc-updown-15m-1761087600,1761087600,2025-10,0
btc-updown-15m-1761092100,1761092100,2025-10,1
btc-updown-15m-1761096600,1761096600,2025-10,0
btc-updown-15m-1761100200,1761100200,2025-10,1
btc-updown-15m-1761104700,1761104700,2025-10,0
btc-updown-15m-1761109200,1761109200,2025-10,1
btc-updown-15m-1761113700,1761113700,2025-10,0
btc-updown-15m-1761118200,1761118200,2025-10,0
btc-updown-15m-1761122700,1761122700,2025-10,1
btc-updown-15m-1761126300,1761126300,2025-10,0
btc-updown-15m-1761130800,1761130800,2025-10,0
btc-updown-15m-1761135300,1761135300,2025-10,0
btc-updown-15m-1761139800,1761139800,2025-10,1
btc-updown-15m-1761148800,1761148800,2025-10,0
btc-updown-15m-1761153300,1761153300,2025-10,1
btc-updown-15m-1761156900,1761156900,2025-10,0
btc-updown-15m-1761161400,1761161400,2025-10,1
btc-updown-15m-1761165900,1761165900,2025-10,1
btc-updown-15m-1761177600,1761177600,2025-10,0
btc-updown-15m-1761182100,1761182100,2025-10,1
btc-updown-15m-1761186600,1761186600,2025-10,0
btc-updown-15m-1761190200,1761190200,2025-10,1
btc-updown-15m-1761194700,1761194700,2025-10,1
btc-updown-15m-1761199200,1761199200,2025-10,0
btc-updown-15m-1761203700,1761203700,2025-10,1
btc-updown-15m-1761208200,1761208200,2025-10,1
btc-updown-15m-1761212700,1761212700,2025-10,0
btc-updown-15m-1761216300,1761216300,2025-10,1
btc-updown-15m-1761220800,1761220800,2025-10,1
btc-updown-15m-1761225300,1761225300,2025-10,0
btc-updown-15m-1761229800,1761229800,2025-10,0
btc-updown-15m-1761234300,1761234300,2025-10,0
btc-updown-15m-1761238800,1761238800,2025-10,1
btc-updown-15m-1761242400,1761242400,2025-10,1
btc-updown-15m-1761246900,1761246900,2025-10,0
btc-updown-15m-1761251400,1761251400,2025-10,1
btc-updown-15m-1761255900,1761255900,2025-10,0
btc-updown-15m-1761260400,1761260400,2025-10,0
btc-updown-15m-1761264900,1761264900,2025-10,1
btc-updown-15m-1761276600,1761276600,2025-10,1
btc-updown-15m-1761281100,1761281100,2025-10,0
btc-updown-15m-1761285600,1761285600,2025-10,1
btc-updown-15m-1761290100,1761290100,2025-10,0
btc-updown-15m-1761294600,1761294600,2025-10,0
btc-updown-15m-1761299100,1761299100,2025-10,1
btc-updown-15m-1761302700,1761302700,2025-10,1
btc-updown-15m-1761321600,1761321600,2025-10,1
btc-updown-15m-1761326100,1761326100,2025-10,0
btc-updown-15m-1761330600,1761330600,2025-10,0
btc-updown-15m-1761335100,1761335100,2025-10,1
btc-updown-15m-1761347700,1761347700,2025-10,0
btc-updown-15m-1761351300,1761351300,2025-10,1
btc-updown-15m-1761355800,1761355800,2025-10,1
btc-updown-15m-1761360300,1761360300,2025-10,0
btc-updown-15m-1761369300,1761369300,2025-10,0
btc-updown-15m-1761373800,1761373800,2025-10,0
btc-updown-15m-1761378300,1761378300,2025-10,1
btc-updown-15m-1761418800,1761418800,2025-10,1
btc-updown-15m-1761423300,1761423300,2025-10,1
btc-updown-15m-1761446700,1761446700,2025-10,1
btc-updown-15m-1761451200,1761451200,2025-10,0
btc-updown-15m-1761455700,1761455700,2025-10,0
btc-updown-15m-1761544800,1761544800,2025-10,1
btc-updown-15m-1761549300,1761549300,2025-10,1
btc-updown-15m-1761553800,1761553800,2025-10,0
btc-updown-15m-1761566400,1761566400,2025-10,1
btc-updown-15m-1761570900,1761570900,2025-10,0
btc-updown-15m-1761575400,1761575400,2025-10,1
btc-updown-15m-1761579000,1761579000,2025-10,1
btc-updown-15m-1761583500,1761583500,2025-10,0
btc-updown-15m-1761588000,1761588000,2025-10,0
btc-updown-15m-1761592500,1761592500,2025-10,1
btc-updown-15m-1761605100,1761605100,2025-10,1
btc-updown-15m-1761609600,1761609600,2025-10,1
btc-updown-15m-1761613200,1761613200,2025-10,0
btc-updown-15m-1761617700,1761617700,2025-10,1
btc-updown-15m-1761622200,1761622200,2025-10,1
btc-updown-15m-1761629400,1761629400,2025-10,1
btc-updown-15m-1761633900,1761633900,2025-10,0
btc-updown-15m-1761638400,1761638400,2025-10,1
btc-updown-15m-1761642000,1761642000,2025-10,1
btc-updown-15m-1761646500,1761646500,2025-10,0
btc-updown-15m-1761651000,1761651000,2025-10,1
btc-updown-15m-1761655500,1761655500,2025-10,0
btc-updown-15m-1761660000,1761660000,2025-10,0
btc-updown-15m-1761664500,1761664500,2025-10,1
btc-updown-15m-1761668100,1761668100,2025-10,0
btc-updown-15m-1761672600,1761672600,2025-10,0
btc-updown-15m-1761677100,1761677100,2025-10,0
btc-updown-15m-1761681600,1761681600,2025-10,1
btc-updown-15m-1761686100,1761686100,2025-10,0
btc-updown-15m-1761690600,1761690600,2025-10,0
btc-updown-15m-1761711300,1761711300,2025-10,0
btc-updown-15m-1761715800,1761715800,2025-10,0
btc-updown-15m-1761720300,1761720300,2025-10,0
btc-updown-15m-1761724800,1761724800,2025-10,1
btc-updown-15m-1761729300,1761729300,2025-10,0
btc-updown-15m-1761733800,1761733800,2025-10,1
btc-updown-15m-1761737400,1761737400,2025-10,1
btc-updown-15m-1761741900,1761741900,2025-10,1
btc-updown-15m-1761746400,1761746400,2025-10,1
btc-updown-15m-1761750900,1761750900,2025-10,1
btc-updown-15m-1761755400,1761755400,2025-10,0
btc-updown-15m-1761759900,1761759900,2025-10,0
btc-updown-15m-1761763500,1761763500,2025-10,0
btc-updown-15m-1761768000,1761768000,2025-10,1
btc-updown-15m-1761772500,1761772500,2025-10,0
btc-updown-15m-1761779700,1761779700,2025-10,1
btc-updown-15m-1761784200,1761784200,2025-10,0
btc-updown-15m-1761788700,1761788700,2025-10,1
btc-updown-15m-1761792300,1761792300,2025-10,0
btc-updown-15m-1761796800,1761796800,2025-10,1
btc-updown-15m-1761801300,1761801300,2025-10,0
btc-updown-15m-1761805800,1761805800,2025-10,0
btc-updown-15m-1761813000,1761813000,2025-10,0
btc-updown-15m-1761817500,1761817500,2025-10,1
btc-updown-15m-1761821100,1761821100,2025-10,0
btc-updown-15m-1761825600,1761825600,2025-10,1
btc-updown-15m-1761830100,1761830100,2025-10,1
btc-updown-15m-1761834600,1761834600,2025-10,0
btc-updown-15m-1761841800,1761841800,2025-10,1
btc-updown-15m-1761846300,1761846300,2025-10,0
btc-updown-15m-1761849900,1761849900,2025-10,1
btc-updown-15m-1761854400,1761854400,2025-10,0
btc-updown-15m-1761858900,1761858900,2025-10,0
