slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1760140800,42,6,4,10604
btc-updown-15m-1760145300,42,8,4,10688
btc-updown-15m-1760149800,38,10,8,9801
btc-updown-15m-1760183100,38,8,2,9865
btc-updown-15m-1760187600,54,6,4,13373
btc-updown-15m-1760192100,32,4,2,8194
btc-updown-15m-1760229900,24,8,4,6017
btc-updown-15m-1760234400,70,14,8,17554
btc-updown-15m-1760301900,48,2,2,12134
btc-updown-15m-1760305500,20,12,4,5318
btc-updown-15m-1760310000,34,2,0,8642
btc-updown-15m-1760369400,106,10,4,26496
btc-updown-15m-1760373900,52,4,0,13376
btc-updown-15m-1760378400,74,2,2,18690
btc-updown-15m-1760382900,42,4,2,10309
btc-updown-15m-1760386500,44,6,4,11080
btc-updown-15m-1760391000,38,2,0,9538
btc-updown-15m-1760422500,78,4,0,19399
btc-updown-15m-1760427000,70,12,8,17624
btc-updown-15m-1760431500,32,2,0,7857
btc-updown-15m-1760436000,84,4,2,20999
btc-updown-15m-1760439600,48,2,0,12178
btc-updown-15m-1760444100,98,6,2,24241
btc-updown-15m-1760448600,104,16,10,25722
btc-updown-15m-1760463900,108,4,0,26919
btc-updown-15m-1760468400,50,2,0,12644
btc-updown-15m-1760472900,48,2,2,12344
btc-updown-15m-1760476500,40,2,2,10168
btc-updown-15m-1760481000,48,2,2,11921
btc-updown-15m-1760500800,120,12,6,30104
btc-updown-15m-1760505300,68,8,2,16809
btc-updown-15m-1760517900,68,0,0,16813
btc-updown-15m-1760522400,90,14,6,22322
btc-updown-15m-1760526000,68,6,2,16873
btc-updown-15m-1760540400,138,10,6,34522
btc-updown-15m-1760544900,146,10,6,36531
btc-updown-15m-1760549400,88,12,8,21853
btc-updown-15m-1760558400,50,4,2,12365
btc-updown-15m-1760562900,60,8,2,14863
btc-updown-15m-1760566500,38,10,4,9708
btc-updown-15m-1760571000,80,6,2,20125
btc-updown-15m-1760575500,74,4,4,18655
btc-updown-15m-1760580000,96,6,4,24015
btc-updown-15m-1760584500,52,6,4,13281
btc-updown-15m-1760589000,40,4,0,9993
btc-updown-15m-1760592600,46,2,0,11472
btc-updown-15m-1760597100,54,4,4,13426
btc-updown-15m-1760617800,84,4,2,21097
btc-updown-15m-1760622300,84,10,4,20865
btc-updown-15m-1760632200,100,2,2,25074
btc-updown-15m-1760636700,120,14,10,30052
btc-updown-15m-1760640300,178,10,6,44344
btc-updown-15m-1760644800,160,22,10,40209
